parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[38],0.868,0.054,0.77,0.974,0.019,0.011,9.0,17.0,3.72,138.21418024579782,115.97662537849152,164.85173689134788,,,
practice_intercept_offset[39],0.661,0.048,0.569,0.752,0.017,0.01,9.0,18.0,3.76,93.67280944551467,76.64996682211896,112.12382534700116,,,
practice_intercept_offset[40],1.158,0.062,1.057,1.277,0.022,0.011,9.0,15.0,4.15,218.35597851793847,187.7724851990672,258.5865975098591,,,
practice_intercept_offset[41],0.668,0.047,0.583,0.767,0.016,0.011,9.0,15.0,3.4,95.03327518649616,79.14045912584665,115.32966642600393,,,
practice_intercept_offset[42],0.748,0.05,0.671,0.86,0.017,0.012,9.0,13.0,3.62,111.27702477582268,95.61925354010236,136.31606937057947,,,
practice_intercept_offset[43],0.591,0.047,0.503,0.689,0.016,0.01,9.0,19.0,2.94,80.57933061082024,65.367486118276,99.17228142354028,,,
practice_intercept_offset[44],0.648,0.047,0.56,0.747,0.016,0.01,9.0,17.0,3.03,91.17135758847483,75.06725002961012,111.0658533543552,,,
practice_intercept_offset[45],0.499,0.044,0.408,0.58,0.015,0.011,9.0,19.0,3.61,64.7073373515345,50.38071611701118,78.60384307500732,,,
practice_intercept_offset[46],0.409,0.042,0.319,0.484,0.014,0.01,9.0,20.0,3.48,50.53117204855597,37.575132490603934,62.25516456522613,,,
practice_intercept_offset[47],0.673,0.048,0.59,0.774,0.017,0.011,9.0,15.0,3.5,96.01088354664576,80.39884153978569,116.84226199906476,,,
practice_intercept_offset[48],0.661,0.047,0.577,0.76,0.016,0.011,9.0,15.0,3.54,93.67280944551467,78.06883445996127,113.82762204968184,,,
practice_intercept_offset[49],0.663,0.047,0.577,0.76,0.016,0.011,9.0,14.0,3.58,94.06054266838416,78.06883445996127,113.82762204968184,,,
practice_intercept_offset[50],-0.133,0.032,-0.199,-0.076,0.011,0.007,9.0,16.0,3.23,-12.45349078912289,-18.04501066670744,-7.318379344061777,,,
practice_intercept_offset[51],0.533,0.044,0.459,0.632,0.015,0.011,9.0,13.0,3.63,70.40367583907279,58.24907027825334,88.13695581487633,,,
practice_intercept_offset[52],0.476,0.043,0.384,0.554,0.015,0.011,9.0,18.0,3.66,60.96230159584366,46.81454416819895,74.01999144695428,,,
practice_intercept_offset[53],0.092,0.035,0.009,0.151,0.012,0.01,9.0,22.0,2.64,9.636482208081688,0.9040621773867884,16.299665808182027,,,
practice_intercept_offset[54],0.389,0.041,0.301,0.465,0.014,0.01,9.0,19.0,3.32,47.55045513330549,35.12093415380156,59.20141888871011,,,
practice_intercept_offset[55],0.162,0.037,0.074,0.221,0.013,0.011,9.0,21.0,3.0,17.586024132099976,7.680680549621988,24.73234305640648,,,
practice_intercept_offset[56],0.157,0.037,0.069,0.218,0.013,0.01,9.0,20.0,2.75,16.999561390091355,7.143620914834625,24.35870676190619,,,
practice_intercept_offset[57],0.219,0.036,0.147,0.297,0.013,0.009,9.0,15.0,3.16,24.48312766875312,15.835396302985538,34.581529944809766,,,
practice_intercept_offset[58],0.571,0.045,0.496,0.672,0.015,0.011,9.0,12.0,3.54,77.00362029134793,64.21395578187052,95.81497063588058,,,
practice_intercept_offset[59],-0.276,0.035,-0.355,-0.214,0.01,0.006,14.0,26.0,1.58,-24.118706923875862,-29.882655679142754,-19.265161497731853,,,
