parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_intercept_offset[6031],-0.835,0.048,-0.925,-0.737,0.014,0.007,13.0,31.0,1.67,-56.61255185670091,-60.34685809250071,-52.14525935711588
practice_intercept_offset[6032],-0.729,0.471,-1.581,-0.37,0.166,0.096,9.0,20.0,2.69,-51.7608859884874,-79.42307739400928,-30.926566936264532
practice_intercept_offset[6033],-0.234,0.042,-0.313,-0.143,0.014,0.01,10.0,12.0,2.44,-20.863818410441613,-26.875008743111806,-13.324593110451099
practice_intercept_offset[6034],-0.08,0.038,-0.141,-0.005,0.013,0.006,9.0,15.0,2.58,-7.688365361336425,-13.151068830233214,-0.498752080731768
practice_intercept_offset[6035],-0.416,0.038,-0.488,-0.341,0.013,0.008,10.0,12.0,2.45,-34.031972951561094,-38.6147126957183,-28.894109179359027
practice_intercept_offset[6036],-2.292,0.042,-2.392,-2.213,0.013,0.009,10.0,18.0,2.08,-89.89358686718552,-90.85533923529943,-89.06279602703997
practice_intercept_offset[6037],-3.542,0.082,-3.72,-3.403,0.025,0.013,11.0,23.0,2.05,-97.10446415839783,-97.5766032154309,-96.67266998199072
practice_intercept_offset[6038],-0.089,0.036,-0.166,-0.035,0.012,0.008,9.0,21.0,2.86,-8.515442642554794,-15.295376581060038,-3.4394583742433538
practice_intercept_offset[6039],-0.342,0.05,-0.421,-0.241,0.017,0.009,9.0,23.0,2.95,-28.965179529082274,-34.36098985908288,-21.415837361165448
practice_intercept_offset[6040],0.11,0.037,0.058,0.176,0.012,0.004,11.0,51.0,1.89,11.627807045887128,5.97149957102876,19.243805865066953
practice_intercept_offset[6041],0.177,0.041,0.103,0.265,0.013,0.009,10.0,13.0,2.21,19.363109312713878,10.849140907600718,30.343097577836886
practice_intercept_offset[6042],0.184,0.041,0.114,0.261,0.014,0.006,10.0,17.0,2.48,20.20158230963014,12.0752124884153,29.822766543368996
practice_intercept_offset[6043],-0.575,0.041,-0.659,-0.489,0.013,0.009,9.0,14.0,2.61,-43.72951311930443,-48.263155566197845,-38.67606730060725
practice_intercept_offset[6044],-0.172,0.032,-0.224,-0.107,0.011,0.006,9.0,22.0,2.99,-15.80208268315001,-20.06848656306349,-10.14743270096945
