parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_slope_offset[5302],-0.122,0.077,-0.27,0.032,0.002,0.001,1010.0,2355.0,1.02,-11.485163149737287,-23.662050566314687,3.251750530511832,,,
practice_slope_offset[5303],-1.239,0.089,-1.419,-1.067,0.003,0.001,715.0,2161.0,1.02,-71.03262531026586,-75.80441481887623,-65.59609119460121,,,
practice_slope_offset[5304],-0.687,0.121,-0.918,-0.447,0.004,0.002,1032.0,2053.0,1.01,-49.69169433756494,-60.06831232636101,-36.04560917251991,,,
practice_slope_offset[5305],-1.128,0.085,-1.298,-0.962,0.003,0.001,778.0,1377.0,1.02,-67.63200305674633,-72.69225979527758,-61.78721345213349,,,
practice_slope_offset[5306],-0.622,0.087,-0.789,-0.447,0.003,0.001,658.0,1702.0,1.02,-46.313037610854046,-54.57011329243044,-36.04560917251991,,,
practice_slope_offset[5307],1.751,0.086,1.584,1.924,0.004,0.001,584.0,1577.0,1.02,476.0360156942414,387.44145259668966,584.8296943665372,,,
practice_slope_offset[5308],0.081,0.07,-0.053,0.218,0.002,0.001,757.0,2135.0,1.03,8.437089656676022,-5.161998751770181,24.35870676190619,,,
practice_slope_offset[5309],-0.803,0.077,-0.955,-0.653,0.002,0.001,1027.0,2595.0,1.02,-55.20170028152563,-61.51878554470214,-47.95180137107168,,,
practice_slope_offset[5310],1.338,0.119,1.1,1.567,0.004,0.002,795.0,1872.0,1.01,281.1413051353101,200.4166023946433,379.224985749702,,,
practice_slope_offset[5311],0.466,0.072,0.33,0.611,0.003,0.001,624.0,1697.0,1.02,59.36069993484847,39.09681284637803,84.22727507029337,,,
practice_slope_offset[5312],-0.885,0.07,-1.027,-0.751,0.002,0.001,943.0,2393.0,1.02,-58.72858267209504,-64.19204104100857,-52.8105577707158,,,
practice_slope_offset[5313],3.118,0.1,2.923,3.32,0.007,0.002,242.0,1099.0,1.03,2160.113214646825,1759.6994841418089,2666.0350558516748,,,
practice_slope_offset[5314],-0.544,0.084,-0.712,-0.379,0.003,0.001,780.0,1920.0,1.02,-41.95780848592576,-50.933810830075984,-31.545438733372176,,,
practice_slope_offset[5315],0.062,0.069,-0.074,0.194,0.005,0.001,213.0,1699.0,1.04,6.396234472803375,-7.132830615871278,21.40962829562332,,,
practice_slope_offset[5316],-0.646,0.073,-0.789,-0.504,0.004,0.001,306.0,2430.0,1.03,-47.58618581916646,-54.57011329243044,-39.58906171441353,,,
practice_slope_offset[5317],-0.304,0.081,-0.458,-0.141,0.004,0.002,423.0,2237.0,1.03,-26.21391335494089,-36.74525237926366,-13.151068830233214,,,
practice_slope_offset[5318],0.194,0.068,0.06,0.327,0.003,0.001,514.0,2718.0,1.02,21.40962829562332,6.183654654535964,38.68014771803021,,,
practice_slope_offset[5319],-0.536,0.073,-0.679,-0.391,0.002,0.001,917.0,1511.0,1.01,-41.49160864082931,-49.28761372490914,-32.36198439607109,,,
practice_slope_offset[5320],-0.048,0.065,-0.173,0.083,0.002,0.001,718.0,1755.0,1.02,-4.686621292249527,-15.886238515537675,8.654180854823812,,,
practice_slope_offset[5321],0.056,0.07,-0.086,0.191,0.004,0.001,388.0,2040.0,1.03,5.759768373661123,-8.240576877984907,21.045945208129947,,,
practice_slope_offset[5322],0.503,0.067,0.372,0.633,0.003,0.001,662.0,2242.0,1.03,65.367486118276,45.06329812931589,88.32518687053312,,,
practice_slope_offset[5323],-0.602,0.11,-0.815,-0.388,0.003,0.002,1027.0,2647.0,1.01,-45.22848902862725,-55.73606726386488,-32.1587656735896,,,
practice_slope_offset[5324],-0.003,0.071,-0.143,0.137,0.003,0.001,729.0,1089.0,1.03,-0.2995504496626999,-13.3245931104511,14.682814852039815,,,
practice_slope_offset[5325],0.145,0.068,0.008,0.272,0.003,0.001,512.0,1995.0,1.03,15.603957026802153,0.8032085504273478,31.258700131110828,,,
practice_slope_offset[5326],0.193,0.084,0.031,0.356,0.003,0.001,911.0,1978.0,1.02,21.28827935191196,3.1485503886522714,42.760754826384485,,,
practice_slope_offset[5327],-0.108,0.07,-0.245,0.031,0.004,0.001,274.0,1786.0,1.03,-10.237240356956512,-21.729546175813187,3.1485503886522714,,,
practice_slope_offset[5328],-0.057,0.076,-0.208,0.09,0.003,0.001,540.0,2412.0,1.03,-5.540593063347665,-18.77929632880609,9.41742837052104,,,
practice_slope_offset[5329],0.549,0.07,0.407,0.681,0.003,0.001,747.0,2390.0,1.02,73.15206311872335,50.23041056619504,97.5852597230606,,,
practice_slope_offset[5330],-0.392,0.082,-0.551,-0.23,0.003,0.001,673.0,2225.0,1.03,-32.4295886039374,-42.36268510511229,-20.5466397496666,,,
practice_slope_offset[5331],-0.319,0.081,-0.482,-0.166,0.003,0.001,944.0,1933.0,1.02,-27.312445069366177,-38.245293823532,-15.295376581060038,,,
practice_slope_offset[5332],-0.15,0.072,-0.29,-0.008,0.002,0.001,867.0,2728.0,1.02,-13.92920235749422,-25.17364324214348,-0.7968085162939342,,,
practice_slope_offset[5333],-0.157,0.088,-0.329,0.017,0.003,0.001,947.0,2147.0,1.02,-14.529594118231492,-28.03569832529245,1.7145322325240686,,,
practice_slope_offset[5334],-0.65,0.134,-0.911,-0.385,0.005,0.002,851.0,1606.0,1.01,-47.79542232389839,-59.78780989953562,-31.95493637954123,,,
practice_slope_offset[5335],-0.207,0.078,-0.36,-0.056,0.002,0.001,1148.0,2772.0,1.02,-18.698035001242896,-30.232367392896897,-5.446086410960371,,,
practice_slope_offset[5336],-0.156,0.071,-0.296,-0.022,0.003,0.001,708.0,2455.0,1.03,-14.444080962898154,-25.62125719798204,-2.175976494878995,,,
practice_slope_offset[5337],-0.215,0.071,-0.356,-0.078,0.003,0.001,569.0,2689.0,1.02,-19.34585598226732,-29.952737976474765,-7.503557345646072,,,
practice_slope_offset[5338],-0.397,0.075,-0.547,-0.253,0.002,0.001,1001.0,2056.0,1.01,-32.76659743673428,-42.13167413160026,-22.353211817626217,,,
practice_slope_offset[5339],-0.439,0.07,-0.58,-0.302,0.002,0.001,865.0,2047.0,1.02,-35.53192203701987,-44.010163343459794,-26.06619351104682,,,
practice_slope_offset[5340],-0.609,0.079,-0.764,-0.45,0.002,0.001,1040.0,2451.0,1.01,-45.61055082904101,-53.42005023501717,-36.23718483782267,,,
practice_slope_offset[5341],-0.582,0.072,-0.723,-0.44,0.002,0.001,953.0,2213.0,1.02,-44.122031111715366,-51.47058126114998,-35.59635789168587,,,
practice_slope_offset[5342],-0.483,0.071,-0.628,-0.348,0.005,0.001,212.0,2305.0,1.04,-38.30701766264526,-46.63419494970093,-29.39011237856156,,,
practice_slope_offset[5343],0.074,0.081,-0.083,0.231,0.004,0.001,416.0,1364.0,1.02,7.680680549621988,-7.964885277987532,25.98592394492314,,,
practice_slope_offset[5344],-0.18,0.099,-0.367,0.019,0.003,0.002,1093.0,2338.0,1.01,-16.4729788588728,-30.71903549556083,1.9181648617407896,,,
practice_slope_offset[5345],-1.273,0.098,-1.462,-1.076,0.003,0.002,1210.0,2310.0,1.01,-72.00096106074524,-76.82277336566449,-65.90433718622984,,,
practice_slope_offset[5346],0.057,0.072,-0.09,0.193,0.003,0.001,682.0,1871.0,1.03,5.865581039550016,-8.60688147287718,21.28827935191196,,,
practice_slope_offset[5347],0.006,0.072,-0.132,0.147,0.003,0.001,576.0,2489.0,1.03,0.6018036054064924,-12.365900492062664,15.835396302985538,,,
practice_slope_offset[5348],-0.162,0.08,-0.319,-0.004,0.003,0.001,959.0,2577.0,1.01,-14.955879545976703,-27.312445069366177,-0.3992010656008515,,,
practice_slope_offset[5349],0.224,0.07,0.086,0.359,0.002,0.001,832.0,2234.0,1.01,25.10710194283623,8.980632830512869,43.18968015716587,,,
practice_slope_offset[5350],0.642,0.079,0.487,0.798,0.003,0.001,635.0,2547.0,1.02,90.02776365552259,62.74266093785854,122.10942947514349,,,
practice_slope_offset[5351],0.534,0.072,0.391,0.671,0.004,0.001,321.0,1792.0,1.03,70.5741647451575,47.84585134131471,95.61925354010236,,,
practice_slope_offset[5352],1.009,0.097,0.817,1.198,0.004,0.001,741.0,1877.0,1.02,174.2856786344921,126.36985450594862,231.34833247003093,,,
practice_slope_offset[5353],1.135,0.153,0.84,1.432,0.005,0.003,901.0,2117.0,1.01,211.1173542905127,131.63669767810916,318.70649532798615,,,
practice_slope_offset[5354],-0.627,0.076,-0.777,-0.481,0.003,0.001,560.0,2572.0,1.02,-46.58080245285159,-54.02167057694348,-38.18350822970742,,,
practice_slope_offset[5355],1.001,0.121,0.768,1.245,0.006,0.002,476.0,2025.0,1.02,172.10014698815783,115.5451037931604,247.2934799336826,,,
practice_slope_offset[5356],0.617,0.088,0.446,0.789,0.003,0.001,1133.0,2343.0,1.01,85.33596145380852,56.20514665337439,120.11941311607532,,,
practice_slope_offset[5357],0.863,0.193,0.49,1.239,0.007,0.003,740.0,1682.0,1.01,137.02608206522376,63.23162199553789,245.21595785288545,,,
practice_slope_offset[5358],0.782,0.073,0.632,0.918,0.002,0.001,937.0,1951.0,1.01,118.58395758838132,88.13695581487633,150.42768243931567,,,
practice_slope_offset[5359],-0.571,0.08,-0.727,-0.415,0.003,0.001,650.0,2264.0,1.02,-43.503980407067374,-51.66431121788537,-33.96597192950171,,,
practice_slope_offset[5360],0.325,0.083,0.158,0.48,0.002,0.001,1239.0,2822.0,1.01,38.40306459807514,17.11661947076695,61.607440219289344,,,
practice_slope_offset[5361],0.216,0.113,-0.015,0.43,0.003,0.002,1286.0,2420.0,1.01,24.110237900067165,-1.4888060396937353,53.72575235482815,,,
practice_slope_offset[5362],-0.281,0.081,-0.437,-0.122,0.003,0.001,650.0,2460.0,1.02,-24.4971664519792,-35.40285685893755,-11.485163149737287,,,
practice_slope_offset[5363],-0.217,0.087,-0.386,-0.045,0.003,0.001,1083.0,2699.0,1.01,-19.50700306949985,-32.02294743196789,-4.400251816690015,,,
practice_slope_offset[5364],0.851,0.104,0.646,1.055,0.004,0.002,730.0,1673.0,1.01,134.19876689913815,90.78939696124532,187.19751539013453,,,
practice_slope_offset[5365],-0.346,0.083,-0.506,-0.181,0.003,0.001,847.0,2212.0,1.02,-29.248751289349823,-39.70976284961579,-16.556464130421045,,,
practice_slope_offset[5366],-0.436,0.097,-0.623,-0.246,0.003,0.001,1182.0,2899.0,1.01,-35.338227406456035,-46.36669773870759,-21.80777750745228,,,
practice_slope_offset[5367],-0.016,0.084,-0.177,0.151,0.003,0.001,940.0,2252.0,1.01,-1.5872679944714865,-16.222021547700617,16.299665808182027,,,
practice_slope_offset[5368],-0.259,0.105,-0.455,-0.048,0.004,0.002,882.0,2156.0,1.02,-22.817697695629658,-36.55520320517718,-4.686621292249527,,,
practice_slope_offset[5369],0.673,0.074,0.525,0.812,0.005,0.001,261.0,2593.0,1.03,96.01088354664576,69.04588483790914,125.24083014645076,,,
practice_slope_offset[5370],-0.595,0.08,-0.748,-0.438,0.003,0.001,846.0,2523.0,1.02,-44.84374341321702,-52.66877687902607,-35.46742171427054,,,
practice_slope_offset[5371],0.457,0.083,0.293,0.615,0.003,0.001,1032.0,2372.0,1.02,57.93288842494408,34.04427904316813,84.96565995583272,,,
practice_slope_offset[5372],0.667,0.081,0.505,0.82,0.004,0.001,361.0,2158.0,1.03,94.83833939544984,65.69855204608508,127.04998375324055,,,
