parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
mu_alpha,5.895,0.904,3.985,7.805,0.007,0.01,16905.0,11987.0,1.0,36221.68358988997,5278.528947788974,245183.55459468366
practice_offset[0],0.114,0.055,0.002,0.217,0.004,0.001,186.0,754.0,1.03,12.0752124884153,0.2002001334000303,24.234410213776393
practice_offset[1],0.634,0.06,0.516,0.749,0.007,0.002,82.0,403.0,1.07,88.51360625139246,67.53129773975874,111.48840747433253
practice_offset[2],0.041,0.061,-0.075,0.163,0.004,0.001,235.0,1084.0,1.03,4.185210554547947,-7.225651367144714,17.7036689688467
practice_offset[3],1.222,0.056,1.111,1.33,0.004,0.001,180.0,902.0,1.03,239.3968887982554,203.73942705151615,278.1043387568781
practice_offset[4],1.016,0.055,0.908,1.122,0.004,0.001,190.0,737.0,1.04,176.21241409153652,147.93588536523396,207.0990045496511
practice_offset[5],0.114,0.06,-0.006,0.226,0.007,0.002,83.0,502.0,1.07,12.0752124884153,-0.5982035946064723,25.357566527818687
practice_offset[6],1.221,0.055,1.113,1.329,0.005,0.001,151.0,800.0,1.04,239.05766155134955,204.34751378966178,277.7264234072889
practice_offset[7],0.295,0.064,0.168,0.419,0.004,0.001,205.0,1213.0,1.03,34.31263586862767,18.293661064781077,52.04403547901961
practice_offset[8],1.181,0.057,1.069,1.292,0.005,0.001,149.0,768.0,1.04,225.76302048221933,191.24655776809942,264.00593992835644
practice_offset[9],-0.087,0.059,-0.202,0.029,0.007,0.002,76.0,341.0,1.07,-8.332290436684776,-18.29050720577634,2.9424594475130794
practice_offset[10],0.641,0.056,0.529,0.749,0.004,0.001,164.0,770.0,1.04,89.83783087408553,69.7234225493002,111.48840747433253
practice_offset[11],0.605,0.054,0.503,0.715,0.004,0.001,192.0,736.0,1.03,83.12522088857732,65.367486118276,104.41866822585565
practice_offset[12],0.014,0.055,-0.093,0.122,0.004,0.001,181.0,628.0,1.03,1.4098458938492264,-8.880649970385946,12.975410178031876
practice_offset[13],-0.466,0.056,-0.576,-0.358,0.004,0.001,207.0,834.0,1.03,-37.24927159526593,-43.78575548031775,-30.09269249934743
practice_offset[14],1.302,0.057,1.19,1.414,0.005,0.001,156.0,782.0,1.04,267.6642604442661,228.7081207383118,311.23720370646095
practice_offset[15],0.664,0.06,0.543,0.777,0.007,0.002,83.0,392.0,1.07,94.25470027367541,72.11626125301187,117.49376555176343
practice_offset[16],-0.446,0.058,-0.563,-0.334,0.007,0.002,78.0,389.0,1.07,-35.981622793835285,-43.05019954704583,-28.39462177727915
practice_offset[17],-0.168,0.06,-0.287,-0.05,0.007,0.002,81.0,321.0,1.07,-15.464616531534126,-24.948827116293202,-4.877057549928598
practice_offset[18],1.278,0.057,1.165,1.391,0.005,0.001,151.0,765.0,1.04,258.94536346044714,220.59228832028145,301.8866911141531
practice_offset[19],0.42,0.06,0.3,0.535,0.007,0.002,78.0,374.0,1.07,52.196155561863364,34.98588075760032,70.74482422542117
practice_offset[20],-0.161,0.058,-0.275,-0.048,0.006,0.002,82.0,408.0,1.07,-14.870792889284889,-24.042787677503153,-4.6866212922495265
practice_offset[21],0.714,0.056,0.604,0.824,0.005,0.001,148.0,831.0,1.04,104.21435173290266,82.94218719978595,127.96000251241387
practice_offset[22],0.112,0.055,0.005,0.22,0.004,0.001,175.0,798.0,1.04,11.851286064504517,0.501252085940096,24.60767305873808
practice_offset[23],0.425,0.061,0.306,0.546,0.007,0.002,80.0,277.0,1.07,52.95904196633787,35.79823065478924,72.63338533505097
