name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
hydro_rain_values_x_imd,continuous_interaction,0.02259299943703219,"(np.float64(-0.0636669030186221), np.float64(0.10892735700367417))",0.6078212699124532,1.1510727550522404,"(np.float64(0.2951752522451834), np.float64(2.014274303477337))",0.008295937149224554,-3.826467688261559e-05,"(np.float64(-0.08290242955349969), np.float64(0.08289462186987784))",0.9992781627276881,11445,1396202,
met_rain_values,continuous,0.07838806213562588,"(np.float64(-0.011628475979064135), np.float64(0.1684856394452705))",0.08788274180220754,,"(nan, nan)",,,"(nan, nan)",,9682,1233315,
met_rain_values_x_imd,continuous_interaction,0.08387098844704344,"(np.float64(-0.0064788066727827776), np.float64(0.17430241971070348))",0.06885654349298163,0.5174485179546551,"(np.float64(-0.3294255170557814), np.float64(1.3715182136191606))",0.23185827148662774,-0.07062177367900269,"(np.float64(-0.1594750923921251), np.float64(0.018310620261874355))",0.11957445433159808,9682,1233315,
met_tmax_values,continuous,1.0663766812915032,"(np.float64(0.7762008071953153), np.float64(1.357388090337719))",4.808531386480859e-13,,"(nan, nan)",,,"(nan, nan)",,9682,1233315,
met_tmax_values_x_imd,continuous_interaction,1.0688205011494922,"(np.float64(0.7782340219417039), np.float64(1.3602448646754528))",4.586974481567554e-13,0.5240638298700029,"(np.float64(-0.32281768425180823), np.float64(1.3781406547168862))",0.2259337087737079,-0.012069215976751035,"(np.float64(-0.09349177137051301), np.float64(0.06941969778189172))",0.7715190864078317,9682,1233315,
met_tmin_values,continuous,1.1583486339469484,"(np.float64(0.8855751233095344), np.float64(1.4318596671490713))",6.280857944973337e-17,,"(nan, nan)",,,"(nan, nan)",,9682,1233315,
met_tmin_values_x_imd,continuous_interaction,1.1600588770629194,"(np.float64(0.8870167770696824), np.float64(1.4338399421951031))",6.062842336456669e-17,0.5132457342113206,"(np.float64(-0.3335328478904276), np.float64(1.3672186514550377))",0.23562851271201524,-0.014232618764931093,"(np.float64(-0.09681001032638692), np.float64(0.06841302913147551))",0.7356300736651312,9682,1233315,
aqrean_carbon_monoxide_values,continuous,0.916699724608705,"(np.float64(0.7886493440891318), np.float64(1.0449127911058786))",4.6073079899187016e-45,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_carbon_monoxide_values_x_imd,continuous_interaction,0.9221227637767893,"(np.float64(0.7913765667047157), np.float64(1.053038564327169))",8.645644962481203e-44,0.8818595365194026,"(np.float64(-0.8580404309213918), np.float64(2.652294021432522))",0.32259655083468963,0.020254772660832643,"(np.float64(-0.09049194786293624), np.float64(0.1311242526330636))",0.7201180692438238,10408,907782,
aqrean_daqi_overall_values,continuous,-0.4815092297828394,"(np.float64(-0.5946545742734122), np.float64(-0.3682351007794793))",9.089358389462773e-17,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
