name,type,pred_coef,pred_ci_low,pred_ci_high,pred_p,imd_coef,imd_ci_low,imd_ci_high,imd_p,region_main,n_practices,n_obs,error
aqrean_daqi_overall_daqipair1,daqi_pair1,-0.4078437051436956,-0.6133492684927466,-0.2019132101136134,0.00010541819972675141,-0.5135331411665556,-1.2399947480086104,0.218272192266733,0.16855047587406635,"{'East Midlands': {'coef': 14.352130720878687, 'ci_low': 6.394448165896693, 'ci_high': 22.905001396458168, 'p': 0.00026819101335179177}, 'East of England': {'coef': 7.727323806926822, 'ci_low': 0.7175579204429683, 'ci_high': 15.224957139741369, 'p': 0.030140204545577542}, 'London': {'coef': -1.4305328591652566, 'ci_low': -7.020961277938476, 'ci_high': 4.496023899231383, 'p': 0.6286183923104629}, 'North East': {'coef': -2.2111429381298064, 'ci_low': -10.005268063890838, 'ci_high': 6.258003771329568, 'p': 0.597762589860925}, 'North West': {'coef': 1.4476816889317679, 'ci_low': -4.431469445676861, 'ci_high': 7.688504368170057, 'p': 0.6370177304644751}, 'South West': {'coef': 2.478148330259766, 'ci_low': -4.359580823870324, 'ci_high': 9.804735023785849, 'p': 0.48718078721038216}, 'West Midlands': {'coef': 8.395853031408507, 'ci_low': 1.6758607340429554, 'ci_high': 15.559985129023946, 'p': 0.013551599033349605}, 'Yorkshire and The Humber': {'coef': 6.538929099419888, 'ci_low': -0.36551106111133436, 'ci_high': 13.921831029947217, 'p': 0.06390418399727335}}",8814,810238,
aqrean_daqi_overall_daqipair2,daqi_pair2,-0.2493816675886662,-0.3419137630128799,-0.15676365652020907,1.3404625129400685e-07,-0.48852895852781186,-1.2152408698479222,0.2435290224360953,0.19034857109748393,"{'East Midlands': {'coef': 14.349294678811031, 'ci_low': 6.391790945568276, 'ci_high': 22.901974647943703, 'p': 0.00026890373117491176}, 'East of England': {'coef': 7.735166314581998, 'ci_low': 0.7248746440116305, 'ci_high': 15.233363177193127, 'p': 0.029979690272821623}, 'London': {'coef': -1.400472385608531, 'ci_low': -6.9926453241341395, 'ci_high': 4.527936308501812, 'p': 0.6359040916927969}, 'North East': {'coef': -2.204724941029068, 'ci_low': -9.99938218829869, 'ci_high': 6.265001912201762, 'p': 0.5988391243917964}, 'North West': {'coef': 1.4455245351259638, 'ci_low': -4.43351927672031, 'ci_high': 7.6862344445413955, 'p': 0.6375171768389905}, 'South West': {'coef': 2.47774790969173, 'ci_low': -4.359976995906923, 'ci_high': 9.804331772200525, 'p': 0.4872517830270149}, 'West Midlands': {'coef': 8.404660821254417, 'ci_low': 1.6841004189195319, 'ci_high': 15.56940012604655, 'p': 0.013457972266870535}, 'Yorkshire and The Humber': {'coef': 6.5337426080305905, 'ci_low': -0.370381186300095, 'ci_high': 13.916307712636456, 'p': 0.06410941470797858}}",8814,810238,
aqrean_nitrogen_monoxide_high_vs_not,binary_simple,0.582107645670793,0.4539303761135649,0.7104484669414379,4.61263659177265e-19,-0.43231036354969277,-1.1579222349860085,0.2986283140391732,0.24566505584155152,"{'East Midlands': {'coef': 14.195344932564291, 'ci_low': 6.249063247678843, 'ci_high': 22.735922611084526, 'p': 0.0003095413882170425}, 'East of England': {'coef': 7.519183623283698, 'ci_low': 0.519597908601388, 'ci_high': 15.006178770519952, 'p': 0.03478464977414956}, 'London': {'coef': -1.2559362265689877, 'ci_low': -6.859825692249699, 'ci_high': 4.685117919948634, 'p': 0.6715745973760903}, 'North East': {'coef': -2.09063075917556, 'ci_low': -9.900763590475881, 'ci_high': 6.396513079912913, 'p': 0.6183909357954387}, 'North West': {'coef': 1.5201767054415782, 'ci_low': -4.365521753371137, 'ci_high': 7.7681027518690104, 'p': 0.620514323767644}, 'South West': {'coef': 2.5773861654547314, 'ci_low': -4.272578416274397, 'ci_high': 9.917513482110362, 'p': 0.4705040327501563}, 'West Midlands': {'coef': 8.452923605301299, 'ci_low': 1.7276059614586892, 'ci_high': 15.622858980811728, 'p': 0.012978009240488517}, 'Yorkshire and The Humber': {'coef': 6.161610021283925, 'ci_low': -0.717484072862884, 'ci_high': 13.5173432810906, 'p': 0.08023941338536955}}",8825,818811,
aqrean_nitrogen_dioxide_high_vs_not,binary_simple,-0.4526608146253164,-0.6270112401297157,-0.2780044903927803,3.923873618797525e-07,-0.4876321051567767,-1.2127425282296822,0.24280071615963017,0.19017957167081612,"{'East Midlands': {'coef': 14.133876577163495, 'ci_low': 6.1915651350969325, 'ci_high': 22.670211762665126, 'p': 0.0003276389703697158}, 'East of England': {'coef': 7.512006323797671, 'ci_low': 0.512643265012036, 'ci_high': 14.998781529327099, 'p': 0.03495868758732172}, 'London': {'coef': -1.3241404639651067, 'ci_low': -6.924352034660608, 'ci_high': 4.6130268016102205, 'p': 0.6547659640495913}, 'North East': {'coef': -2.1722826636960235, 'ci_low': -9.976162183614079, 'ci_high': 6.308090294389035, 'p': 0.6046087056395191}, 'North West': {'coef': 1.414096531078024, 'ci_low': -4.46563255925263, 'ci_high': 7.655697637750047, 'p': 0.6449435039957516}, 'South West': {'coef': 2.561224465375478, 'ci_low': -4.287927160846472, 'ci_high': 9.90050107382212, 'p': 0.4732742369616859}, 'West Midlands': {'coef': 8.38570691737801, 'ci_low': 1.6643148978640276, 'ci_high': 15.55147423933092, 'p': 0.013689886457837952}, 'Yorkshire and The Humber': {'coef': 6.061331006030213, 'ci_low': -0.8114835465757753, 'ci_high': 13.410365806336877, 'p': 0.08514310751758092}}",8825,818811,
aqrean_daqi_nitrogen_dioxide_daqipair1,daqi_pair1,,,,,,,,,{},8814,810238,Singular matrix
aqrean_daqi_nitrogen_dioxide_daqipair2,daqi_pair2,,,,,,,,,{},8814,810238,Singular matrix
aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not,binary_simple,0.6288072997389538,0.49575363941971595,0.7620371195065756,1.6073263435417498e-20,-0.44014065797831625,-1.1656554364331106,0.29069991786077054,0.23717287314885405,"{'East Midlands': {'coef': 14.173838064664924, 'ci_low': 6.229047689644918, 'ci_high': 22.712813321087765, 'p': 0.0003157049565805081}, 'East of England': {'coef': 7.511374447167807, 'ci_low': 0.5122843181783798, 'ci_high': 14.997840452310296, 'p': 0.03496722611807424}, 'London': {'coef': -1.2776591389623837, 'ci_low': -6.8803080103999275, 'ci_high': 4.66207927504072, 'p': 0.666199868910832}, 'North East': {'coef': -2.1143940023377827, 'ci_low': -9.922631993659492, 'ci_high': 6.370690813869273, 'p': 0.6143632583705934}, 'North West': {'coef': 1.4987837181150487, 'ci_low': -4.385665298589291, 'ci_high': 7.745382828090697, 'p': 0.6254037886242629}, 'South West': {'coef': 2.567042545880982, 'ci_low': -4.282237575296211, 'ci_high': 9.9064369048963, 'p': 0.4722649368962739}, 'West Midlands': {'coef': 8.430514277870227, 'ci_low': 1.706588839387968, 'ci_high': 15.59896522662858, 'p': 0.013210397062927749}, 'Yorkshire and The Humber': {'coef': 6.1374679829436785, 'ci_low': -0.7400551400137623, 'ci_high': 13.4915209324443, 'p': 0.08139538360854845}}",8825,818811,
aqrean_ozone_high_vs_not,binary_simple,-0.8730943724753915,-1.0061733598375033,-0.7398364848982042,1.7737686697622383e-37,-0.39722578345904314,-1.1230976194081532,0.3339747987345154,0.28618345137175305,"{'East Midlands': {'coef': 14.250896957820647, 'ci_low': 6.299889364287625, 'ci_high': 22.79662315483002, 'p': 0.0002946127897300138}, 'East of England': {'coef': 7.5302105349561055, 'ci_low': 0.5291958768137928, 'ci_high': 15.018787098035835, 'p': 0.034547713641319686}, 'London': {'coef': -1.236300515963129, 'ci_low': -6.841873621467364, 'ci_high': 4.706574884710424, 'p': 0.6764778986874971}, 'North East': {'coef': -2.034836838575027, 'ci_low': -9.850233732824643, 'ci_high': 6.4581040044145555, 'p': 0.6279261003395271}, 'North West': {'coef': 1.5856126192282272, 'ci_low': -4.304513492872042, 'ci_high': 7.838280235455364, 'p': 0.6057077587247953}, 'South West': {'coef': 2.581508451507264, 'ci_low': -4.2694707807957695, 'ci_high': 9.922779723604336, 'p': 0.4698531081652061}, 'West Midlands': {'coef': 8.535013612780883, 'ci_low': 1.8038735857766275, 'ci_high': 15.71120788445457, 'p': 0.012167265136273024}, 'Yorkshire and The Humber': {'coef': 6.230440542880511, 'ci_low': -0.6538423378976588, 'ci_high': 13.591776103881802, 'p': 0.07704964539783227}}",8825,818811,
aqrean_daqi_ozone_daqipair1,daqi_pair1,1.4763342913243438,0.09572094489780358,2.875990342017709,0.03600658558261271,-0.5154174203646167,-1.2418665215897629,0.2163753247517608,0.16699038755446116,"{'East Midlands': {'coef': 14.340062372044372, 'ci_low': 6.38333585040034, 'ci_high': 22.89189616715519, 'p': 0.0002711387591928956}, 'East of England': {'coef': 7.717441144555415, 'ci_low': 0.7084111041142593, 'ci_high': 15.21428051064484, 'p': 0.030341752790684257}, 'London': {'coef': -1.4484404650925486, 'ci_low': -7.037764204720453, 'ci_high': 4.476939519300882, 'p': 0.6242899501722211}, 'North East': {'coef': -2.1989297837236133, 'ci_low': -9.993923555321283, 'ci_high': 6.271150940882109, 'p': 0.5998048497001285}, 'North West': {'coef': 1.446153212302348, 'ci_low': -4.432827922008897, 'ci_high': 7.686790116331088, 'p': 0.6373660587522147}, 'South West': {'coef': 2.490527427890976, 'ci_low': -4.347934362118256, 'ci_high': 9.817891985880745, 'p': 0.4850283426851475}, 'West Midlands': {'coef': 8.391776398053373, 'ci_low': 1.672129054969762, 'ci_high': 15.555534244527735, 'p': 0.013593949763411772}, 'Yorkshire and The Humber': {'coef': 6.536791141846043, 'ci_low': -0.3674210222138208, 'ci_high': 13.919442648693359, 'p': 0.06398483036665588}}",8814,810238,
aqrean_daqi_ozone_daqipair2,daqi_pair2,-0.6471107784753127,-0.7746190653634577,-0.5194386387193606,3.831248507655869e-23,-0.4359852148407617,-1.1631587885908234,0.296538402474833,0.2426993956516238,"{'East Midlands': {'coef': 14.357608612604512, 'ci_low': 6.399155651423638, 'ci_high': 22.911338605332787, 'p': 0.00026702898266615043}, 'East of England': {'coef': 7.75727587637578, 'ci_low': 0.7452057573765325, 'ci_high': 15.257400260430366, 'p': 0.02953829032057374}, 'London': {'coef': -1.3785902937340277, 'ci_low': -6.972245246633523, 'ci_high': 4.551404881661969, 'p': 0.6412414640203193}, 'North East': {'coef': -2.175296083710121, 'ci_low': -9.972671982720371, 'ci_high': 6.297419984218577, 'p': 0.6037991469843234}, 'North West': {'coef': 1.4635184814277835, 'ci_low': -4.416841256165027, 'ci_high': 7.705643106244864, 'p': 0.6333813647078577}, 'South West': {'coef': 2.517285839189465, 'ci_low': -4.323413173230883, 'ci_high': 9.847082179708, 'p': 0.4804374132914685}, 'West Midlands': {'coef': 8.44150831562076, 'ci_low': 1.7183421586783654, 'ci_high': 15.609048242471268, 'p': 0.01307574317822953}, 'Yorkshire and The Humber': {'coef': 6.537558421184708, 'ci_low': -0.367142884298699, 'ci_high': 13.920765527847557, 'p': 0.06397209464560617}}",8814,810238,
