,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81014],-0.404,0.087,-0.565,-0.239,0.0,0.001,37033.0,19776.0,1.0
1|practice_id[A81015],-0.565,0.114,-0.776,-0.35,0.001,0.001,35294.0,18143.0,1.0
1|practice_id[A81016],-0.264,0.087,-0.427,-0.1,0.0,0.001,39887.0,18139.0,1.0
1|practice_id[A81017],-0.109,0.086,-0.268,0.057,0.0,0.001,40054.0,19166.0,1.0
1|practice_id[A81018],0.322,0.086,0.159,0.484,0.0,0.001,37382.0,18981.0,1.0
1|practice_id[A81019],0.23,0.086,0.063,0.389,0.0,0.001,38086.0,19922.0,1.0
1|practice_id[A81020],0.205,0.086,0.05,0.37,0.0,0.001,38737.0,19202.0,1.0
1|practice_id[A81021],-0.233,0.087,-0.398,-0.07,0.0,0.001,37106.0,19166.0,1.0
1|practice_id[A81022],0.064,0.086,-0.096,0.224,0.0,0.001,36819.0,18999.0,1.0
1|practice_id[A81023],-0.313,0.085,-0.471,-0.151,0.0,0.001,38330.0,19124.0,1.0
1|practice_id[A81025],-0.255,0.087,-0.415,-0.09,0.0,0.001,38667.0,19156.0,1.0
1|practice_id[A81026],-0.01,0.086,-0.17,0.154,0.0,0.001,39889.0,19756.0,1.0
1|practice_id[A81027],0.287,0.085,0.129,0.449,0.0,0.001,36771.0,18658.0,1.0
1|practice_id[A81029],-0.445,0.086,-0.612,-0.289,0.0,0.001,39684.0,17841.0,1.0
1|practice_id[A81030],0.323,0.087,0.154,0.479,0.0,0.001,40620.0,19252.0,1.0
1|practice_id[A81031],0.461,0.086,0.302,0.625,0.0,0.001,37653.0,19918.0,1.0
1|practice_id[A81032],0.113,0.085,-0.048,0.272,0.0,0.001,33095.0,18410.0,1.0
1|practice_id[A81033],-0.635,0.117,-0.863,-0.422,0.001,0.001,35427.0,19851.0,1.0
1|practice_id[A81034],-0.205,0.086,-0.369,-0.047,0.0,0.001,38459.0,18207.0,1.0
1|practice_id[A81035],-0.138,0.087,-0.307,0.02,0.0,0.001,41624.0,19544.0,1.0
1|practice_id[A81036],0.158,0.086,-0.002,0.32,0.0,0.001,39306.0,19375.0,1.0
1|practice_id[A81037],0.238,0.085,0.08,0.401,0.0,0.001,36494.0,19171.0,1.0
1|practice_id[A81038],0.001,0.086,-0.163,0.162,0.0,0.001,40395.0,19481.0,1.0
1|practice_id[A81039],0.116,0.086,-0.051,0.272,0.0,0.001,38196.0,18037.0,1.0
1|practice_id[A81040],0.312,0.087,0.157,0.481,0.0,0.001,40223.0,20606.0,1.0
1|practice_id[A81041],0.17,0.085,0.007,0.325,0.0,0.001,37927.0,18807.0,1.0
1|practice_id[A81042],0.196,0.087,0.035,0.362,0.0,0.001,39696.0,18986.0,1.0
1|practice_id[A81043],0.274,0.087,0.113,0.441,0.0,0.001,38676.0,19799.0,1.0
1|practice_id[A81044],-0.327,0.086,-0.49,-0.168,0.0,0.001,42244.0,18614.0,1.0
1|practice_id[A81045],0.266,0.085,0.11,0.433,0.0,0.001,34210.0,19029.0,1.0
1|practice_id[A81046],0.024,0.086,-0.139,0.184,0.0,0.001,37804.0,19727.0,1.0
1|practice_id[A81047],-0.535,0.134,-0.786,-0.281,0.001,0.001,33914.0,19912.0,1.0
1|practice_id[A81048],0.446,0.086,0.291,0.612,0.0,0.001,38832.0,18851.0,1.0
1|practice_id[A81049],0.382,0.086,0.222,0.544,0.0,0.001,38059.0,19139.0,1.0
1|practice_id[A81051],0.296,0.085,0.14,0.463,0.0,0.001,38016.0,19381.0,1.0
1|practice_id[A81052],0.159,0.086,-0.006,0.32,0.0,0.001,37463.0,18246.0,1.0
1|practice_id[A81053],0.708,0.086,0.552,0.874,0.0,0.001,34550.0,19338.0,1.0
1|practice_id[A81054],0.028,0.086,-0.133,0.192,0.0,0.001,35089.0,19072.0,1.0
1|practice_id[A81056],0.217,0.085,0.056,0.375,0.0,0.001,38623.0,20684.0,1.0
1|practice_id[A81057],-0.255,0.086,-0.42,-0.096,0.0,0.001,39993.0,18937.0,1.0
1|practice_id[A81058],0.345,0.086,0.185,0.51,0.0,0.001,38912.0,17616.0,1.0
1|practice_id[A81060],0.046,0.087,-0.116,0.21,0.0,0.001,37032.0,19133.0,1.0
1|practice_id[A81063],-0.153,0.086,-0.313,0.009,0.0,0.001,36388.0,19144.0,1.0
1|practice_id[A81064],-0.244,0.087,-0.408,-0.08,0.0,0.001,40656.0,19431.0,1.0
1|practice_id[A81065],0.771,0.086,0.608,0.933,0.0,0.001,40014.0,19214.0,1.0
1|practice_id[A81066],-0.358,0.086,-0.523,-0.203,0.0,0.001,40355.0,19139.0,1.0
1|practice_id[A81067],0.174,0.088,0.007,0.335,0.0,0.001,39195.0,19438.0,1.0
1|practice_id[A81069],-0.374,0.213,-0.776,0.023,0.001,0.001,30820.0,18710.0,1.0
1|practice_id[A81070],0.493,0.086,0.332,0.654,0.0,0.001,37545.0,19539.0,1.0
1|practice_id[A81602],0.009,0.085,-0.147,0.173,0.0,0.001,38113.0,18531.0,1.0
1|practice_id[A81605],-0.423,0.194,-0.796,-0.062,0.001,0.001,32759.0,18779.0,1.0
1|practice_id[A81608],-0.183,0.087,-0.349,-0.022,0.0,0.001,38636.0,19519.0,1.0
1|practice_id[A81609],-0.302,0.201,-0.674,0.079,0.001,0.001,32518.0,18903.0,1.0
1|practice_id[A81610],0.146,0.086,-0.016,0.308,0.0,0.001,38632.0,18800.0,1.0
1|practice_id[A81611],-0.054,0.085,-0.217,0.101,0.0,0.001,35217.0,18956.0,1.0
1|practice_id[A81612],0.404,0.087,0.238,0.565,0.0,0.001,34918.0,18626.0,1.0
1|practice_id[A81613],-0.692,0.162,-0.989,-0.379,0.001,0.001,33566.0,18449.0,1.0
1|practice_id[A81618],-0.166,0.086,-0.325,-0.005,0.0,0.001,36521.0,20361.0,1.0
1|practice_id[A81621],-0.426,0.086,-0.583,-0.263,0.0,0.001,38369.0,18483.0,1.0
1|practice_id[A81622],-0.036,0.086,-0.2,0.122,0.0,0.001,37658.0,19457.0,1.0
1|practice_id[A81623],0.206,0.218,-0.201,0.615,0.001,0.001,36643.0,19304.0,1.0
1|practice_id[A81629],-0.102,0.085,-0.262,0.056,0.0,0.001,38337.0,19900.0,1.0
1|practice_id[A81630],0.303,0.086,0.144,0.467,0.0,0.001,39502.0,18945.0,1.0
1|practice_id[A81631],0.393,0.086,0.234,0.558,0.0,0.001,35959.0,20209.0,1.0
1|practice_id[A81632],-0.405,0.097,-0.587,-0.22,0.001,0.001,35390.0,19077.0,1.0
1|practice_id[A81633],0.238,0.086,0.071,0.397,0.0,0.001,39460.0,19454.0,1.0
1|practice_id[A81634],0.376,0.086,0.216,0.535,0.0,0.001,37747.0,19363.0,1.0
1|practice_id[A82003],0.128,0.085,-0.031,0.288,0.0,0.001,37100.0,19154.0,1.0
1|practice_id[A82004],0.227,0.085,0.064,0.384,0.0,0.001,34654.0,18608.0,1.0
1|practice_id[A82005],0.161,0.086,0.009,0.329,0.0,0.001,39325.0,17867.0,1.0
1|practice_id[A82006],-0.346,0.085,-0.507,-0.189,0.0,0.001,37161.0,19320.0,1.0
1|practice_id[A82007],-0.307,0.085,-0.47,-0.151,0.0,0.001,35583.0,18994.0,1.0
1|practice_id[A82008],-0.288,0.086,-0.454,-0.131,0.0,0.001,37182.0,19524.0,1.0
1|practice_id[A82009],-0.015,0.086,-0.171,0.151,0.0,0.001,34675.0,19516.0,1.0
1|practice_id[A82010],-0.363,0.085,-0.524,-0.204,0.0,0.001,38502.0,18099.0,1.0
1|practice_id[A82011],-0.687,0.239,-1.13,-0.236,0.001,0.002,33568.0,17256.0,1.0
1|practice_id[A82012],0.34,0.086,0.178,0.504,0.0,0.001,36147.0,18931.0,1.0
1|practice_id[A82013],-0.141,0.086,-0.3,0.021,0.0,0.001,38145.0,19003.0,1.0
1|practice_id[A82014],0.07,0.085,-0.09,0.227,0.0,0.001,35967.0,19065.0,1.0
1|practice_id[A82015],0.01,0.085,-0.142,0.178,0.0,0.001,35700.0,19997.0,1.0
1|practice_id[A82016],0.385,0.085,0.227,0.546,0.0,0.001,37073.0,19482.0,1.0
1|practice_id[A82017],-0.455,0.171,-0.782,-0.142,0.001,0.001,35144.0,18545.0,1.0
1|practice_id[A82018],0.204,0.086,0.042,0.366,0.0,0.001,35154.0,18858.0,1.0
1|practice_id[A82019],0.248,0.085,0.09,0.412,0.0,0.001,38093.0,19702.0,1.0
1|practice_id[A82020],0.246,0.086,0.087,0.413,0.0,0.001,34739.0,19075.0,1.0
1|practice_id[A82021],0.585,0.085,0.427,0.748,0.0,0.001,36329.0,18992.0,1.0
1|practice_id[A82022],-0.166,0.086,-0.33,-0.009,0.0,0.001,34271.0,18708.0,1.0
1|practice_id[A82023],0.078,0.086,-0.08,0.241,0.0,0.001,36911.0,20024.0,1.0
1|practice_id[A82024],-0.006,0.086,-0.17,0.152,0.0,0.001,36291.0,19434.0,1.0
