parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[3728],0.046,0.041,-0.034,0.12,0.012,0.006,11.0,27.0,1.87,4.707441095693721,-3.342849536249337,12.749685157937574,,,
practice_intercept_offset[3729],0.745,0.041,0.668,0.819,0.012,0.005,11.0,31.0,1.85,110.64414349807272,95.03327518649616,126.823047256647,,,
practice_intercept_offset[3730],1.037,0.042,0.952,1.111,0.013,0.006,11.0,28.0,1.92,182.0742082063136,159.08862535031338,203.73942705151612,,,
practice_intercept_offset[3731],0.634,0.039,0.552,0.702,0.012,0.006,11.0,25.0,1.87,88.51360625139246,73.67229927213259,101.77842430771793,,,
practice_intercept_offset[3732],0.609,0.039,0.532,0.679,0.012,0.005,11.0,27.0,1.86,83.85918872918931,70.23335733667813,97.1904841108186,,,
practice_intercept_offset[3733],0.217,0.039,0.139,0.288,0.011,0.005,12.0,32.0,1.75,24.234410213776396,14.91241000036052,33.375730412338456,,,
practice_intercept_offset[3734],0.532,0.038,0.461,0.602,0.011,0.004,11.0,39.0,1.84,70.23335733667813,58.56588512805472,82.57666846595977,,,
practice_intercept_offset[3735],0.306,0.041,0.226,0.379,0.012,0.006,11.0,27.0,1.9,35.79823065478924,25.357566527818687,46.08230357434317,,,
practice_intercept_offset[3736],0.701,0.044,0.615,0.782,0.012,0.005,13.0,38.0,1.6,101.576746739001,84.96565995583272,118.58395758838132,,,
practice_intercept_offset[3737],1.02,0.039,0.941,1.089,0.012,0.005,11.0,27.0,1.85,177.31947639642976,156.25426801650798,197.130128513195,,,
practice_intercept_offset[3738],-0.147,0.041,-0.227,-0.072,0.012,0.006,12.0,27.0,1.74,-13.670602258368058,-20.30792177098604,-6.946910418879426,,,
practice_intercept_offset[3739],-0.233,0.043,-0.317,-0.152,0.012,0.005,14.0,40.0,1.52,-20.7846426475686,-27.16692448742983,-14.101171925887655,,,
practice_intercept_offset[3740],0.428,0.063,0.304,0.552,0.012,0.003,30.0,131.0,1.18,53.41860809675796,35.52690560896716,73.67229927213259,,,
practice_intercept_offset[3741],0.772,0.039,0.695,0.843,0.012,0.005,12.0,28.0,1.81,116.40901087061212,100.37090739411752,132.3326511794304,,,
practice_intercept_offset[3742],0.427,0.04,0.353,0.5,0.012,0.005,11.0,33.0,1.87,53.26526617240188,42.33311434336018,64.87212707001282,,,
practice_intercept_offset[3743],-0.399,0.039,-0.476,-0.33,0.012,0.005,11.0,25.0,1.85,-32.90092986465542,-37.87365177525383,-28.107626656807383,,,
practice_intercept_offset[3744],0.891,0.039,0.811,0.961,0.012,0.006,12.0,27.0,1.82,143.75659989119467,125.01570189918864,161.43094761801692,,,
practice_intercept_offset[3745],0.557,0.039,0.478,0.626,0.012,0.006,11.0,28.0,1.85,74.54283529493428,61.2845483383623,87.01151378240854,,,
practice_intercept_offset[3746],-0.082,0.04,-0.158,-0.009,0.012,0.004,11.0,36.0,1.85,-7.872804130365141,-14.615021803151828,-0.8959621227116354,,,
practice_intercept_offset[3747],-1.12,0.071,-1.258,-0.98,0.012,0.002,33.0,178.0,1.17,-67.37202053769606,-71.57780977607825,-62.46889011486005,,,
practice_intercept_offset[3748],-0.562,0.04,-0.636,-0.486,0.012,0.005,12.0,31.0,1.78,-42.99322126219865,-47.05941822913054,-38.491819268647134,,,
practice_intercept_offset[3749],0.448,0.042,0.365,0.523,0.012,0.006,12.0,31.0,1.76,56.51786956535216,44.05140081492171,68.70813093472113,,,
practice_intercept_offset[3750],0.208,0.04,0.127,0.281,0.012,0.006,11.0,26.0,1.92,23.121316954886773,13.54170177814864,32.445360393525725,,,
practice_intercept_offset[3751],-0.035,0.054,-0.141,0.068,0.012,0.004,20.0,60.0,1.31,-3.4394583742433538,-13.151068830233214,7.036530847877431,,,
practice_intercept_offset[3752],-0.014,0.041,-0.095,0.059,0.012,0.006,12.0,28.0,1.83,-1.3902455737138109,-9.062706553176858,6.077524074015894,,,
practice_intercept_offset[3753],0.192,0.041,0.112,0.268,0.012,0.006,11.0,25.0,1.88,21.16705169649005,11.851286064504515,30.73471400149361,,,
practice_intercept_offset[3754],-0.262,0.041,-0.338,-0.187,0.012,0.004,12.0,42.0,1.8,-23.04889762924241,-28.680471210171778,-17.05562636145961,,,
practice_intercept_offset[3755],0.451,0.072,0.311,0.593,0.011,0.001,42.0,298.0,1.13,56.98812820932024,36.47892211861614,80.94085067159598,,,
practice_intercept_offset[3756],0.109,0.04,0.027,0.18,0.012,0.006,11.0,25.0,1.91,11.516235034144785,2.736780276348938,19.72173631218101,,,
practice_intercept_offset[3757],-0.562,0.041,-0.637,-0.488,0.012,0.004,12.0,43.0,1.81,-42.99322126219865,-47.11233234943175,-38.6147126957183,,,
practice_intercept_offset[3758],-1.597,0.049,-1.691,-1.503,0.013,0.005,15.0,46.0,1.51,-79.74968830078136,-81.56649033019873,-77.75382272496279,,,
