,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.683,0.001,0.681,0.684,0.0,0.0,49649.0,16381.0,1.0
Intercept,-0.063,0.008,-0.078,-0.049,0.0,0.0,3293.0,6681.0,1.0
hydro_rain_values,0.0,0.0,0.0,0.0,0.0,0.0,34630.0,19495.0,1.0
met_rain_values,0.0,0.0,-0.0,0.0,0.0,0.0,32068.0,18899.0,1.0
met_tmax_values,0.012,0.001,0.01,0.013,0.0,0.0,10413.0,15666.0,1.0
aqrean_carbon_monoxide_values,0.0,0.0,0.0,0.0,0.0,0.0,45812.0,18438.0,1.0
aqrean_daqi_overall_values,-0.01,0.002,-0.013,-0.006,0.0,0.0,25033.0,19859.0,1.0
aqrean_nitrogen_monoxide_values,0.001,0.0,0.0,0.001,0.0,0.0,23817.0,19110.0,1.0
aqrean_nitrogen_dioxide_values,0.001,0.0,0.0,0.001,0.0,0.0,28019.0,21405.0,1.0
aqrean_daqi_nitrogen_dioxide_values,0.005,0.004,-0.003,0.012,0.0,0.0,35316.0,20942.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.001,0.0,-0.001,-0.0,0.0,0.0,23979.0,18823.0,1.0
aqrean_ozone_values,-0.001,0.0,-0.001,-0.001,0.0,0.0,36737.0,19426.0,1.0
aqrean_daqi_ozone_values,0.006,0.003,-0.0,0.011,0.0,0.0,31013.0,19549.0,1.0
aqrean_pm2p5_values,-0.002,0.0,-0.002,-0.002,0.0,0.0,30734.0,18552.0,1.0
aqrean_pm10_values,0.002,0.0,0.002,0.003,0.0,0.0,27770.0,19194.0,1.0
aqrean_daqi_pm10_values,-0.02,0.002,-0.025,-0.016,0.0,0.0,46367.0,18579.0,1.0
aqrean_sulfur_dioxide_values,-0.0,0.0,-0.001,-0.0,0.0,0.0,38353.0,19489.0,1.0
aqrean_daqi_sulfur_dioxide_values,-0.042,0.074,-0.178,0.099,0.0,0.0,23742.0,19950.0,1.0
hydro_rain_values:met_rain_values,0.0,0.0,-0.0,0.0,0.0,0.0,28491.0,20259.0,1.0
met_rain_values:met_tmax_values,0.0,0.0,-0.0,0.0,0.0,0.0,30420.0,19534.0,1.0
hydro_rain_values:met_tmax_values,0.0,0.0,-0.0,0.0,0.0,0.0,33929.0,19928.0,1.0
aqrean_nitrogen_dioxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,0.0,0.0,-0.0,0.0,0.0,0.0,31037.0,20464.0,1.0
aqrean_nitrogen_monoxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.0,0.0,0.0,0.0,31850.0,22669.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_nitrogen_dioxide_values,-0.023,0.002,-0.026,-0.019,0.0,0.0,45985.0,17678.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_ozone_values,-0.015,0.002,-0.018,-0.012,0.0,0.0,24545.0,20031.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_pm10_values,0.009,0.001,0.008,0.011,0.0,0.0,26639.0,18558.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_sulfur_dioxide_values,-0.026,0.032,-0.088,0.035,0.0,0.0,52866.0,17552.0,1.0
aqrean_daqi_nitrogen_dioxide_values:aqrean_nitrogen_dioxide_values,-0.002,0.0,-0.003,-0.002,0.0,0.0,26483.0,19420.0,1.0
aqrean_daqi_ozone_values:aqrean_ozone_values,0.001,0.0,0.001,0.001,0.0,0.0,24603.0,19661.0,1.0
aqrean_daqi_pm10_values:aqrean_pm10_values,-0.001,0.0,-0.001,-0.001,0.0,0.0,27758.0,19045.0,1.0
aqrean_daqi_sulfur_dioxide_values:aqrean_sulfur_dioxide_values,0.0,0.001,-0.001,0.001,0.0,0.0,26503.0,19171.0,1.0
C(month)[2],-0.402,0.005,-0.411,-0.393,0.0,0.0,16855.0,19168.0,1.0
C(month)[3],0.122,0.005,0.112,0.132,0.0,0.0,14407.0,18094.0,1.0
C(month)[4],-0.067,0.007,-0.08,-0.055,0.0,0.0,9702.0,15344.0,1.0
C(month)[5],0.047,0.008,0.033,0.062,0.0,0.0,7910.0,13377.0,1.0
C(month)[6],-0.12,0.009,-0.138,-0.103,0.0,0.0,7480.0,12257.0,1.0
C(month)[7],-0.029,0.011,-0.048,-0.007,0.0,0.0,7602.0,12481.0,1.0
C(month)[8],-0.104,0.01,-0.123,-0.085,0.0,0.0,7427.0,11808.0,1.0
C(month)[9],-0.129,0.009,-0.146,-0.114,0.0,0.0,7577.0,12175.0,1.0
C(month)[10],-0.026,0.007,-0.038,-0.013,0.0,0.0,8012.0,13037.0,1.0
C(month)[11],-0.079,0.005,-0.088,-0.069,0.0,0.0,11851.0,16207.0,1.0
C(month)[12],0.212,0.004,0.203,0.22,0.0,0.0,15544.0,18713.0,1.0
1|practice_id_sigma,0.443,0.004,0.435,0.451,0.0,0.0,3516.0,6899.0,1.0
date_code|practice_id_sigma,0.745,0.007,0.733,0.757,0.0,0.0,2175.0,4127.0,1.0
1|practice_id[A81001],-0.181,0.087,-0.344,-0.017,0.0,0.001,39089.0,19401.0,1.0
1|practice_id[A81002],-0.028,0.087,-0.19,0.135,0.0,0.001,36235.0,19918.0,1.0
1|practice_id[A81003],0.552,0.179,0.213,0.881,0.001,0.001,31360.0,18070.0,1.0
1|practice_id[A81004],0.019,0.086,-0.151,0.173,0.0,0.001,38256.0,20174.0,1.0
1|practice_id[A81005],-0.25,0.085,-0.408,-0.091,0.0,0.001,37677.0,18863.0,1.0
1|practice_id[A81006],0.059,0.086,-0.103,0.219,0.0,0.001,38975.0,19319.0,1.0
1|practice_id[A81007],-0.218,0.085,-0.377,-0.058,0.0,0.001,34923.0,19570.0,1.0
1|practice_id[A81008],-0.598,0.192,-0.966,-0.247,0.001,0.001,30892.0,18122.0,1.0
1|practice_id[A81009],-0.246,0.086,-0.41,-0.087,0.0,0.001,37987.0,18631.0,1.0
1|practice_id[A81011],-0.324,0.085,-0.489,-0.169,0.0,0.001,33610.0,19862.0,1.0
1|practice_id[A81012],0.323,0.086,0.157,0.481,0.0,0.001,40344.0,18689.0,1.0
1|practice_id[A81013],-0.167,0.085,-0.329,-0.01,0.0,0.001,34510.0,18097.0,1.0
1|practice_id[A81014],-0.557,0.086,-0.726,-0.401,0.0,0.001,39263.0,19001.0,1.0
1|practice_id[A81015],-0.265,0.108,-0.466,-0.062,0.001,0.001,35202.0,19814.0,1.0
1|practice_id[A81016],-0.253,0.087,-0.413,-0.087,0.0,0.001,39631.0,19123.0,1.0
1|practice_id[A81017],0.244,0.087,0.084,0.409,0.0,0.001,39612.0,18547.0,1.0
1|practice_id[A81018],0.115,0.085,-0.043,0.274,0.0,0.001,37665.0,19530.0,1.0
1|practice_id[A81019],-0.087,0.087,-0.251,0.073,0.0,0.001,40787.0,19128.0,1.0
1|practice_id[A81020],0.001,0.087,-0.161,0.167,0.0,0.001,38139.0,19649.0,1.0
1|practice_id[A81021],-0.185,0.086,-0.35,-0.026,0.0,0.001,41015.0,18780.0,1.0
1|practice_id[A81022],-0.265,0.086,-0.427,-0.104,0.0,0.001,34314.0,18284.0,1.0
1|practice_id[A81023],-0.636,0.087,-0.797,-0.472,0.0,0.001,35623.0,18389.0,1.0
1|practice_id[A81025],0.109,0.087,-0.052,0.273,0.0,0.001,35751.0,19089.0,1.0
1|practice_id[A81026],-0.34,0.087,-0.503,-0.176,0.0,0.001,36729.0,18408.0,1.0
1|practice_id[A81027],0.301,0.085,0.135,0.454,0.0,0.001,36738.0,19577.0,1.0
1|practice_id[A81029],-0.095,0.085,-0.254,0.065,0.0,0.001,37306.0,19933.0,1.0
1|practice_id[A81030],-0.315,0.087,-0.475,-0.148,0.0,0.001,37640.0,17943.0,1.0
1|practice_id[A81031],-0.5,0.086,-0.668,-0.343,0.0,0.001,34549.0,18695.0,1.0
1|practice_id[A81032],-0.427,0.085,-0.586,-0.265,0.0,0.001,37387.0,19078.0,1.0
1|practice_id[A81033],-0.402,0.119,-0.632,-0.182,0.001,0.001,33541.0,19361.0,1.0
1|practice_id[A81034],0.038,0.086,-0.123,0.199,0.0,0.001,36684.0,18515.0,1.0
1|practice_id[A81035],0.001,0.086,-0.156,0.167,0.0,0.001,36834.0,19592.0,1.0
1|practice_id[A81036],-0.43,0.086,-0.589,-0.267,0.0,0.001,34730.0,18507.0,1.0
1|practice_id[A81037],0.31,0.087,0.145,0.469,0.0,0.001,36975.0,18730.0,1.0
1|practice_id[A81038],0.488,0.086,0.32,0.645,0.0,0.001,39779.0,19443.0,1.0
1|practice_id[A81039],-0.221,0.086,-0.381,-0.06,0.0,0.001,36166.0,19795.0,1.0
1|practice_id[A81040],0.022,0.086,-0.145,0.179,0.0,0.001,36407.0,19305.0,1.0
1|practice_id[A81041],-0.243,0.086,-0.405,-0.081,0.0,0.001,38652.0,19253.0,1.0
1|practice_id[A81042],0.151,0.086,-0.013,0.311,0.0,0.001,37414.0,18796.0,1.0
1|practice_id[A81043],0.26,0.086,0.1,0.424,0.0,0.001,38440.0,19165.0,1.0
1|practice_id[A81044],0.243,0.086,0.083,0.409,0.0,0.001,36091.0,18791.0,1.0
1|practice_id[A81045],0.551,0.086,0.391,0.713,0.0,0.001,37441.0,19103.0,1.0
1|practice_id[A81046],0.035,0.086,-0.128,0.195,0.0,0.001,36947.0,20032.0,1.0
1|practice_id[A81047],-0.557,0.129,-0.801,-0.312,0.001,0.001,33364.0,18569.0,1.0
1|practice_id[A81048],0.354,0.085,0.19,0.509,0.0,0.001,37427.0,18865.0,1.0
1|practice_id[A81049],0.388,0.087,0.221,0.547,0.0,0.001,35185.0,19403.0,1.0
1|practice_id[A81051],0.07,0.086,-0.09,0.233,0.0,0.001,37105.0,19803.0,1.0
1|practice_id[A81052],-0.163,0.086,-0.322,-0.002,0.0,0.001,33517.0,19331.0,1.0
1|practice_id[A81053],0.109,0.086,-0.052,0.272,0.0,0.001,38037.0,18097.0,1.0
1|practice_id[A81054],-0.107,0.087,-0.276,0.049,0.0,0.001,34381.0,19758.0,1.0
1|practice_id[A81056],-0.185,0.087,-0.351,-0.025,0.0,0.001,37495.0,19419.0,1.0
1|practice_id[A81057],-0.047,0.086,-0.209,0.113,0.0,0.001,37842.0,20206.0,1.0
1|practice_id[A81058],-0.166,0.086,-0.328,-0.004,0.0,0.001,37430.0,18548.0,1.0
1|practice_id[A81060],-0.291,0.086,-0.454,-0.129,0.0,0.001,36190.0,19429.0,1.0
1|practice_id[A81063],-0.312,0.086,-0.469,-0.148,0.0,0.001,33813.0,18685.0,1.0
1|practice_id[A81064],-0.14,0.086,-0.298,0.027,0.0,0.001,37846.0,19143.0,1.0
1|practice_id[A81065],-0.01,0.086,-0.173,0.151,0.0,0.001,36457.0,19195.0,1.0
