,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.683,0.001,0.682,0.684,0.0,0.0,42547.0,17042.0,1.0
Intercept,-0.073,0.008,-0.087,-0.058,0.0,0.0,2173.0,4397.0,1.0
hydro_rain_values,0.007,0.002,0.004,0.011,0.0,0.0,25409.0,19377.0,1.0
met_rain_values,0.0,0.002,-0.003,0.003,0.0,0.0,25971.0,19578.0,1.0
met_tmax_values,0.051,0.003,0.044,0.057,0.0,0.0,7599.0,13175.0,1.0
aqrean_carbon_monoxide_values,0.025,0.002,0.022,0.028,0.0,0.0,39505.0,18799.0,1.0
aqrean_daqi_overall_values,-0.003,0.002,-0.006,0.001,0.0,0.0,29018.0,19706.0,1.0
aqrean_nitrogen_monoxide_values,0.019,0.011,-0.002,0.04,0.0,0.0,16914.0,17731.0,1.0
aqrean_nitrogen_dioxide_values,0.006,0.003,0.0,0.012,0.0,0.0,14796.0,18229.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.004,0.001,-0.007,-0.002,0.0,0.0,34363.0,17723.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.039,0.012,-0.062,-0.015,0.0,0.0,16754.0,17719.0,1.0
aqrean_ozone_values,-0.015,0.003,-0.02,-0.01,0.0,0.0,24200.0,19224.0,1.0
aqrean_daqi_ozone_values,0.003,0.002,-0.0,0.008,0.0,0.0,21686.0,17863.0,1.0
aqrean_pm2p5_values,-0.029,0.003,-0.034,-0.024,0.0,0.0,24128.0,18787.0,1.0
aqrean_pm10_values,0.042,0.003,0.038,0.047,0.0,0.0,22651.0,18935.0,1.0
aqrean_daqi_pm10_values,-0.028,0.002,-0.032,-0.024,0.0,0.0,30437.0,20149.0,1.0
aqrean_sulfur_dioxide_values,-0.003,0.001,-0.006,-0.0,0.0,0.0,30456.0,20232.0,1.0
aqrean_daqi_sulfur_dioxide_values,-0.0,0.001,-0.002,0.001,0.0,0.0,42330.0,18647.0,1.0
C(month)[2],-0.402,0.005,-0.411,-0.394,0.0,0.0,13344.0,17057.0,1.0
C(month)[3],0.118,0.005,0.108,0.128,0.0,0.0,10161.0,16026.0,1.0
C(month)[4],-0.07,0.006,-0.082,-0.058,0.0,0.0,6843.0,12638.0,1.0
C(month)[5],0.061,0.007,0.047,0.075,0.0,0.0,5667.0,10905.0,1.0
C(month)[6],-0.106,0.009,-0.123,-0.089,0.0,0.0,5369.0,10365.0,1.0
C(month)[7],-0.007,0.01,-0.027,0.013,0.0,0.0,5488.0,10025.0,1.0
C(month)[8],-0.087,0.01,-0.104,-0.069,0.0,0.0,5419.0,10124.0,1.0
C(month)[9],-0.113,0.008,-0.129,-0.098,0.0,0.0,5465.0,9787.0,1.0
C(month)[10],-0.001,0.006,-0.013,0.011,0.0,0.0,6004.0,11704.0,1.0
C(month)[11],-0.061,0.005,-0.07,-0.053,0.0,0.0,9113.0,16195.0,1.0
C(month)[12],0.218,0.004,0.209,0.226,0.0,0.0,12546.0,17612.0,1.0
1|practice_id_sigma,0.443,0.004,0.434,0.451,0.0,0.0,3076.0,6381.0,1.0
date_code|practice_id_sigma,0.746,0.007,0.734,0.759,0.0,0.0,1658.0,3487.0,1.0
1|practice_id[A81001],-0.193,0.086,-0.357,-0.032,0.0,0.001,32822.0,19821.0,1.0
1|practice_id[A81002],-0.04,0.087,-0.203,0.125,0.0,0.001,33143.0,19090.0,1.0
1|practice_id[A81003],0.559,0.18,0.217,0.897,0.001,0.001,24013.0,17848.0,1.0
1|practice_id[A81004],0.019,0.086,-0.145,0.176,0.0,0.001,30422.0,19663.0,1.0
1|practice_id[A81005],-0.245,0.086,-0.405,-0.083,0.0,0.001,33323.0,19855.0,1.0
1|practice_id[A81006],0.046,0.086,-0.118,0.206,0.0,0.001,36814.0,19039.0,1.0
1|practice_id[A81007],-0.212,0.087,-0.379,-0.055,0.0,0.001,31543.0,19695.0,1.0
1|practice_id[A81008],-0.624,0.191,-0.988,-0.267,0.001,0.001,28008.0,19149.0,1.0
1|practice_id[A81009],-0.267,0.087,-0.43,-0.102,0.0,0.001,34077.0,20014.0,1.0
1|practice_id[A81011],-0.318,0.086,-0.479,-0.156,0.0,0.001,30974.0,20272.0,1.0
1|practice_id[A81012],0.302,0.085,0.147,0.468,0.0,0.001,34944.0,17673.0,1.0
1|practice_id[A81013],-0.153,0.086,-0.311,0.011,0.0,0.001,29850.0,18656.0,1.0
1|practice_id[A81014],-0.569,0.087,-0.73,-0.404,0.0,0.001,35945.0,19224.0,1.0
1|practice_id[A81015],-0.262,0.109,-0.464,-0.057,0.001,0.001,28522.0,18958.0,1.0
1|practice_id[A81016],-0.274,0.086,-0.437,-0.113,0.0,0.001,31157.0,19230.0,1.0
1|practice_id[A81017],0.244,0.086,0.08,0.403,0.0,0.001,35012.0,18769.0,1.0
1|practice_id[A81018],0.118,0.087,-0.043,0.281,0.0,0.001,31212.0,19427.0,1.0
1|practice_id[A81019],-0.108,0.087,-0.27,0.053,0.0,0.001,33514.0,19375.0,1.0
1|practice_id[A81020],-0.019,0.086,-0.179,0.145,0.0,0.001,34917.0,18007.0,1.0
1|practice_id[A81021],-0.205,0.087,-0.379,-0.049,0.0,0.001,36109.0,20038.0,1.0
1|practice_id[A81022],-0.252,0.085,-0.409,-0.09,0.0,0.001,32415.0,20256.0,1.0
1|practice_id[A81023],-0.656,0.086,-0.817,-0.496,0.0,0.001,36824.0,19798.0,1.0
1|practice_id[A81025],0.097,0.087,-0.065,0.261,0.0,0.001,34303.0,19782.0,1.0
1|practice_id[A81026],-0.36,0.086,-0.527,-0.202,0.0,0.001,35998.0,18708.0,1.0
1|practice_id[A81027],0.303,0.085,0.142,0.462,0.0,0.001,32667.0,19559.0,1.0
1|practice_id[A81029],-0.115,0.087,-0.277,0.05,0.0,0.001,35293.0,18952.0,1.0
1|practice_id[A81030],-0.335,0.086,-0.491,-0.166,0.0,0.001,36102.0,19659.0,1.0
1|practice_id[A81031],-0.494,0.086,-0.657,-0.336,0.0,0.001,31663.0,20378.0,1.0
1|practice_id[A81032],-0.422,0.086,-0.584,-0.263,0.0,0.001,32623.0,18817.0,1.0
1|practice_id[A81033],-0.424,0.118,-0.644,-0.202,0.001,0.001,29756.0,19778.0,1.0
1|practice_id[A81034],0.038,0.085,-0.123,0.199,0.0,0.001,32888.0,20100.0,1.0
1|practice_id[A81035],-0.02,0.085,-0.18,0.138,0.0,0.001,35317.0,19059.0,1.0
1|practice_id[A81036],-0.442,0.086,-0.606,-0.282,0.0,0.001,34180.0,17901.0,1.0
1|practice_id[A81037],0.289,0.086,0.127,0.451,0.0,0.001,34250.0,18337.0,1.0
1|practice_id[A81038],0.467,0.086,0.307,0.631,0.0,0.001,35742.0,20160.0,1.0
1|practice_id[A81039],-0.222,0.086,-0.384,-0.061,0.0,0.001,33585.0,18641.0,1.0
1|practice_id[A81040],0.01,0.086,-0.148,0.175,0.0,0.001,34039.0,19573.0,1.0
1|practice_id[A81041],-0.238,0.085,-0.396,-0.078,0.0,0.001,32196.0,19198.0,1.0
1|practice_id[A81042],0.129,0.087,-0.037,0.29,0.0,0.001,35009.0,20046.0,1.0
1|practice_id[A81043],0.239,0.086,0.073,0.399,0.0,0.001,32761.0,19286.0,1.0
1|practice_id[A81044],0.248,0.086,0.081,0.405,0.0,0.001,32079.0,19354.0,1.0
1|practice_id[A81045],0.554,0.086,0.391,0.713,0.0,0.001,32022.0,19452.0,1.0
1|practice_id[A81046],0.023,0.086,-0.143,0.183,0.0,0.001,38864.0,19062.0,1.0
1|practice_id[A81047],-0.542,0.131,-0.792,-0.297,0.001,0.001,24947.0,18582.0,1.0
1|practice_id[A81048],0.368,0.085,0.208,0.527,0.0,0.001,31877.0,19032.0,1.0
1|practice_id[A81049],0.367,0.085,0.205,0.526,0.0,0.001,33140.0,20214.0,1.0
1|practice_id[A81051],0.058,0.086,-0.099,0.22,0.0,0.001,34963.0,19477.0,1.0
1|practice_id[A81052],-0.159,0.085,-0.318,0.001,0.0,0.001,30118.0,19608.0,1.0
1|practice_id[A81053],0.122,0.085,-0.038,0.283,0.0,0.001,32306.0,19872.0,1.0
1|practice_id[A81054],-0.102,0.085,-0.26,0.06,0.0,0.001,30449.0,19537.0,1.0
1|practice_id[A81056],-0.197,0.086,-0.357,-0.035,0.0,0.001,32239.0,18278.0,1.0
1|practice_id[A81057],-0.059,0.086,-0.215,0.106,0.0,0.001,33875.0,20520.0,1.0
1|practice_id[A81058],-0.17,0.086,-0.333,-0.012,0.0,0.001,33277.0,18706.0,1.0
1|practice_id[A81060],-0.286,0.085,-0.448,-0.13,0.0,0.001,28737.0,19932.0,1.0
1|practice_id[A81063],-0.306,0.085,-0.473,-0.151,0.0,0.001,31411.0,19231.0,1.0
1|practice_id[A81064],-0.161,0.087,-0.322,0.005,0.0,0.001,35119.0,19517.0,1.0
1|practice_id[A81065],-0.031,0.086,-0.19,0.131,0.0,0.001,31626.0,19710.0,1.0
1|practice_id[A81066],-0.091,0.086,-0.253,0.07,0.0,0.001,30976.0,18654.0,1.0
1|practice_id[A81067],-0.308,0.087,-0.474,-0.148,0.0,0.001,35510.0,18939.0,1.0
1|practice_id[A81069],-0.741,0.216,-1.154,-0.335,0.001,0.001,23168.0,18223.0,1.0
1|practice_id[A81070],0.329,0.085,0.166,0.488,0.0,0.001,34615.0,19427.0,1.0
