,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81035],0.651,0.091,0.48,0.82,0.001,0.001,31978.0,19261.0,1.0
1|practice_id[A81036],0.143,0.091,-0.024,0.32,0.0,0.001,36532.0,19357.0,1.0
1|practice_id[A81037],0.275,0.091,0.106,0.447,0.001,0.001,30518.0,19952.0,1.0
1|practice_id[A81038],0.119,0.091,-0.053,0.288,0.0,0.001,35295.0,19320.0,1.0
1|practice_id[A81039],-0.176,0.09,-0.347,-0.009,0.001,0.001,31812.0,19363.0,1.0
1|practice_id[A81040],0.176,0.092,0.003,0.348,0.0,0.001,35300.0,19370.0,1.0
1|practice_id[A81041],-0.204,0.091,-0.379,-0.038,0.0,0.001,33548.0,19288.0,1.0
1|practice_id[A81042],0.055,0.091,-0.115,0.225,0.0,0.001,33369.0,19869.0,1.0
1|practice_id[A81043],0.337,0.09,0.17,0.511,0.0,0.001,34619.0,19008.0,1.0
1|practice_id[A81044],0.288,0.09,0.12,0.459,0.0,0.001,32732.0,19403.0,1.0
1|practice_id[A81045],0.866,0.091,0.696,1.036,0.0,0.001,33517.0,19601.0,1.0
1|practice_id[A81046],0.57,0.091,0.395,0.734,0.0,0.001,35482.0,20139.0,1.0
1|practice_id[A81047],-0.718,0.143,-0.984,-0.444,0.001,0.001,27313.0,19238.0,1.0
1|practice_id[A81048],0.453,0.089,0.283,0.618,0.0,0.001,32800.0,19539.0,1.0
1|practice_id[A81049],0.828,0.09,0.657,0.995,0.001,0.001,32585.0,20301.0,1.0
1|practice_id[A81051],0.188,0.091,0.017,0.361,0.0,0.001,36469.0,19088.0,1.0
1|practice_id[A81052],-0.087,0.09,-0.253,0.087,0.001,0.001,30963.0,19770.0,1.0
1|practice_id[A81053],0.572,0.09,0.401,0.74,0.0,0.001,35479.0,19111.0,1.0
1|practice_id[A81054],-0.242,0.091,-0.417,-0.077,0.001,0.001,30550.0,19000.0,1.0
1|practice_id[A81056],0.303,0.092,0.124,0.472,0.0,0.001,37238.0,19157.0,1.0
1|practice_id[A81057],-0.125,0.092,-0.298,0.044,0.0,0.001,35874.0,19676.0,1.0
1|practice_id[A81058],0.028,0.091,-0.142,0.201,0.0,0.001,34692.0,19533.0,1.0
1|practice_id[A81060],-0.123,0.091,-0.295,0.047,0.0,0.001,33392.0,19540.0,1.0
1|practice_id[A81063],0.196,0.09,0.018,0.359,0.0,0.001,33273.0,20471.0,1.0
1|practice_id[A81064],0.228,0.091,0.055,0.397,0.0,0.001,33274.0,19616.0,1.0
1|practice_id[A81065],0.83,0.091,0.656,0.996,0.001,0.001,32540.0,18842.0,1.0
1|practice_id[A81066],-0.117,0.09,-0.289,0.049,0.001,0.001,30628.0,19494.0,1.0
1|practice_id[A81067],-0.01,0.091,-0.18,0.162,0.0,0.001,36087.0,20743.0,1.0
1|practice_id[A81069],-1.295,0.223,-1.706,-0.863,0.001,0.001,23518.0,19158.0,1.0
1|practice_id[A81070],0.212,0.091,0.042,0.384,0.001,0.001,32855.0,19386.0,1.0
1|practice_id[A81602],0.259,0.092,0.087,0.432,0.001,0.001,33490.0,19190.0,1.0
1|practice_id[A81605],-0.627,0.191,-0.983,-0.264,0.001,0.001,29062.0,18388.0,1.0
1|practice_id[A81608],-0.232,0.092,-0.403,-0.057,0.0,0.001,36134.0,21048.0,1.0
1|practice_id[A81609],0.477,0.21,0.079,0.863,0.001,0.001,30877.0,18867.0,1.0
1|practice_id[A81610],0.254,0.09,0.08,0.42,0.001,0.001,32430.0,19476.0,1.0
1|practice_id[A81611],-0.039,0.091,-0.201,0.141,0.0,0.001,37206.0,19535.0,1.0
1|practice_id[A81612],0.198,0.09,0.03,0.367,0.0,0.001,33355.0,19596.0,1.0
1|practice_id[A81613],-0.076,0.176,-0.413,0.247,0.001,0.001,30337.0,18470.0,1.0
1|practice_id[A81618],0.014,0.09,-0.152,0.184,0.0,0.001,34139.0,19065.0,1.0
1|practice_id[A81621],-0.093,0.092,-0.267,0.075,0.0,0.001,37624.0,18361.0,1.0
1|practice_id[A81622],0.117,0.09,-0.056,0.28,0.001,0.001,30351.0,18953.0,1.0
1|practice_id[A81623],0.286,0.223,-0.125,0.709,0.001,0.001,30063.0,17946.0,1.0
1|practice_id[A81629],0.045,0.091,-0.125,0.213,0.0,0.001,33711.0,18863.0,1.0
1|practice_id[A81630],-0.305,0.091,-0.471,-0.133,0.0,0.001,34980.0,20168.0,1.0
1|practice_id[A81631],-0.223,0.089,-0.386,-0.052,0.0,0.001,33931.0,19264.0,1.0
1|practice_id[A81632],-0.607,0.099,-0.796,-0.419,0.001,0.001,33281.0,20109.0,1.0
1|practice_id[A81633],-0.499,0.092,-0.676,-0.33,0.0,0.001,34791.0,19915.0,1.0
