,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81026],-0.124,0.09,-0.291,0.049,0.001,0.001,30589.0,19548.0,1.0
1|practice_id[A81027],0.204,0.091,0.034,0.373,0.001,0.001,30700.0,18683.0,1.0
1|practice_id[A81029],0.307,0.091,0.138,0.478,0.001,0.001,30400.0,19208.0,1.0
1|practice_id[A81030],-0.236,0.091,-0.41,-0.072,0.001,0.001,32603.0,19959.0,1.0
1|practice_id[A81031],-0.092,0.091,-0.259,0.082,0.001,0.001,29605.0,19771.0,1.0
1|practice_id[A81032],-0.144,0.09,-0.312,0.028,0.001,0.001,30912.0,19785.0,1.0
1|practice_id[A81033],-0.407,0.124,-0.648,-0.182,0.001,0.001,26922.0,19722.0,1.0
1|practice_id[A81034],0.328,0.091,0.151,0.495,0.0,0.001,33956.0,19991.0,1.0
1|practice_id[A81035],0.648,0.091,0.479,0.817,0.001,0.001,31150.0,19610.0,1.0
1|practice_id[A81036],0.141,0.09,-0.031,0.309,0.001,0.001,31419.0,18743.0,1.0
1|practice_id[A81037],0.275,0.091,0.104,0.443,0.001,0.001,31434.0,19698.0,1.0
1|practice_id[A81038],0.117,0.091,-0.048,0.292,0.001,0.001,31078.0,19910.0,1.0
1|practice_id[A81039],-0.178,0.09,-0.35,-0.012,0.001,0.001,30267.0,18557.0,1.0
1|practice_id[A81040],0.174,0.091,0.007,0.346,0.0,0.001,33707.0,19740.0,1.0
1|practice_id[A81041],-0.206,0.091,-0.376,-0.036,0.001,0.001,31891.0,19827.0,1.0
1|practice_id[A81042],0.054,0.092,-0.119,0.225,0.0,0.001,35846.0,19952.0,1.0
1|practice_id[A81043],0.337,0.09,0.167,0.508,0.0,0.001,35875.0,18727.0,1.0
1|practice_id[A81044],0.286,0.089,0.113,0.451,0.001,0.001,31621.0,19904.0,1.0
1|practice_id[A81045],0.873,0.089,0.704,1.04,0.001,0.001,29690.0,19352.0,1.0
1|practice_id[A81046],0.568,0.091,0.398,0.74,0.001,0.001,32473.0,19654.0,1.0
1|practice_id[A81047],-0.712,0.142,-0.983,-0.449,0.001,0.001,25503.0,18526.0,1.0
1|practice_id[A81048],0.457,0.089,0.289,0.625,0.0,0.001,32648.0,19341.0,1.0
1|practice_id[A81049],0.828,0.091,0.655,0.999,0.001,0.001,32710.0,20034.0,1.0
1|practice_id[A81051],0.185,0.091,0.016,0.356,0.0,0.001,34809.0,20172.0,1.0
1|practice_id[A81052],-0.08,0.089,-0.251,0.085,0.0,0.001,32448.0,20448.0,1.0
1|practice_id[A81053],0.575,0.09,0.403,0.739,0.001,0.001,30975.0,19761.0,1.0
1|practice_id[A81054],-0.235,0.09,-0.407,-0.07,0.0,0.001,32458.0,20283.0,1.0
1|practice_id[A81056],0.301,0.091,0.134,0.474,0.001,0.001,31915.0,19691.0,1.0
1|practice_id[A81057],-0.128,0.09,-0.293,0.045,0.0,0.001,35142.0,20292.0,1.0
1|practice_id[A81058],0.027,0.091,-0.141,0.201,0.0,0.001,33626.0,19822.0,1.0
1|practice_id[A81060],-0.125,0.09,-0.294,0.043,0.001,0.001,30064.0,19000.0,1.0
1|practice_id[A81063],0.194,0.091,0.026,0.367,0.001,0.001,30630.0,19781.0,1.0
1|practice_id[A81064],0.227,0.09,0.055,0.394,0.001,0.001,32224.0,19513.0,1.0
1|practice_id[A81065],0.829,0.092,0.662,1.004,0.001,0.001,30718.0,19744.0,1.0
1|practice_id[A81066],-0.12,0.09,-0.288,0.05,0.001,0.001,29893.0,18793.0,1.0
1|practice_id[A81067],-0.011,0.091,-0.185,0.153,0.001,0.001,31440.0,20386.0,1.0
1|practice_id[A81069],-1.295,0.223,-1.707,-0.871,0.001,0.001,27196.0,18546.0,1.0
1|practice_id[A81070],0.21,0.09,0.043,0.38,0.001,0.001,31532.0,19332.0,1.0
1|practice_id[A81602],0.257,0.091,0.088,0.431,0.0,0.001,36729.0,19464.0,1.0
1|practice_id[A81605],-0.624,0.192,-0.979,-0.256,0.001,0.001,24575.0,17916.0,1.0
1|practice_id[A81608],-0.235,0.09,-0.406,-0.068,0.0,0.001,34136.0,19502.0,1.0
1|practice_id[A81609],0.475,0.213,0.071,0.871,0.001,0.001,24824.0,18630.0,1.0
1|practice_id[A81610],0.252,0.091,0.088,0.43,0.0,0.001,35982.0,19051.0,1.0
1|practice_id[A81611],-0.041,0.091,-0.212,0.131,0.001,0.001,31117.0,19064.0,1.0
1|practice_id[A81612],0.196,0.09,0.029,0.369,0.001,0.001,30752.0,19112.0,1.0
1|practice_id[A81613],-0.075,0.175,-0.419,0.245,0.001,0.001,24997.0,19527.0,1.0
1|practice_id[A81618],0.016,0.091,-0.153,0.189,0.001,0.001,29534.0,20047.0,1.0
1|practice_id[A81621],-0.094,0.091,-0.264,0.077,0.0,0.001,34683.0,20517.0,1.0
1|practice_id[A81622],0.116,0.091,-0.054,0.289,0.001,0.001,28578.0,19942.0,1.0
1|practice_id[A81623],0.286,0.22,-0.12,0.712,0.001,0.001,24877.0,18779.0,1.0
1|practice_id[A81629],0.043,0.091,-0.129,0.213,0.001,0.001,32140.0,19024.0,1.0
1|practice_id[A81630],-0.308,0.09,-0.475,-0.137,0.0,0.001,34383.0,19141.0,1.0
1|practice_id[A81631],-0.224,0.09,-0.392,-0.055,0.0,0.001,33828.0,20468.0,1.0
1|practice_id[A81632],-0.61,0.1,-0.798,-0.421,0.001,0.001,30659.0,19504.0,1.0
1|practice_id[A81633],-0.499,0.092,-0.672,-0.327,0.001,0.001,30824.0,18696.0,1.0
1|practice_id[A81634],-0.222,0.091,-0.393,-0.051,0.001,0.001,32152.0,19591.0,1.0
1|practice_id[A82003],0.512,0.09,0.344,0.682,0.001,0.001,29182.0,17359.0,1.0
1|practice_id[A82004],-0.171,0.091,-0.341,-0.003,0.001,0.001,31881.0,20060.0,1.0
1|practice_id[A82005],0.222,0.089,0.056,0.392,0.001,0.001,28834.0,19425.0,1.0
1|practice_id[A82006],0.522,0.09,0.354,0.691,0.001,0.001,29457.0,20455.0,1.0
1|practice_id[A82007],-0.014,0.09,-0.184,0.156,0.001,0.001,29835.0,18699.0,1.0
1|practice_id[A82008],0.24,0.09,0.07,0.407,0.001,0.001,30147.0,20343.0,1.0
1|practice_id[A82009],0.497,0.091,0.325,0.665,0.001,0.001,31938.0,20861.0,1.0
1|practice_id[A82010],0.697,0.09,0.528,0.863,0.001,0.001,29951.0,18670.0,1.0
1|practice_id[A82011],0.109,0.261,-0.376,0.604,0.002,0.002,22701.0,18834.0,1.0
1|practice_id[A82012],0.472,0.091,0.301,0.642,0.001,0.001,31383.0,20501.0,1.0
1|practice_id[A82013],0.428,0.09,0.264,0.601,0.001,0.001,31787.0,18722.0,1.0
1|practice_id[A82014],0.735,0.091,0.56,0.9,0.001,0.001,28819.0,18603.0,1.0
1|practice_id[A82015],-0.174,0.089,-0.346,-0.009,0.001,0.001,31091.0,19730.0,1.0
1|practice_id[A82016],0.218,0.091,0.047,0.386,0.001,0.001,29538.0,19992.0,1.0
1|practice_id[A82017],0.233,0.179,-0.094,0.58,0.001,0.001,25610.0,18633.0,1.0
1|practice_id[A82018],0.258,0.09,0.091,0.429,0.001,0.001,31876.0,18863.0,1.0
1|practice_id[A82019],0.358,0.091,0.189,0.529,0.001,0.001,30491.0,19448.0,1.0
1|practice_id[A82020],-0.0,0.09,-0.17,0.168,0.001,0.001,32497.0,20129.0,1.0
1|practice_id[A82021],0.285,0.091,0.11,0.456,0.001,0.001,29981.0,19039.0,1.0
1|practice_id[A82022],-0.099,0.091,-0.269,0.071,0.001,0.001,32760.0,20559.0,1.0
1|practice_id[A82023],0.183,0.09,0.01,0.348,0.001,0.001,31314.0,20038.0,1.0
1|practice_id[A82024],0.033,0.09,-0.138,0.2,0.001,0.001,32455.0,20050.0,1.0
1|practice_id[A82025],-0.134,0.091,-0.306,0.034,0.001,0.001,26542.0,19473.0,1.0
1|practice_id[A82026],0.535,0.09,0.36,0.698,0.001,0.001,30397.0,19381.0,1.0
1|practice_id[A82027],-0.183,0.091,-0.354,-0.014,0.001,0.001,30090.0,19182.0,1.0
1|practice_id[A82029],0.308,0.09,0.139,0.479,0.001,0.001,27162.0,18348.0,1.0
1|practice_id[A82030],-0.134,0.09,-0.309,0.029,0.0,0.001,33269.0,19962.0,1.0
1|practice_id[A82031],0.268,0.089,0.104,0.438,0.001,0.001,30424.0,20239.0,1.0
1|practice_id[A82032],0.899,0.09,0.732,1.071,0.001,0.001,30215.0,19868.0,1.0
1|practice_id[A82033],0.469,0.091,0.29,0.634,0.001,0.001,30998.0,19965.0,1.0
1|practice_id[A82034],0.22,0.097,0.037,0.402,0.001,0.001,28422.0,19670.0,1.0
1|practice_id[A82035],0.353,0.089,0.183,0.518,0.001,0.001,30981.0,20472.0,1.0
1|practice_id[A82036],0.332,0.09,0.161,0.502,0.001,0.001,32417.0,18795.0,1.0
1|practice_id[A82037],0.306,0.09,0.132,0.473,0.001,0.001,30386.0,19968.0,1.0
1|practice_id[A82038],0.309,0.091,0.14,0.479,0.001,0.001,26448.0,19178.0,1.0
1|practice_id[A82039],0.594,0.091,0.423,0.764,0.001,0.001,32118.0,19163.0,1.0
