,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81034],-0.248,0.087,-0.413,-0.089,0.0,0.001,33369.0,19072.0,1.0
1|practice_id[A81035],-0.222,0.087,-0.383,-0.059,0.0,0.001,33481.0,19022.0,1.0
1|practice_id[A81036],0.103,0.086,-0.059,0.266,0.0,0.001,36229.0,20056.0,1.0
1|practice_id[A81037],0.155,0.086,-0.009,0.314,0.0,0.001,34984.0,19332.0,1.0
1|practice_id[A81038],-0.082,0.087,-0.241,0.085,0.0,0.001,32652.0,19298.0,1.0
1|practice_id[A81039],0.074,0.087,-0.088,0.239,0.0,0.001,34174.0,19549.0,1.0
1|practice_id[A81040],0.256,0.087,0.093,0.419,0.0,0.001,36151.0,18612.0,1.0
1|practice_id[A81041],0.124,0.086,-0.042,0.282,0.0,0.001,34284.0,19883.0,1.0
1|practice_id[A81042],0.113,0.087,-0.054,0.273,0.0,0.001,32443.0,20016.0,1.0
1|practice_id[A81043],0.19,0.087,0.029,0.354,0.0,0.001,33827.0,19432.0,1.0
1|practice_id[A81044],-0.373,0.085,-0.529,-0.209,0.0,0.001,31689.0,18822.0,1.0
1|practice_id[A81045],0.225,0.087,0.065,0.39,0.0,0.001,30079.0,17240.0,1.0
1|practice_id[A81046],-0.032,0.087,-0.193,0.137,0.001,0.001,30332.0,19062.0,1.0
1|practice_id[A81047],-0.545,0.132,-0.793,-0.3,0.001,0.001,27520.0,19343.0,1.0
1|practice_id[A81048],0.428,0.087,0.271,0.597,0.0,0.001,31637.0,19716.0,1.0
1|practice_id[A81049],0.299,0.086,0.137,0.462,0.0,0.001,38056.0,19950.0,1.0
1|practice_id[A81051],0.239,0.087,0.071,0.398,0.0,0.001,34043.0,18970.0,1.0
1|practice_id[A81052],0.115,0.086,-0.041,0.281,0.0,0.001,31431.0,20194.0,1.0
1|practice_id[A81053],0.696,0.086,0.537,0.863,0.0,0.001,33224.0,17825.0,1.0
1|practice_id[A81054],-0.014,0.085,-0.173,0.147,0.0,0.001,31270.0,18406.0,1.0
1|practice_id[A81056],0.162,0.086,-0.002,0.321,0.0,0.001,32006.0,19548.0,1.0
1|practice_id[A81057],-0.31,0.086,-0.476,-0.152,0.0,0.001,34245.0,19532.0,1.0
1|practice_id[A81058],0.29,0.087,0.128,0.455,0.0,0.001,34697.0,19855.0,1.0
1|practice_id[A81060],0.001,0.087,-0.161,0.165,0.0,0.001,34812.0,18715.0,1.0
1|practice_id[A81063],-0.2,0.087,-0.362,-0.035,0.0,0.001,30428.0,19520.0,1.0
1|practice_id[A81064],-0.327,0.087,-0.494,-0.167,0.0,0.001,35701.0,19503.0,1.0
1|practice_id[A81065],0.69,0.086,0.53,0.851,0.0,0.001,36453.0,20122.0,1.0
1|practice_id[A81066],-0.399,0.086,-0.564,-0.242,0.0,0.001,31741.0,19941.0,1.0
1|practice_id[A81067],0.117,0.086,-0.039,0.282,0.0,0.001,36595.0,18351.0,1.0
1|practice_id[A81069],-0.409,0.213,-0.804,-0.004,0.001,0.001,29138.0,18205.0,1.0
1|practice_id[A81070],0.446,0.086,0.287,0.61,0.0,0.001,32489.0,20330.0,1.0
1|practice_id[A81602],-0.047,0.086,-0.209,0.112,0.0,0.001,34040.0,19752.0,1.0
1|practice_id[A81605],-0.458,0.195,-0.824,-0.087,0.001,0.001,30092.0,17569.0,1.0
1|practice_id[A81608],-0.238,0.087,-0.398,-0.069,0.0,0.001,35128.0,18450.0,1.0
1|practice_id[A81609],-0.354,0.201,-0.718,0.039,0.001,0.001,28223.0,18136.0,1.0
1|practice_id[A81610],0.09,0.087,-0.08,0.245,0.0,0.001,31640.0,19389.0,1.0
1|practice_id[A81611],-0.11,0.087,-0.275,0.052,0.0,0.001,35360.0,18280.0,1.0
1|practice_id[A81612],0.358,0.087,0.188,0.516,0.0,0.001,34947.0,19260.0,1.0
1|practice_id[A81613],-0.736,0.164,-1.042,-0.424,0.001,0.001,31214.0,18743.0,1.0
1|practice_id[A81618],-0.183,0.086,-0.346,-0.021,0.0,0.001,32846.0,19187.0,1.0
1|practice_id[A81621],-0.509,0.086,-0.672,-0.349,0.0,0.001,34087.0,20105.0,1.0
1|practice_id[A81622],-0.082,0.086,-0.245,0.08,0.0,0.001,33218.0,18321.0,1.0
1|practice_id[A81623],0.159,0.219,-0.254,0.578,0.001,0.001,25849.0,18511.0,1.0
1|practice_id[A81629],-0.158,0.085,-0.316,0.006,0.0,0.001,32591.0,20483.0,1.0
1|practice_id[A81630],0.247,0.087,0.088,0.413,0.0,0.001,35892.0,19683.0,1.0
1|practice_id[A81631],0.347,0.085,0.185,0.506,0.0,0.001,29179.0,19323.0,1.0
1|practice_id[A81632],-0.462,0.098,-0.649,-0.279,0.001,0.001,28676.0,17893.0,1.0
1|practice_id[A81633],0.155,0.087,-0.011,0.316,0.0,0.001,32358.0,19276.0,1.0
1|practice_id[A81634],0.321,0.087,0.157,0.483,0.0,0.001,35256.0,19102.0,1.0
1|practice_id[A82003],0.119,0.086,-0.045,0.277,0.0,0.001,30633.0,18600.0,1.0
1|practice_id[A82004],0.222,0.086,0.058,0.382,0.0,0.001,30401.0,19148.0,1.0
1|practice_id[A82005],0.166,0.086,0.01,0.332,0.001,0.001,29338.0,19526.0,1.0
1|practice_id[A82006],-0.353,0.085,-0.511,-0.19,0.0,0.001,34115.0,19886.0,1.0
1|practice_id[A82007],-0.326,0.086,-0.493,-0.172,0.0,0.001,31619.0,19913.0,1.0
1|practice_id[A82008],-0.307,0.086,-0.473,-0.147,0.0,0.001,32082.0,19059.0,1.0
1|practice_id[A82009],-0.034,0.087,-0.193,0.13,0.0,0.001,32422.0,20235.0,1.0
1|practice_id[A82010],-0.382,0.086,-0.549,-0.225,0.0,0.001,32059.0,18486.0,1.0
1|practice_id[A82011],-0.706,0.241,-1.158,-0.255,0.002,0.002,25207.0,17863.0,1.0
1|practice_id[A82012],0.328,0.086,0.174,0.499,0.0,0.001,32000.0,19708.0,1.0
1|practice_id[A82013],-0.149,0.086,-0.312,0.012,0.0,0.001,32742.0,20844.0,1.0
1|practice_id[A82014],0.07,0.085,-0.091,0.23,0.0,0.001,31728.0,19477.0,1.0
1|practice_id[A82015],-0.015,0.086,-0.173,0.149,0.0,0.001,30100.0,18480.0,1.0
1|practice_id[A82016],0.361,0.087,0.201,0.527,0.0,0.001,31682.0,19713.0,1.0
1|practice_id[A82017],-0.487,0.172,-0.816,-0.168,0.001,0.001,27622.0,19851.0,1.0
1|practice_id[A82018],0.179,0.086,0.02,0.341,0.0,0.001,32766.0,19980.0,1.0
1|practice_id[A82019],0.224,0.086,0.061,0.384,0.0,0.001,31160.0,19904.0,1.0
1|practice_id[A82020],0.231,0.086,0.069,0.392,0.001,0.001,28591.0,19581.0,1.0
1|practice_id[A82021],0.581,0.086,0.418,0.741,0.0,0.001,30296.0,19368.0,1.0
1|practice_id[A82022],-0.177,0.085,-0.333,-0.015,0.0,0.001,34215.0,19989.0,1.0
1|practice_id[A82023],0.072,0.086,-0.091,0.23,0.0,0.001,30410.0,18198.0,1.0
