name,error,coef_pred,p_pred,ci_pred,coef_imd,p_imd,ci_imd,coef_int,p_int,ci_int,intercept_reg_slope,slope_reg_slope
hydro_rain_values,,-0.0012103556201164144,0.11945914285517423,"(-0.0027339141525561314, 0.0003132029123233029)",0.04289585341661663,4.983618549300233e-51,"(0.037300482953501, 0.04849122387973225)",0.008832920997623365,3.187612677487922e-32,"(0.00736789896363672, 0.01029794303161001)",-0.022639423255160798,-0.01097283107826227
met_rain_values,,-0.0027379629637563243,0.0007322811231279955,"(-0.004326945184960207, -0.0011489807425524412)",0.018938823460713166,6.457292252978048e-14,"(0.013988550783123293, 0.02388909613830304)",0.0059751533672551885,7.593357592628583e-14,"(0.004408910047165975, 0.007541396687344402)",-0.006591763071752089,-0.006537289718903348
met_tmax_values,,-0.08103857279965777,7.725359018407129e-220,"(-0.08605707594535686, -0.07602006965395869)",0.021986392587218212,3.098441717660055e-18,"(0.017037661054285724, 0.0269351241201507)",-0.008782813007311515,6.009592251584692e-33,"(-0.010222541135778307, -0.007343084878844722)",-0.006269386448499659,-0.005358635904667432
met_tmin_values,,-0.04424359002009001,2.6280632909333587e-76,"(-0.04893423076879339, -0.03955294927138663)",0.020126374297167376,1.5110479013514581e-15,"(0.015180689968090536, 0.025072058626244217)",-0.009550563804286535,1.1942696383540059e-37,"(-0.011010163753649958, -0.008090963854923111)",-0.006514460206061664,-0.005575028620410073
aqrean_carbon_monoxide_values,,0.03739395882643201,3.882574229058878e-279,"(0.03534102388909761, 0.039446893763766415)",0.020265032722222055,1.3354552854982721e-09,"(0.013714107417491874, 0.026815958026952236)",0.008792369433421942,1.477898944353957e-22,"(0.007028975892176988, 0.010555762974666896)",-0.008146562270967083,-0.012480951636137286
aqrean_daqi_overall_values,,0.0017160934738558089,0.06496400060474575,"(-0.00010643207227447704, 0.003538619019986095)",0.013739427525068583,3.821788273135451e-05,"(0.007200136750203031, 0.020278718299934134)",0.006945427417227131,6.027665894310359e-20,"(0.0054566878117074296, 0.008434167022746832)",-0.008132086969920307,-0.012006013811593929
aqrean_nitrogen_monoxide_values,,0.03869658226054236,4.584932491817398e-227,"(0.03633901174286216, 0.04105415277822256)",0.019968338393020115,2.274419585719949e-09,"(0.013420243269992013, 0.026516433516048217)",0.003771933785151626,3.931693865115074e-05,"(0.00197382338018123, 0.005570044190122022)",-0.008685779433434184,-0.01385157882571777
aqrean_nitrogen_dioxide_values,,0.05074181133164348,5.000597264279295e-284,"(0.04798034764286434, 0.053503275020422625)",0.02212402189507561,3.94304661378214e-11,"(0.015560146646775764, 0.02868789714337546)",0.010032080281926235,2.7077588564606775e-21,"(0.007956539008948823, 0.012107621554903646)",-0.0077111868815736544,-0.012350043389287935
aqrean_daqi_nitrogen_dioxide_values,,0.012392588977483715,2.779691282558169e-32,"(0.010339161429257194, 0.014446016525710237)",0.015305378034014118,4.521259734810939e-06,"(0.008763965247093712, 0.021846790820934523)",0.006572879617548125,8.388581929320892e-13,"(0.004772287721839723, 0.008373471513256526)",-0.007860340807390983,-0.011982976161715541
aqrean_nox_expressed_as_nitrogen_dioxide_values,,0.04273638506297278,5.933449702451165e-245,"(0.0402304264207113, 0.045242343705234264)",0.021098951774077203,2.825740256995256e-10,"(0.014543330069266322, 0.027654573478888084)",0.004901023338541838,2.749030678210215e-07,"(0.0030321440479382945, 0.006769902629145381)",-0.008577603173126684,-0.013803395416544304
