name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82631],0.364,0.086,0.197,0.533,0.0,0.001,31895.0,20053.0,1.0
1|practice_id[A82635],-0.161,0.221,-0.582,0.279,0.001,0.001,22078.0,18894.0,1.0
1|practice_id[A82641],-1.014,0.213,-1.434,-0.599,0.001,0.001,27080.0,18285.0,1.0
1|practice_id[A82642],-0.192,0.192,-0.566,0.182,0.001,0.001,27070.0,17976.0,1.0
1|practice_id[A82646],-0.182,0.086,-0.356,-0.017,0.0,0.001,29835.0,19662.0,1.0
1|practice_id[A82647],-0.06,0.086,-0.227,0.109,0.001,0.001,29835.0,20102.0,1.0
1|practice_id[A82650],0.316,0.086,0.145,0.482,0.0,0.001,32079.0,20495.0,1.0
1|practice_id[A82651],-0.062,0.086,-0.226,0.108,0.0,0.001,31244.0,19066.0,1.0
1|practice_id[A82654],0.55,0.086,0.38,0.719,0.0,0.001,31330.0,19704.0,1.0
1|practice_id[A83004],0.381,0.091,0.203,0.559,0.001,0.001,29485.0,19018.0,1.0
1|practice_id[A83005],-0.125,0.086,-0.292,0.044,0.0,0.001,30730.0,19110.0,1.0
1|practice_id[A83006],0.116,0.086,-0.047,0.29,0.0,0.001,31220.0,18023.0,1.0
1|practice_id[A83007],0.485,0.085,0.319,0.653,0.0,0.001,31323.0,19879.0,1.0
1|practice_id[A83008],0.067,0.086,-0.103,0.234,0.0,0.001,31464.0,18397.0,1.0
1|practice_id[A83009],0.016,0.087,-0.154,0.186,0.001,0.001,29217.0,19567.0,1.0
1|practice_id[A83010],0.114,0.086,-0.057,0.28,0.0,0.0,29662.0,20139.0,1.0
1|practice_id[A83012],0.015,0.086,-0.152,0.185,0.001,0.001,28460.0,20012.0,1.0
1|practice_id[A83013],-0.083,0.085,-0.247,0.088,0.0,0.001,31181.0,19479.0,1.0
1|practice_id[A83014],0.183,0.086,0.015,0.35,0.001,0.001,29117.0,19403.0,1.0
1|practice_id[A83015],-0.47,0.086,-0.639,-0.302,0.0,0.001,30871.0,19346.0,1.0
1|practice_id[A83016],-0.225,0.086,-0.388,-0.047,0.0,0.001,33286.0,19107.0,1.0
1|practice_id[A83017],-0.468,0.092,-0.642,-0.284,0.001,0.001,28728.0,20174.0,1.0
1|practice_id[A83018],0.409,0.086,0.241,0.579,0.001,0.001,29623.0,19820.0,1.0
1|practice_id[A83019],-0.563,0.095,-0.75,-0.378,0.001,0.001,28545.0,19452.0,1.0
1|practice_id[A83021],0.188,0.086,0.028,0.365,0.0,0.001,30155.0,19249.0,1.0
1|practice_id[A83023],-0.104,0.087,-0.272,0.067,0.0,0.001,36062.0,19386.0,1.0
1|practice_id[A83024],-0.521,0.086,-0.699,-0.358,0.0,0.001,32532.0,18673.0,1.0
1|practice_id[A83025],-0.039,0.086,-0.213,0.122,0.0,0.001,31189.0,19393.0,1.0
1|practice_id[A83026],0.229,0.088,0.061,0.401,0.0,0.001,34743.0,19243.0,1.0
1|practice_id[A83027],-0.096,0.087,-0.267,0.077,0.0,0.001,31073.0,19918.0,1.0
1|practice_id[A83028],-0.004,0.087,-0.18,0.162,0.001,0.001,29081.0,19458.0,1.0
1|practice_id[A83029],-0.173,0.086,-0.345,-0.006,0.0,0.001,30655.0,18859.0,1.0
1|practice_id[A83031],-0.196,0.086,-0.362,-0.025,0.001,0.001,28495.0,18266.0,1.0
1|practice_id[A83032],-0.457,0.086,-0.625,-0.289,0.001,0.001,29007.0,19230.0,1.0
1|practice_id[A83033],-0.345,0.086,-0.509,-0.17,0.0,0.001,34962.0,18880.0,1.0
1|practice_id[A83034],0.217,0.086,0.053,0.392,0.0,0.001,32575.0,19616.0,1.0
1|practice_id[A83037],-0.163,0.086,-0.333,0.005,0.0,0.001,31590.0,18974.0,1.0
