parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
slope_re_offset[3550],0.577,0.232,0.259,1.325,0.08,0.093,12.0,16.0,1.42,78.06883445996127,29.563380482804845,276.21853549999105
slope_re_offset[3551],0.54,0.898,-0.078,2.403,0.445,0.284,6.0,15.0,1.95,71.60068621848585,-7.5035573456460725,1005.6295563718759
slope_re_offset[3552],0.546,0.743,0.044,2.09,0.367,0.234,7.0,21.0,1.61,72.63338533505097,4.498235488844382,708.491516430506
slope_re_offset[3553],0.548,0.703,0.068,2.122,0.345,0.239,6.0,11.0,1.8,72.97899760278472,7.036530847877431,734.7816436051781
slope_re_offset[3554],0.76,0.8,-0.811,1.425,0.397,0.238,4.0,13.0,3.43,113.82762204968185,-55.558656948837324,315.7857842756007
slope_re_offset[3555],-0.041,0.044,-0.118,0.05,0.01,0.004,18.0,53.0,1.17,-4.017087005220111,-11.130394738538262,5.127109637602412
slope_re_offset[3556],0.116,0.665,-0.61,2.346,0.273,0.359,8.0,11.0,1.61,12.29958721332547,-45.664913092550016,944.3711218652143
slope_re_offset[3557],0.099,0.102,-0.09,0.403,0.038,0.038,8.0,13.0,1.52,10.406629955888192,-8.60688147287718,49.630689166358266
slope_re_offset[3558],0.292,0.271,0.018,0.919,0.126,0.096,6.0,14.0,1.92,33.910301763929375,1.8162976389793695,150.6782353773446
slope_re_offset[3559],0.056,0.113,-0.224,0.192,0.051,0.042,6.0,13.0,1.76,5.759768373661123,-20.06848656306349,21.16705169649005
slope_re_offset[3560],0.513,0.361,-0.634,1.105,0.148,0.178,5.0,11.0,2.05,67.02945698405354,-46.953431113802516,201.92244688065685
slope_re_offset[3561],0.088,0.736,-1.39,0.645,0.363,0.213,5.0,32.0,2.3,9.19881220281975,-75.09246953683318,90.59870292719228
slope_re_offset[3562],0.536,0.242,0.326,1.242,0.103,0.108,7.0,14.0,1.66,70.91565445052328,38.54153688727846,246.25316075289197
slope_re_offset[3563],0.506,0.324,-0.246,0.84,0.153,0.101,5.0,16.0,2.55,65.8643334750305,-21.807777507452276,131.63669767810916
slope_re_offset[3564],-0.266,0.416,-1.526,0.626,0.147,0.154,7.0,14.0,1.57,-23.356087249898096,-78.2596455417365,87.01151378240854
slope_re_offset[3565],-0.015,0.199,-0.473,0.182,0.088,0.059,6.0,24.0,1.75,-1.4888060396937353,-37.686992882234215,19.961419387986833
slope_re_offset[3566],0.362,0.295,-0.529,0.961,0.107,0.126,7.0,15.0,1.58,43.61989419603518,-41.08061309513563,161.43094761801692
slope_re_offset[3567],-0.65,0.279,-1.358,-0.189,0.089,0.095,13.0,22.0,1.57,-47.79542232389839,-74.28253878285975,-17.221349330526635
