parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_offset[6644],-0.025,0.054,-0.135,0.076,0.015,0.003,14.0,83.0,1.21,-2.4690087971667385,-12.628408831196559,7.896257415728392
practice_offset[6645],1.878,0.064,1.755,2.004,0.02,0.008,10.0,28.0,1.31,554.0410950742851,478.3447741956774,641.8671514670643
practice_offset[6646],-1.463,0.06,-1.581,-1.342,0.016,0.007,13.0,35.0,1.21,-76.84593900754741,-79.42307739400928,-73.86774994144506
practice_offset[6647],-1.883,0.059,-1.998,-1.769,0.006,0.001,107.0,599.0,1.04,-84.78669785910516,-86.43937753458103,-82.94965929908749
practice_offset[6648],-2.824,0.053,-2.932,-2.718,0.008,0.005,44.0,50.0,1.07,-94.06320048495161,-94.67096492081775,-93.39933642273584
practice_offset[6649],-1.878,0.053,-1.98,-1.774,0.009,0.002,33.0,190.0,1.09,-84.71044086478356,-86.19307626891072,-83.03469822810514
practice_offset[6650],-1.383,0.052,-1.483,-1.283,0.009,0.002,31.0,280.0,1.09,-74.9175051627189,-77.30442013353428,-72.27955615305434
practice_offset[6651],-0.572,0.051,-0.673,-0.476,0.01,0.001,28.0,317.0,1.1,-43.56044818806416,-48.982424755917975,-37.87365177525383
practice_offset[6652],0.137,0.065,0.006,0.263,0.009,0.003,55.0,249.0,1.05,14.682814852039815,0.6018036054064924,30.082671895172417
practice_offset[6653],0.733,0.05,0.637,0.834,0.009,0.002,33.0,177.0,1.08,108.13151967047499,89.0799962303226,130.251038626171
practice_offset[6654],-0.809,0.048,-0.902,-0.712,0.006,0.002,68.0,168.0,1.05,-55.46968532076413,-59.42426669813845,-50.933810830075984
practice_offset[6655],-0.073,0.054,-0.176,0.034,0.01,0.003,30.0,95.0,1.09,-7.039916997420725,-16.138201666292595,3.4584606728117917
practice_offset[6656],-0.854,0.055,-0.965,-0.75,0.011,0.003,23.0,56.0,1.11,-57.429131301414984,-61.90168002606627,-52.763344725898534
practice_offset[6657],2.066,0.054,1.962,2.173,0.012,0.003,20.0,74.0,1.15,689.3187139516049,611.353992741158,778.4598344583095
practice_offset[6658],-0.463,0.049,-0.559,-0.372,0.006,0.001,63.0,225.0,1.06,-37.06073674918372,-42.82194413875791,-31.06457574757776
practice_offset[6659],-0.203,0.059,-0.319,-0.084,0.017,0.006,12.0,42.0,1.25,-18.37217585743901,-27.312445069366177,-8.056874390487534
practice_offset[6660],-2.295,0.072,-2.435,-2.154,0.009,0.001,63.0,509.0,1.05,-89.92386067316963,-91.24022529519424,-88.3980848225591
practice_offset[6661],-0.336,0.05,-0.43,-0.237,0.007,0.002,50.0,84.0,1.07,-28.537689418394272,-34.949090527668346,-21.100871198239023
practice_offset[6662],-0.215,0.054,-0.323,-0.112,0.011,0.002,22.0,185.0,1.12,-19.345855982267313,-27.602614563208473,-10.59557424996428
practice_offset[6663],-0.323,0.054,-0.426,-0.219,0.012,0.002,22.0,171.0,1.13,-27.602614563208473,-34.68836578793244,-19.667828184637347
practice_offset[6664],0.092,0.053,-0.014,0.196,0.009,0.004,38.0,107.0,1.07,9.636482208081688,-1.3902455737138109,21.652690533431617
practice_offset[6665],-0.002,0.072,-0.151,0.133,0.011,0.004,47.0,176.0,1.08,-0.1998001332666921,-14.015230134079449,14.224999833089424
practice_offset[6666],-0.929,0.052,-1.029,-0.826,0.01,0.002,27.0,237.0,1.1,-60.505153857539675,-64.26358539072872,-56.22030234830404
practice_offset[6667],0.302,0.052,0.204,0.404,0.011,0.002,24.0,228.0,1.11,35.25612267094822,22.62981534562105,49.78039469581388
practice_offset[6668],-2.479,0.064,-2.599,-2.353,0.017,0.005,14.0,46.0,1.2,-91.61729892966383,-92.56521110582807,-90.49165165387066
practice_offset[6669],-2.259,0.071,-2.398,-2.116,0.016,0.006,20.0,68.0,1.13,-89.55451125678418,-90.91004292470843,-87.94872834398507
practice_offset[6670],-0.034,0.072,-0.178,0.101,0.011,0.004,48.0,149.0,1.08,-3.342849536249337,-16.305757651123187,10.627664176342355
practice_offset[6671],-0.272,0.05,-0.369,-0.173,0.007,0.002,53.0,233.0,1.06,-23.814573891016245,-30.857458954969154,-15.886238515537677
practice_offset[6672],-0.257,0.049,-0.356,-0.164,0.007,0.002,54.0,271.0,1.05,-22.663178623455092,-29.952737976474765,-15.125797811979325
practice_offset[6673],-2.205,0.058,-2.32,-2.096,0.009,0.002,37.0,88.0,1.07,-88.97494746955148,-90.17264143956385,-87.70527650750711
practice_offset[6674],1.344,0.058,1.231,1.455,0.016,0.003,13.0,64.0,1.23,283.43502725130776,242.4652477011079,328.4483465602117
practice_offset[6675],1.225,0.058,1.112,1.337,0.016,0.003,13.0,57.0,1.23,240.4166082790819,204.0433183989171,280.76035433731965
practice_offset[6676],-0.543,0.054,-0.655,-0.444,0.011,0.003,25.0,79.0,1.1,-41.899737263639814,-48.05579374129518,-35.85345791726802
practice_offset[6677],-0.581,0.053,-0.694,-0.488,0.01,0.003,26.0,62.0,1.1,-44.06612519452732,-50.04262279464551,-38.6147126957183
practice_offset[6678],-1.505,0.05,-1.6,-1.406,0.005,0.001,98.0,321.0,1.03,-77.79827061680506,-79.81034820053446,-75.48781879608826
practice_offset[6679],-1.323,0.057,-1.432,-1.211,0.008,0.002,54.0,166.0,1.05,-73.3664903032396,-76.11692173018075,-70.210076880059
practice_offset[6680],-0.007,0.058,-0.12,0.102,0.009,0.004,42.0,131.0,1.06,-0.6975557066764893,-11.307956328284252,10.73834717279334
practice_offset[6681],-0.59,0.055,-0.698,-0.482,0.006,0.001,73.0,166.0,1.05,-44.56727152654929,-50.24205317679551,-38.245293823532
practice_offset[6682],0.29,0.068,0.158,0.419,0.009,0.002,59.0,273.0,1.05,33.6427488025472,17.11661947076695,52.04403547901961
practice_offset[6683],-0.487,0.058,-0.6,-0.372,0.009,0.003,38.0,181.0,1.08,-38.55329670553692,-45.11883639059736,-31.06457574757776
practice_offset[6684],0.676,0.055,0.572,0.784,0.009,0.002,42.0,303.0,1.07,96.59979912897259,77.18071244295741,119.0215629630643
practice_offset[6685],-0.471,0.061,-0.583,-0.341,0.018,0.006,12.0,45.0,1.24,-37.56224215885887,-44.17788115092988,-28.894109179359027
practice_offset[6686],1.437,0.056,1.33,1.547,0.008,0.002,53.0,218.0,1.05,320.8052703697845,278.1043387568781,369.7356952473066
practice_offset[6687],-3.238,0.065,-3.365,-3.111,0.012,0.003,31.0,87.0,1.1,-96.07576987307802,-96.54379838819959,-95.54436233220197
practice_offset[6688],-0.146,0.056,-0.253,-0.036,0.008,0.002,44.0,260.0,1.07,-13.58422968153572,-22.353211817626217,-3.535970651687692
practice_offset[6689],1.432,0.057,1.323,1.542,0.008,0.002,52.0,201.0,1.06,318.70649532798615,275.466850364688,367.39287869332094
practice_offset[6690],0.85,0.054,0.749,0.957,0.014,0.002,14.0,78.0,1.2,133.96468519259906,111.48840747433253,160.38731248931538
practice_offset[6691],0.619,0.058,0.508,0.731,0.016,0.003,13.0,70.0,1.23,85.70700429587728,66.19639409191058,107.71567261680337
practice_offset[6692],1.876,0.057,1.762,1.987,0.008,0.003,48.0,212.0,1.06,552.7343200947076,482.4073901819975,629.3620048029342
practice_offset[6693],2.69,0.063,2.568,2.81,0.017,0.004,13.0,47.0,1.23,1373.167592044257,1203.971890628918,1560.99182187867
practice_offset[6694],1.068,0.059,0.956,1.182,0.009,0.005,43.0,95.0,1.06,190.9554567850813,160.12705532709526,226.08894643851917
practice_offset[6695],-0.639,0.056,-0.747,-0.532,0.008,0.004,55.0,128.0,1.04,-47.21800197987923,-52.62142198240303,-41.25710638354766
practice_offset[6696],-1.848,0.056,-1.959,-1.742,0.007,0.002,65.0,230.0,1.03,-84.2448044669658,-85.90006502053413,-82.48302893773462
practice_offset[6697],-2.467,0.06,-2.584,-2.349,0.007,0.003,75.0,192.0,1.03,-91.51610054086477,-92.45284866086621,-90.45354209217548
practice_offset[6698],-0.921,0.055,-1.03,-0.816,0.007,0.004,56.0,124.0,1.04,-60.187927876345306,-64.29930394308526,-55.78030907201013
practice_offset[6699],-0.758,0.071,-0.905,-0.629,0.01,0.004,53.0,189.0,1.07,-53.139730417934985,-59.54581148969812,-46.68753408074079
practice_offset[6700],1.764,0.074,1.622,1.913,0.009,0.003,62.0,206.0,1.05,483.57337055407356,406.3206610118453,577.337848423818
practice_offset[6701],-0.815,0.058,-0.933,-0.705,0.014,0.003,18.0,116.0,1.16,-55.73606726386488,-60.66281770419779,-50.589142574385825
practice_offset[6702],2.152,0.06,2.032,2.266,0.01,0.005,36.0,73.0,1.08,760.2045295141248,662.9329769827445,864.0760542879285
practice_offset[6703],-1.084,0.052,-1.181,-0.98,0.012,0.002,18.0,201.0,1.15,-66.17601433121682,-69.3028386549301,-62.46889011486005
practice_offset[6704],-1.533,0.079,-1.698,-1.39,0.01,0.003,69.0,241.0,1.05,-78.41129662491181,-81.69507432884119,-75.09246953683318
practice_offset[6705],-2.3,0.072,-2.439,-2.157,0.016,0.004,19.0,99.0,1.14,-89.97411562771961,-91.27519440916005,-88.4328384116426
practice_offset[6706],0.38,0.073,0.232,0.513,0.01,0.004,52.0,201.0,1.06,46.228458943422446,26.111972882832934,67.02945698405354
practice_offset[6707],-0.039,0.061,-0.165,0.071,0.014,0.004,18.0,93.0,1.16,-3.8249290853633267,-15.210629591208413,7.358122586835747
practice_offset[6708],-1.683,0.061,-1.797,-1.56,0.017,0.005,13.0,53.0,1.22,-81.41843080438703,-83.42044705243485,-78.98639287992353
practice_offset[6709],-0.356,0.061,-0.473,-0.239,0.014,0.004,18.0,74.0,1.16,-29.952737976474765,-37.686992882234215,-21.258511762731203
practice_offset[6710],1.632,0.058,1.518,1.743,0.01,0.004,35.0,72.0,1.08,411.4092682531806,356.30898831090116,471.44611166426955
practice_offset[6711],-2.06,0.065,-2.186,-1.929,0.007,0.002,90.0,361.0,1.03,-87.25460301051793,-88.76346878592395,-85.47065807195959
practice_offset[6712],-0.891,0.05,-0.985,-0.791,0.006,0.001,81.0,289.0,1.04,-58.9754697740956,-62.65607730633391,-54.660882266615076
practice_offset[6713],0.913,0.057,0.798,1.022,0.008,0.002,49.0,236.0,1.06,149.17866916242124,122.10942947514347,177.87467035811972
practice_offset[6714],1.335,0.057,1.219,1.445,0.008,0.003,52.0,216.0,1.06,279.999594641927,238.38022389171903,324.18521428204355
practice_offset[6715],1.384,0.057,1.269,1.493,0.008,0.003,51.0,247.0,1.06,299.08330756591306,255.72934896261188,345.0426792472426
practice_offset[6716],-0.796,0.06,-0.916,-0.681,0.016,0.004,15.0,73.0,1.22,-54.88701205969577,-59.988369034369505,-49.38893714026948
practice_offset[6717],-0.515,0.056,-0.626,-0.407,0.007,0.001,59.0,420.0,1.05,-40.249940538176254,-46.52735653680025,-33.43558096984788
practice_offset[6718],-1.172,0.06,-1.291,-1.05,0.017,0.007,13.0,33.0,1.21,-69.02531722967792,-72.50043501038128,-65.00622508888448
practice_offset[6719],0.034,0.06,-0.088,0.15,0.007,0.001,73.0,439.0,1.04,3.4584606728117917,-8.423912327667438,16.183424272828304
practice_offset[6720],-2.975,0.069,-3.107,-2.834,0.013,0.003,30.0,200.0,1.11,-94.89525659958457,-95.52650408885506,-94.1222726271242
practice_offset[6721],-1.08,0.054,-1.188,-0.977,0.009,0.003,39.0,95.0,1.07,-66.0404474355061,-69.51696845568031,-62.356127726193414
practice_offset[6722],-0.751,0.049,-0.843,-0.655,0.006,0.001,63.0,296.0,1.05,-52.810557770715796,-56.95826673850933,-48.05579374129518
practice_offset[6723],1.397,0.057,1.281,1.504,0.009,0.004,37.0,86.0,1.07,304.305259710927,260.0238164214303,349.9651727984507
practice_offset[6724],-1.688,0.054,-1.789,-1.581,0.01,0.003,30.0,101.0,1.09,-81.51110676738277,-83.28727866553737,-79.42307739400928
practice_offset[6725],-1.856,0.056,-1.966,-1.749,0.01,0.002,30.0,145.0,1.08,-84.37034320673179,-85.99841992162106,-82.60521956901631
practice_offset[6726],-2.357,0.054,-2.464,-2.255,0.008,0.002,40.0,172.0,1.07,-90.52960908178946,-91.4906106267336,-89.51264562637131
practice_offset[6727],0.334,0.061,0.212,0.45,0.018,0.006,11.0,44.0,1.26,39.654314357450524,23.61478850785035,56.83121854901687
practice_offset[6728],0.761,0.07,0.621,0.896,0.008,0.001,76.0,357.0,1.04,114.04155662118941,86.0787899662108,144.97843493276594
practice_offset[6729],2.268,0.079,2.119,2.426,0.008,0.002,103.0,568.0,1.03,866.0061358346903,732.2810514380574,1031.3537301697747
practice_offset[6730],-0.271,0.048,-0.367,-0.18,0.006,0.001,56.0,136.0,1.06,-23.738350359493467,-30.71903549556083,-16.4729788588728
practice_offset[6731],-0.588,0.074,-0.735,-0.445,0.01,0.004,58.0,200.0,1.06,-44.45629513019818,-52.04945410251058,-35.91757239676813
practice_offset[6732],-0.934,0.052,-1.034,-0.831,0.006,0.001,68.0,372.0,1.06,-60.702135224456995,-64.4418215021714,-56.43865450127995
practice_offset[6733],-1.044,0.057,-1.156,-0.928,0.015,0.003,15.0,100.0,1.21,-64.79563128980155,-68.52573631572182,-60.465639257390016
practice_offset[6734],-0.106,0.053,-0.215,-0.01,0.01,0.003,29.0,75.0,1.09,-10.057535192407595,-19.345855982267313,-0.9950166250832004
practice_offset[6735],0.416,0.054,0.306,0.515,0.008,0.002,43.0,81.0,1.08,51.5885868870569,35.79823065478924,67.36385017975294
practice_offset[6736],-2.238,0.068,-2.364,-2.098,0.016,0.006,18.0,43.0,1.15,-89.33283655529642,-90.595670334084,-87.72984138142988
practice_offset[6737],-1.483,0.077,-1.637,-1.334,0.017,0.006,21.0,54.0,1.12,-77.30442013353428,-80.54371437984798,-73.6578534745557
practice_offset[6738],-2.023,0.067,-2.153,-1.889,0.016,0.006,17.0,41.0,1.15,-86.77419049620279,-88.38647710448994,-84.87770437937034
practice_offset[6739],-0.723,0.064,-0.856,-0.604,0.017,0.007,14.0,38.0,1.2,-51.47058126114998,-57.514187953807536,-45.33792258054024
practice_offset[6740],-1.622,0.067,-1.748,-1.487,0.016,0.006,17.0,51.0,1.16,-80.24967027808874,-82.58781608829526,-77.39502113020549
practice_offset[6741],-1.593,0.066,-1.725,-1.467,0.016,0.007,16.0,42.0,1.16,-79.66852483527138,-82.18269482271016,-76.93837026575915
practice_offset[6742],-1.785,0.052,-1.883,-1.682,0.008,0.002,38.0,144.0,1.07,-83.22029389998141,-84.78669785910516,-81.39983994130912
practice_offset[6743],-1.89,0.057,-1.998,-1.776,0.01,0.002,29.0,223.0,1.1,-84.89281911636292,-86.43937753458103,-83.06859492365449
practice_offset[6744],-1.06,0.059,-1.171,-0.94,0.007,0.002,71.0,150.0,1.04,-65.35441896699426,-68.99432705440248,-60.937216464147895
