,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81014],-0.633,0.088,-0.805,-0.474,0.0,0.001,36473.0,18175.0,1.0
1|practice_id[A81015],-0.26,0.112,-0.471,-0.052,0.001,0.001,32134.0,18961.0,1.0
1|practice_id[A81016],-0.234,0.089,-0.404,-0.072,0.0,0.001,38872.0,19031.0,1.0
1|practice_id[A81017],0.302,0.089,0.13,0.463,0.0,0.001,36517.0,18694.0,1.0
1|practice_id[A81018],0.183,0.089,0.018,0.351,0.0,0.001,35143.0,18037.0,1.0
1|practice_id[A81019],0.084,0.088,-0.079,0.253,0.0,0.001,38403.0,19682.0,1.0
1|practice_id[A81020],0.135,0.089,-0.034,0.3,0.0,0.001,37984.0,18992.0,1.0
1|practice_id[A81021],-0.191,0.089,-0.359,-0.026,0.0,0.001,37132.0,18828.0,1.0
1|practice_id[A81022],-0.115,0.088,-0.28,0.052,0.0,0.001,33659.0,19340.0,1.0
1|practice_id[A81023],-0.576,0.089,-0.741,-0.405,0.0,0.001,39973.0,19371.0,1.0
1|practice_id[A81025],0.061,0.088,-0.107,0.226,0.0,0.001,39632.0,20243.0,1.0
1|practice_id[A81026],-0.268,0.089,-0.435,-0.1,0.0,0.001,37561.0,18596.0,1.0
1|practice_id[A81027],0.312,0.087,0.145,0.474,0.0,0.001,36040.0,19578.0,1.0
1|practice_id[A81029],-0.032,0.089,-0.2,0.136,0.0,0.001,39967.0,18743.0,1.0
1|practice_id[A81030],-0.261,0.089,-0.431,-0.096,0.0,0.001,35829.0,20515.0,1.0
1|practice_id[A81031],-0.361,0.088,-0.526,-0.192,0.0,0.001,34722.0,19951.0,1.0
1|practice_id[A81032],-0.36,0.088,-0.525,-0.195,0.0,0.001,34397.0,18969.0,1.0
1|practice_id[A81033],-0.391,0.122,-0.617,-0.158,0.001,0.001,36018.0,18817.0,1.0
1|practice_id[A81034],0.05,0.088,-0.119,0.214,0.0,0.001,37942.0,19869.0,1.0
1|practice_id[A81035],0.076,0.089,-0.088,0.247,0.0,0.001,37557.0,19107.0,1.0
1|practice_id[A81036],-0.346,0.089,-0.512,-0.174,0.0,0.001,35668.0,18661.0,1.0
1|practice_id[A81037],0.408,0.088,0.24,0.572,0.0,0.001,37833.0,19546.0,1.0
1|practice_id[A81038],0.448,0.089,0.283,0.616,0.0,0.001,37062.0,18573.0,1.0
1|practice_id[A81039],-0.191,0.087,-0.357,-0.03,0.0,0.001,35622.0,19886.0,1.0
1|practice_id[A81040],0.14,0.089,-0.028,0.304,0.0,0.001,35943.0,19205.0,1.0
1|practice_id[A81041],-0.214,0.088,-0.376,-0.048,0.0,0.001,34037.0,18582.0,1.0
1|practice_id[A81042],0.166,0.087,0.002,0.331,0.0,0.001,35259.0,19384.0,1.0
1|practice_id[A81043],0.323,0.088,0.156,0.488,0.0,0.001,37401.0,18166.0,1.0
1|practice_id[A81044],0.249,0.089,0.084,0.418,0.0,0.001,34601.0,19121.0,1.0
1|practice_id[A81045],0.619,0.088,0.455,0.783,0.0,0.001,38271.0,18962.0,1.0
1|practice_id[A81046],0.169,0.089,0.003,0.337,0.0,0.001,34314.0,18898.0,1.0
1|practice_id[A81047],-0.61,0.133,-0.865,-0.363,0.001,0.001,35453.0,18464.0,1.0
1|practice_id[A81048],0.379,0.088,0.214,0.547,0.0,0.001,34410.0,18882.0,1.0
1|practice_id[A81049],0.613,0.089,0.44,0.778,0.0,0.001,39624.0,18760.0,1.0
1|practice_id[A81051],0.175,0.088,0.011,0.341,0.0,0.001,37065.0,18763.0,1.0
1|practice_id[A81052],-0.118,0.088,-0.282,0.048,0.0,0.001,33129.0,19500.0,1.0
1|practice_id[A81053],0.296,0.087,0.131,0.458,0.0,0.001,35960.0,19746.0,1.0
1|practice_id[A81054],-0.131,0.088,-0.297,0.035,0.0,0.001,38530.0,19374.0,1.0
1|practice_id[A81056],-0.016,0.089,-0.186,0.148,0.0,0.001,38084.0,18283.0,1.0
1|practice_id[A81057],-0.058,0.088,-0.226,0.106,0.0,0.001,37999.0,19041.0,1.0
1|practice_id[A81058],-0.092,0.089,-0.258,0.076,0.0,0.001,38136.0,17273.0,1.0
1|practice_id[A81060],-0.235,0.087,-0.399,-0.069,0.0,0.001,36913.0,18277.0,1.0
1|practice_id[A81063],-0.273,0.088,-0.44,-0.108,0.0,0.001,37467.0,19090.0,1.0
1|practice_id[A81064],-0.006,0.089,-0.177,0.155,0.0,0.001,37392.0,18095.0,1.0
1|practice_id[A81065],0.312,0.089,0.145,0.479,0.0,0.001,36791.0,17858.0,1.0
1|practice_id[A81066],-0.111,0.088,-0.273,0.06,0.0,0.001,36037.0,18749.0,1.0
1|practice_id[A81067],-0.184,0.088,-0.354,-0.022,0.0,0.001,37042.0,19096.0,1.0
1|practice_id[A81069],-0.921,0.223,-1.335,-0.503,0.001,0.001,31785.0,18908.0,1.0
1|practice_id[A81070],0.333,0.087,0.169,0.497,0.0,0.001,34820.0,19416.0,1.0
1|practice_id[A81602],0.462,0.088,0.293,0.627,0.0,0.001,36608.0,18346.0,1.0
1|practice_id[A81605],-0.772,0.189,-1.129,-0.422,0.001,0.001,33627.0,18027.0,1.0
1|practice_id[A81608],-0.152,0.088,-0.318,0.015,0.0,0.001,37933.0,18855.0,1.0
1|practice_id[A81609],0.301,0.208,-0.102,0.681,0.001,0.001,32404.0,18725.0,1.0
1|practice_id[A81610],-0.135,0.088,-0.302,0.029,0.0,0.001,39282.0,18914.0,1.0
1|practice_id[A81611],-0.032,0.088,-0.198,0.129,0.0,0.001,36606.0,18700.0,1.0
1|practice_id[A81612],0.108,0.087,-0.052,0.278,0.0,0.001,36980.0,18154.0,1.0
1|practice_id[A81613],-0.601,0.169,-0.916,-0.277,0.001,0.001,34779.0,19153.0,1.0
1|practice_id[A81618],-0.029,0.088,-0.193,0.137,0.0,0.001,36974.0,18272.0,1.0
1|practice_id[A81621],0.096,0.089,-0.071,0.263,0.0,0.001,38329.0,18391.0,1.0
1|practice_id[A81622],0.059,0.087,-0.106,0.22,0.0,0.001,37940.0,18759.0,1.0
1|practice_id[A81623],0.051,0.22,-0.37,0.457,0.001,0.001,36210.0,18858.0,1.0
1|practice_id[A81629],-0.01,0.089,-0.172,0.159,0.0,0.001,37267.0,19039.0,1.0
1|practice_id[A81630],0.037,0.089,-0.127,0.206,0.0,0.001,40107.0,19392.0,1.0
1|practice_id[A81631],-0.133,0.088,-0.293,0.035,0.0,0.001,39861.0,18258.0,1.0
1|practice_id[A81632],-0.172,0.095,-0.348,0.007,0.0,0.001,40136.0,17511.0,1.0
1|practice_id[A81633],-0.135,0.088,-0.302,0.028,0.0,0.001,39717.0,19816.0,1.0
1|practice_id[A81634],-0.013,0.089,-0.181,0.153,0.0,0.001,39219.0,18895.0,1.0
1|practice_id[A82003],0.409,0.088,0.241,0.574,0.0,0.001,36644.0,20205.0,1.0
1|practice_id[A82004],0.248,0.087,0.082,0.41,0.0,0.001,35151.0,19523.0,1.0
1|practice_id[A82005],0.001,0.088,-0.163,0.168,0.0,0.001,35330.0,19147.0,1.0
1|practice_id[A82006],-0.076,0.088,-0.241,0.087,0.0,0.001,36786.0,20025.0,1.0
1|practice_id[A82007],-0.089,0.088,-0.257,0.073,0.0,0.001,36186.0,19238.0,1.0
1|practice_id[A82008],-0.161,0.088,-0.333,0.0,0.0,0.001,38275.0,18868.0,1.0
1|practice_id[A82009],0.177,0.087,0.017,0.345,0.0,0.001,34223.0,18709.0,1.0
1|practice_id[A82010],0.409,0.088,0.24,0.569,0.0,0.001,36323.0,19052.0,1.0
1|practice_id[A82011],-0.039,0.255,-0.512,0.449,0.001,0.002,30020.0,18434.0,1.0
