,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81015],0.014,0.121,-0.214,0.238,0.001,0.001,36564.0,18623.0,1.0
1|practice_id[A81016],-0.081,0.091,-0.257,0.086,0.0,0.001,39633.0,18342.0,1.0
1|practice_id[A81017],0.588,0.092,0.418,0.761,0.0,0.001,41580.0,19203.0,1.0
1|practice_id[A81018],0.309,0.09,0.14,0.476,0.0,0.001,34965.0,19209.0,1.0
1|practice_id[A81019],0.571,0.091,0.4,0.74,0.0,0.001,42313.0,19949.0,1.0
1|practice_id[A81020],0.409,0.091,0.239,0.581,0.0,0.001,41639.0,19120.0,1.0
1|practice_id[A81021],-0.313,0.092,-0.483,-0.14,0.0,0.001,42653.0,19194.0,1.0
1|practice_id[A81022],0.603,0.089,0.439,0.772,0.0,0.001,35287.0,18021.0,1.0
1|practice_id[A81023],-0.015,0.09,-0.184,0.156,0.0,0.001,40698.0,19806.0,1.0
1|practice_id[A81025],0.033,0.092,-0.136,0.208,0.0,0.001,41461.0,18921.0,1.0
1|practice_id[A81026],-0.08,0.092,-0.252,0.092,0.0,0.001,40467.0,19235.0,1.0
1|practice_id[A81027],0.192,0.09,0.02,0.358,0.0,0.001,36946.0,18314.0,1.0
1|practice_id[A81029],0.35,0.091,0.181,0.521,0.0,0.001,40434.0,19472.0,1.0
1|practice_id[A81030],-0.193,0.09,-0.366,-0.029,0.0,0.001,41257.0,19765.0,1.0
1|practice_id[A81031],-0.115,0.091,-0.282,0.058,0.0,0.001,36435.0,19328.0,1.0
1|practice_id[A81032],-0.184,0.09,-0.347,-0.012,0.0,0.001,36412.0,19040.0,1.0
1|practice_id[A81033],-0.364,0.125,-0.597,-0.128,0.001,0.001,36690.0,19678.0,1.0
1|practice_id[A81034],0.318,0.09,0.148,0.487,0.0,0.001,39616.0,18009.0,1.0
1|practice_id[A81035],0.693,0.091,0.521,0.864,0.0,0.001,43303.0,19159.0,1.0
1|practice_id[A81036],0.173,0.09,0.008,0.348,0.0,0.001,37772.0,19521.0,1.0
1|practice_id[A81037],0.319,0.091,0.15,0.492,0.0,0.001,40737.0,19345.0,1.0
1|practice_id[A81038],0.161,0.091,-0.014,0.33,0.0,0.001,45619.0,18985.0,1.0
1|practice_id[A81039],-0.188,0.091,-0.358,-0.017,0.0,0.001,39330.0,19515.0,1.0
1|practice_id[A81040],0.204,0.09,0.026,0.365,0.0,0.001,39013.0,19802.0,1.0
1|practice_id[A81041],-0.23,0.09,-0.401,-0.064,0.0,0.001,35970.0,18497.0,1.0
1|practice_id[A81042],0.097,0.092,-0.071,0.274,0.0,0.001,38891.0,18534.0,1.0
1|practice_id[A81043],0.381,0.091,0.215,0.554,0.0,0.001,41189.0,19440.0,1.0
1|practice_id[A81044],0.263,0.09,0.095,0.432,0.0,0.001,35544.0,18875.0,1.0
1|practice_id[A81045],0.848,0.091,0.675,1.017,0.0,0.001,34810.0,17715.0,1.0
1|practice_id[A81046],0.598,0.09,0.431,0.767,0.0,0.001,38480.0,19516.0,1.0
