parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
mu_alpha,6.014,0.965,4.025,7.973,0.009,0.009,12699.0,11648.0,1.0,40811.6517772398,5498.030878164415,290054.8967198824
practice_offset[0],-0.704,0.054,-0.806,-0.594,0.006,0.002,87.0,310.0,1.07,-50.539707003294296,-55.33589378977357,-44.78855956930694
practice_offset[1],1.652,0.055,1.546,1.762,0.006,0.002,83.0,194.0,1.07,421.74042077399747,369.2661943416373,482.4073901819975
practice_offset[2],-0.403,0.059,-0.515,-0.284,0.006,0.002,90.0,414.0,1.07,-33.16879006764397,-40.249940538176254,-24.723335529380375
practice_offset[3],0.323,0.054,0.223,0.432,0.006,0.002,84.0,219.0,1.07,38.12653509056301,24.982057373598398,54.03351151611271
practice_offset[4],0.209,0.053,0.105,0.313,0.006,0.002,78.0,302.0,1.08,23.24449985302548,11.071061035570517,36.75215310276052
practice_offset[5],1.195,0.054,1.091,1.301,0.006,0.002,84.0,181.0,1.07,230.35577705016715,197.7249834268501,267.2967799546899
practice_offset[6],0.588,0.054,0.486,0.695,0.006,0.002,78.0,347.0,1.07,80.03840441397763,62.57999962113414,100.37090739411751
practice_offset[7],-0.134,0.061,-0.252,-0.014,0.006,0.002,92.0,461.0,1.06,-12.540993539666601,-22.27552619310539,-1.3902455737138109
practice_offset[8],0.456,0.056,0.347,0.563,0.006,0.002,76.0,317.0,1.08,57.775034476647804,41.48167253704287,75.59324037071788
practice_offset[9],0.761,0.054,0.659,0.868,0.006,0.002,75.0,288.0,1.08,114.04155662118941,93.2858509141412,138.21418024579782
practice_offset[10],0.21,0.056,0.106,0.326,0.006,0.002,78.0,311.0,1.08,23.367805995674317,11.182187650653086,38.54153688727846
practice_offset[11],0.003,0.053,-0.097,0.109,0.006,0.002,80.0,283.0,1.08,0.3004504503377081,-9.24439938667273,11.516235034144785
practice_offset[12],-0.437,0.054,-0.539,-0.329,0.006,0.002,84.0,250.0,1.07,-35.40285685893755,-41.66687079023612,-28.035698325292458
practice_offset[13],1.403,0.058,1.289,1.518,0.007,0.002,75.0,208.0,1.07,306.73838334071536,262.9155584985021,356.30898831090116
practice_offset[14],0.673,0.056,0.565,0.781,0.006,0.002,79.0,337.0,1.07,96.01088354664577,75.9447782721815,118.36548288635016
practice_offset[15],1.405,0.055,1.299,1.513,0.006,0.002,85.0,225.0,1.07,307.55267412675266,266.5629204988562,354.0331377371344
practice_offset[16],0.554,0.053,0.452,0.658,0.006,0.002,81.0,229.0,1.07,74.01999144695428,57.145194857764906,93.09266167394625
practice_offset[17],1.111,0.057,1.0,1.22,0.006,0.002,80.0,246.0,1.07,203.73942705151615,171.8281828459045,238.71877336213348
practice_offset[18],0.295,0.055,0.186,0.401,0.006,0.002,77.0,355.0,1.08,34.31263586862767,20.44222603776298,49.331726849996
practice_offset[19],1.313,0.057,1.203,1.425,0.006,0.002,82.0,256.0,1.07,271.73089278188314,233.0092228982648,315.7857842756007
practice_offset[20],0.884,0.053,0.785,0.991,0.006,0.002,82.0,235.0,1.07,142.05626181825303,119.24069407332158,169.39270528874988
practice_offset[21],0.033,0.056,-0.078,0.139,0.007,0.002,74.0,311.0,1.08,3.3550539241305355,-7.5035573456460725,14.91241000036052
practice_offset[22],-0.672,0.054,-0.775,-0.565,0.006,0.002,88.0,342.0,1.07,-48.93138166338121,-53.92962190010342,-43.16398532424594
practice_offset[23],1.273,0.057,1.166,1.388,0.006,0.002,81.0,261.0,1.07,257.1551159914979,220.9130409581913,300.6828377237861
practice_offset[24],0.403,0.052,0.306,0.509,0.006,0.002,79.0,277.0,1.07,49.630689166358266,35.79823065478924,66.36267361190586
practice_offset[25],-0.084,0.056,-0.193,0.025,0.006,0.002,76.0,340.0,1.08,-8.056874390487534,-17.55180258608918,2.531512052442886
practice_offset[26],0.552,0.056,0.443,0.66,0.006,0.002,80.0,316.0,1.07,73.67229927213259,55.73723343417794,93.47923344020317
practice_offset[27],0.851,0.054,0.747,0.957,0.006,0.002,79.0,256.0,1.07,134.19876689913815,111.0658533543552,160.38731248931538
practice_offset[28],0.848,0.053,0.746,0.952,0.006,0.002,80.0,257.0,1.07,133.49722343978726,110.85489299875869,159.08862535031338
practice_offset[29],-0.274,0.059,-0.384,-0.157,0.007,0.002,80.0,429.0,1.07,-23.96679247391179,-31.886857282045288,-14.529594118231493
practice_offset[30],1.803,0.056,1.696,1.914,0.006,0.002,85.0,188.0,1.07,506.78236574636173,445.2095335408995,578.0155250540838
practice_offset[31],0.785,0.056,0.68,0.896,0.006,0.002,79.0,266.0,1.07,119.24069407332158,97.38777322304477,144.97843493276594
practice_offset[32],1.465,0.055,1.359,1.572,0.006,0.002,83.0,175.0,1.07,332.7543240300773,289.2299055940867,381.6271109871186
practice_offset[33],0.472,0.056,0.364,0.581,0.006,0.002,78.0,297.0,1.08,60.319738372657405,43.90742141580461,78.78253624977862
practice_offset[34],-0.511,0.056,-0.616,-0.4,0.007,0.002,72.0,330.0,1.08,-40.01046166188145,-45.98994753556293,-32.967995396436066
practice_offset[35],0.281,0.052,0.178,0.384,0.006,0.002,79.0,197.0,1.07,32.445360393525725,19.482532123480077,46.81454416819895
practice_offset[36],0.549,0.054,0.445,0.657,0.006,0.002,83.0,292.0,1.07,73.15206311872335,56.04901958326667,92.89966552642908
practice_offset[37],0.291,0.054,0.191,0.398,0.006,0.002,74.0,357.0,1.08,33.776458395003516,21.045945208129947,48.88440299072776
practice_offset[38],0.883,0.056,0.776,0.992,0.006,0.002,81.0,312.0,1.07,141.81432654423304,117.27638049685454,169.66223273530127
practice_offset[39],0.674,0.056,0.565,0.784,0.006,0.002,80.0,291.0,1.07,96.20699246831083,75.9447782721815,119.0215629630643
practice_offset[40],1.461,0.055,1.355,1.572,0.006,0.002,82.0,256.0,1.07,331.0267641571155,287.6760956633179,381.6271109871186
practice_offset[41],0.539,0.053,0.437,0.642,0.006,0.002,82.0,228.0,1.07,71.42917130401752,54.80560770563401,90.02776365552259
practice_offset[42],1.022,0.054,0.918,1.13,0.006,0.002,86.0,201.0,1.07,177.87467035811972,150.42768243931567,209.56565001247108
practice_offset[43],-0.365,0.057,-0.474,-0.253,0.006,0.002,89.0,360.0,1.07,-30.58033491220211,-37.74927474323132,-22.353211817626217
practice_offset[44],-0.27,0.053,-0.369,-0.164,0.006,0.002,80.0,258.0,1.08,-23.662050566314687,-30.857458954969154,-15.125797811979325
practice_offset[45],0.241,0.056,0.131,0.35,0.007,0.002,75.0,352.0,1.08,27.2521035308229,13.99677813119904,41.906754859325716
practice_offset[46],-0.093,0.055,-0.198,0.017,0.006,0.002,76.0,339.0,1.08,-8.880649970385946,-17.963014686216905,1.7145322325240686
practice_offset[47],0.401,0.053,0.301,0.506,0.006,0.002,82.0,250.0,1.07,49.331726849996,35.12093415380156,65.8643334750305
practice_offset[48],0.456,0.053,0.358,0.565,0.006,0.002,81.0,273.0,1.07,57.775034476647804,43.0465620479898,75.9447782721815
practice_offset[49],0.348,0.053,0.249,0.454,0.006,0.002,81.0,241.0,1.07,41.62322497400235,28.27420330698114,57.45979974750188
practice_offset[50],0.346,0.056,0.24,0.46,0.007,0.003,73.0,218.0,1.08,41.34026158176771,27.12491503214047,58.407398499448185
practice_offset[51],0.535,0.054,0.433,0.642,0.006,0.002,82.0,256.0,1.07,70.74482422542117,54.18762207006325,90.02776365552259
practice_offset[52],0.334,0.056,0.227,0.444,0.006,0.002,80.0,342.0,1.07,39.654314357450524,25.48298679402794,55.893048562191524
practice_offset[53],-0.462,0.054,-0.567,-0.356,0.006,0.002,73.0,292.0,1.08,-36.99776600580877,-43.27754375731159,-29.952737976474765
practice_offset[54],-0.094,0.054,-0.198,0.011,0.006,0.002,72.0,308.0,1.08,-8.971723775923302,-17.963014686216905,1.106072244471945
practice_offset[55],-0.103,0.056,-0.21,0.006,0.006,0.002,75.0,340.0,1.08,-9.78730265184835,-18.941575402981293,0.6018036054064924
practice_offset[56],-0.384,0.056,-0.491,-0.275,0.007,0.002,72.0,333.0,1.08,-31.886857282045288,-38.79859259986501,-24.042787677503153
practice_offset[57],-0.526,0.053,-0.628,-0.422,0.006,0.002,85.0,321.0,1.07,-40.90358953184376,-46.634194949700934,-34.426596060655825
practice_offset[58],0.911,0.054,0.807,1.021,0.006,0.002,83.0,202.0,1.07,148.68080984936256,124.11743681943786,177.59693457879587
practice_offset[59],0.801,0.062,0.675,0.918,0.007,0.002,91.0,351.0,1.06,122.77675825624405,96.40329759698474,150.42768243931567
practice_offset[60],-1.31,0.055,-1.42,-1.204,0.007,0.002,68.0,287.0,1.09,-73.01799436153131,-75.82859831029636,-70.00081585912795
practice_offset[61],1.114,0.057,1.008,1.232,0.007,0.003,68.0,182.0,1.08,204.65201352794563,174.01153005299412,242.80788423852465
practice_offset[62],0.451,0.061,0.33,0.571,0.006,0.002,100.0,366.0,1.06,56.988128209320244,39.09681284637803,77.00362029134793
practice_offset[63],-0.769,0.054,-0.874,-0.662,0.006,0.002,92.0,337.0,1.07,-53.652368703673844,-58.27209098013088,-48.41813351634059
practice_offset[64],0.303,0.063,0.181,0.427,0.006,0.002,101.0,336.0,1.06,35.391446444228826,19.841517929319963,53.26526617240188
practice_offset[65],0.369,0.054,0.261,0.473,0.006,0.002,84.0,244.0,1.07,44.628760367473966,29.822766543368996,60.480138297625885
practice_offset[66],-0.536,0.056,-0.642,-0.424,0.007,0.002,72.0,331.0,1.08,-41.49160864082931,-47.376110692289465,-34.55761180911414
practice_offset[67],0.884,0.056,0.778,0.998,0.006,0.002,76.0,243.0,1.08,142.05626181825303,117.71136810045597,171.28506977432195
practice_offset[68],1.064,0.061,0.943,1.184,0.006,0.002,92.0,362.0,1.06,189.79395950117143,156.7672894029203,226.74177694429181
practice_offset[69],0.224,0.053,0.125,0.329,0.006,0.002,78.0,313.0,1.08,25.10710194283623,13.314845306682631,38.95778555876106
practice_offset[70],1.042,0.057,0.929,1.153,0.006,0.002,85.0,281.0,1.07,183.48811105884675,153.19759352725134,216.7681714509464
practice_offset[71],-0.317,0.054,-0.42,-0.209,0.006,0.002,74.0,320.0,1.08,-27.16692448742983,-34.29531801849433,-18.860476435658857
practice_offset[72],0.5,0.064,0.376,0.623,0.007,0.002,95.0,354.0,1.06,64.87212707001282,45.6447133771086,86.45131995195231
practice_offset[73],-0.243,0.054,-0.346,-0.138,0.006,0.002,87.0,286.0,1.07,-21.572848622844354,-29.248751289349826,-12.890130825420165
practice_offset[74],-0.024,0.056,-0.132,0.089,0.006,0.003,79.0,240.0,1.07,-2.3714290242090708,-12.365900492062664,9.308065632633022
practice_offset[75],-0.202,0.054,-0.307,-0.097,0.006,0.002,74.0,305.0,1.08,-18.29050720577634,-26.434939909274668,-9.24439938667273
practice_offset[76],-0.362,0.057,-0.472,-0.248,0.006,0.003,85.0,243.0,1.07,-30.3717632158229,-37.62464870822478,-21.964005672196574
practice_offset[77],-2.405,0.061,-2.53,-2.286,0.006,0.003,86.0,213.0,1.07,-90.97345043902156,-92.0340979714102,-89.83276610857496
practice_offset[78],-1.001,0.056,-1.108,-0.886,0.006,0.003,92.0,274.0,1.07,-63.24882543913064,-66.97812614451067,-58.76983346059112
practice_offset[79],0.199,0.064,0.075,0.324,0.008,0.003,60.0,250.0,1.09,22.018196589987248,7.788415088463152,38.26473071194796
practice_offset[80],0.537,0.065,0.409,0.665,0.009,0.003,59.0,141.0,1.09,71.0866555912941,50.53117204855597,94.44905213368311
practice_offset[81],1.138,0.069,1.005,1.275,0.009,0.003,57.0,122.0,1.1,212.05210778255727,173.1907272825927,257.8701410101579
practice_offset[82],-0.7,0.065,-0.828,-0.576,0.007,0.003,81.0,193.0,1.08,-50.341469620859044,-56.30777424255589,-43.78575548031775
