name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[K82028],0.09,0.086,-0.081,0.257,0.0,0.001,30259.0,20314.0,1.0
1|practice_id[K82030],0.449,0.085,0.283,0.617,0.001,0.001,28847.0,19744.0,1.0
1|practice_id[K82031],-0.262,0.086,-0.426,-0.09,0.001,0.001,26176.0,19382.0,1.0
1|practice_id[K82032],0.37,0.085,0.201,0.533,0.001,0.0,28397.0,19944.0,1.0
1|practice_id[K82034],-0.011,0.135,-0.273,0.258,0.001,0.001,28544.0,18383.0,1.0
1|practice_id[K82035],-0.201,0.086,-0.367,-0.033,0.0,0.001,29450.0,19752.0,1.0
1|practice_id[K82036],-0.019,0.085,-0.185,0.151,0.0,0.001,29762.0,19046.0,1.0
1|practice_id[K82037],0.04,0.086,-0.132,0.206,0.001,0.001,28671.0,18121.0,1.0
1|practice_id[K82038],0.52,0.085,0.353,0.684,0.001,0.001,27858.0,18972.0,1.0
1|practice_id[K82039],-0.002,0.085,-0.171,0.162,0.0,0.001,31637.0,19121.0,1.0
1|practice_id[K82040],0.804,0.086,0.635,0.971,0.001,0.001,27310.0,19878.0,1.0
1|practice_id[K82042],0.07,0.085,-0.094,0.237,0.0,0.001,29700.0,19306.0,1.0
1|practice_id[K82043],0.39,0.086,0.219,0.554,0.0,0.001,30282.0,20498.0,1.0
1|practice_id[K82044],0.365,0.085,0.198,0.532,0.001,0.001,28275.0,19386.0,1.0
1|practice_id[K82047],0.025,0.086,-0.141,0.194,0.0,0.001,31931.0,18791.0,1.0
1|practice_id[K82048],-0.293,0.086,-0.459,-0.122,0.0,0.001,30458.0,19292.0,1.0
1|practice_id[K82049],0.408,0.085,0.247,0.58,0.0,0.001,30443.0,19143.0,1.0
1|practice_id[K82050],0.685,0.086,0.517,0.856,0.0,0.001,30099.0,18769.0,1.0
1|practice_id[K82051],0.539,0.086,0.371,0.704,0.0,0.001,32212.0,19369.0,1.0
