coef,pval,ci_low,ci_high,error,name
-0.041317473957802886,2.5431200800820346e-142,-0.04450573430371508,-0.03812921361189069,,hydro_rain_high_vs_median
-0.020279046246346064,5.836138603345529e-21,-0.024510554121997954,-0.016047538370694173,,hydro_rain_low_vs_median
-0.05244373047674113,3.044469297864651e-204,-0.055814386121412714,-0.04907307483206954,,met_rain_high_vs_median
-0.046861454461613675,1.4959889399001751e-96,-0.05126638595529524,-0.042456522967932106,,met_rain_low_vs_median
0.015992716804761258,1.8467159783550364e-26,0.013048031827487752,0.018937401782034766,,met_tmax_high_vs_median
-0.03191242973462077,8.230035113000164e-15,-0.03996849849180236,-0.023856360977439185,,met_tmax_low_vs_median
-0.1718923836435704,2.4364521964277064e-52,-0.1940215480627982,-0.1497632192243426,,flood_vs_not
0.045331857975664795,8.581858079546365e-66,0.040145693404597685,0.050518022546731906,,aqrean_carbon_monoxide_high_vs_not
-0.04959935612574487,4.856379023095562e-36,-0.05735521324658959,-0.04184349900490015,,aqrean_daqi_overall_high+vhigh_vs_low+mod
-0.01338526994892317,3.340025032825626e-14,-0.01684429257493504,-0.0099262473229113,,aqrean_daqi_overall_high+vhigh+mod_vs_low
0.008210390678704849,0.0007352795225406586,0.0034438877288141224,0.012976893628595575,,aqrean_nitrogen_monoxide_high_vs_not
-0.034531905218048616,7.604374418316866e-25,-0.04110758843042077,-0.027956222005676466,,aqrean_nitrogen_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh_vs_low+mod
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh+mod_vs_low
0.00651184244616021,0.00990526471235707,0.0015632625307356483,0.01146042236158477,,aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not
-0.02409620608933107,3.633295177874915e-21,-0.029097714748466078,-0.01909469743019606,,aqrean_ozone_high_vs_not
0.08017674723308721,0.002120212510635419,0.029037490623192025,0.1313160038429824,,aqrean_daqi_ozone_high+vhigh_vs_low+mod
-0.022066605931527754,1.7857164485822927e-19,-0.02685845764751666,-0.017274754215538847,,aqrean_daqi_ozone_high+vhigh+mod_vs_low
-0.03008439050139125,8.765382381209403e-28,-0.035481640508450624,-0.02468714049433188,,aqrean_pm2p5_high_vs_not
0.002450298490873039,0.35285543903157535,-0.002718873921236527,0.007619470902982605,,aqrean_pm10_high_vs_not
-0.09378954435936825,5.1927388922572125e-22,-0.11284979046928495,-0.07472929824945154,,aqrean_daqi_pm10_high+vhigh_vs_low+mod
-0.040438355762920764,1.2664794282776985e-45,-0.04602882719290922,-0.03484788433293231,,aqrean_daqi_pm10_high+vhigh+mod_vs_low
-0.0435885814195282,1.3946015916843693e-83,-0.04799921727862747,-0.039177945560428924,,aqrean_sulfur_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_sulfur_dioxide_high+vhigh_vs_low+mod
0.2017636318752965,0.4527224110635102,-0.3248814957806235,0.7284087595312165,,aqrean_daqi_sulfur_dioxide_high+vhigh+mod_vs_low
