,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81026],-0.092,0.087,-0.256,0.069,0.0,0.001,31341.0,18277.0,1.0
1|practice_id[A81027],0.247,0.086,0.088,0.409,0.0,0.001,30546.0,20058.0,1.0
1|practice_id[A81029],-0.527,0.087,-0.69,-0.362,0.0,0.001,33320.0,18357.0,1.0
1|practice_id[A81030],0.24,0.087,0.076,0.402,0.0,0.001,30316.0,20209.0,1.0
1|practice_id[A81031],0.411,0.086,0.25,0.574,0.0,0.001,30626.0,19733.0,1.0
1|practice_id[A81032],0.093,0.086,-0.069,0.254,0.0,0.001,30021.0,19764.0,1.0
1|practice_id[A81033],-0.713,0.117,-0.935,-0.497,0.001,0.001,30529.0,19643.0,1.0
1|practice_id[A81034],-0.251,0.086,-0.414,-0.089,0.0,0.001,36810.0,20344.0,1.0
1|practice_id[A81035],-0.22,0.086,-0.384,-0.06,0.0,0.001,31252.0,19784.0,1.0
1|practice_id[A81036],0.101,0.086,-0.065,0.262,0.0,0.001,32056.0,18406.0,1.0
1|practice_id[A81037],0.156,0.086,-0.003,0.32,0.0,0.001,30008.0,18269.0,1.0
1|practice_id[A81038],-0.081,0.086,-0.24,0.08,0.0,0.001,31719.0,19874.0,1.0
1|practice_id[A81039],0.071,0.086,-0.091,0.232,0.0,0.001,32979.0,20370.0,1.0
1|practice_id[A81040],0.254,0.086,0.092,0.414,0.0,0.001,31952.0,20493.0,1.0
1|practice_id[A81041],0.122,0.086,-0.04,0.287,0.0,0.001,31523.0,19217.0,1.0
1|practice_id[A81042],0.113,0.088,-0.05,0.281,0.0,0.001,32923.0,18812.0,1.0
1|practice_id[A81043],0.192,0.087,0.025,0.352,0.0,0.001,32637.0,20118.0,1.0
1|practice_id[A81044],-0.376,0.085,-0.53,-0.207,0.0,0.001,32770.0,20388.0,1.0
1|practice_id[A81045],0.235,0.085,0.077,0.398,0.0,0.001,31274.0,19681.0,1.0
1|practice_id[A81046],-0.032,0.087,-0.193,0.134,0.0,0.001,33860.0,19797.0,1.0
1|practice_id[A81047],-0.537,0.134,-0.788,-0.287,0.001,0.001,24691.0,18254.0,1.0
1|practice_id[A81048],0.434,0.086,0.268,0.595,0.0,0.001,33229.0,19348.0,1.0
1|practice_id[A81049],0.299,0.086,0.136,0.46,0.0,0.001,31514.0,19871.0,1.0
1|practice_id[A81051],0.238,0.087,0.069,0.396,0.0,0.001,31190.0,17778.0,1.0
1|practice_id[A81052],0.127,0.086,-0.037,0.285,0.001,0.001,28599.0,19289.0,1.0
1|practice_id[A81053],0.703,0.086,0.54,0.865,0.0,0.001,31771.0,19749.0,1.0
1|practice_id[A81054],-0.004,0.086,-0.162,0.161,0.0,0.001,32525.0,20341.0,1.0
1|practice_id[A81056],0.161,0.086,0.001,0.324,0.0,0.001,30791.0,19551.0,1.0
1|practice_id[A81057],-0.311,0.086,-0.475,-0.15,0.0,0.001,30258.0,19395.0,1.0
1|practice_id[A81058],0.287,0.087,0.121,0.446,0.0,0.001,32193.0,20030.0,1.0
1|practice_id[A81060],-0.002,0.087,-0.16,0.167,0.0,0.001,30607.0,18180.0,1.0
1|practice_id[A81063],-0.203,0.087,-0.368,-0.044,0.001,0.001,29492.0,20331.0,1.0
1|practice_id[A81064],-0.325,0.086,-0.489,-0.166,0.0,0.001,35250.0,19391.0,1.0
1|practice_id[A81065],0.69,0.087,0.525,0.848,0.0,0.001,31357.0,19286.0,1.0
1|practice_id[A81066],-0.401,0.086,-0.564,-0.244,0.0,0.001,32127.0,20290.0,1.0
1|practice_id[A81067],0.117,0.086,-0.043,0.279,0.0,0.001,35611.0,19945.0,1.0
1|practice_id[A81069],-0.404,0.213,-0.799,0.007,0.001,0.001,25617.0,18342.0,1.0
1|practice_id[A81070],0.444,0.086,0.287,0.607,0.001,0.001,28832.0,18858.0,1.0
1|practice_id[A81602],-0.048,0.086,-0.205,0.117,0.0,0.001,32207.0,19348.0,1.0
1|practice_id[A81605],-0.453,0.194,-0.83,-0.101,0.001,0.001,26244.0,19334.0,1.0
1|practice_id[A81608],-0.241,0.087,-0.401,-0.074,0.0,0.001,32221.0,20185.0,1.0
1|practice_id[A81609],-0.349,0.199,-0.728,0.019,0.001,0.001,24431.0,18232.0,1.0
1|practice_id[A81610],0.089,0.087,-0.072,0.254,0.0,0.001,35017.0,19514.0,1.0
1|practice_id[A81611],-0.112,0.086,-0.275,0.046,0.0,0.001,32150.0,19895.0,1.0
1|practice_id[A81612],0.354,0.085,0.187,0.509,0.0,0.001,31241.0,18785.0,1.0
1|practice_id[A81613],-0.735,0.165,-1.03,-0.409,0.001,0.001,29205.0,17494.0,1.0
1|practice_id[A81618],-0.176,0.085,-0.334,-0.013,0.001,0.001,28736.0,19368.0,1.0
1|practice_id[A81621],-0.508,0.087,-0.67,-0.343,0.001,0.001,29837.0,18711.0,1.0
1|practice_id[A81622],-0.086,0.086,-0.244,0.079,0.0,0.001,30503.0,19186.0,1.0
1|practice_id[A81623],0.154,0.219,-0.248,0.571,0.001,0.001,22079.0,17611.0,1.0
1|practice_id[A81629],-0.159,0.087,-0.324,0.001,0.0,0.001,32555.0,19972.0,1.0
1|practice_id[A81630],0.246,0.087,0.079,0.407,0.0,0.001,34531.0,18877.0,1.0
1|practice_id[A81631],0.343,0.085,0.18,0.501,0.0,0.001,30348.0,19388.0,1.0
1|practice_id[A81632],-0.465,0.098,-0.653,-0.284,0.001,0.001,31169.0,18701.0,1.0
1|practice_id[A81633],0.156,0.086,-0.006,0.318,0.0,0.001,32434.0,19165.0,1.0
1|practice_id[A81634],0.319,0.087,0.155,0.482,0.0,0.001,34164.0,19106.0,1.0
1|practice_id[A82003],0.112,0.086,-0.051,0.273,0.001,0.001,29056.0,19406.0,1.0
1|practice_id[A82004],0.216,0.086,0.05,0.372,0.0,0.001,31007.0,19864.0,1.0
1|practice_id[A82005],0.164,0.086,-0.002,0.32,0.0,0.001,30334.0,19868.0,1.0
1|practice_id[A82006],-0.361,0.086,-0.522,-0.199,0.0,0.001,31730.0,20065.0,1.0
1|practice_id[A82007],-0.333,0.086,-0.502,-0.178,0.001,0.001,28828.0,19216.0,1.0
1|practice_id[A82008],-0.313,0.086,-0.473,-0.15,0.001,0.001,29517.0,20060.0,1.0
1|practice_id[A82009],-0.04,0.085,-0.203,0.116,0.001,0.001,28783.0,19382.0,1.0
1|practice_id[A82010],-0.387,0.086,-0.549,-0.226,0.001,0.001,28921.0,19246.0,1.0
1|practice_id[A82011],-0.692,0.243,-1.145,-0.229,0.002,0.001,23243.0,18591.0,1.0
1|practice_id[A82012],0.318,0.086,0.158,0.482,0.001,0.001,29566.0,19808.0,1.0
1|practice_id[A82013],-0.16,0.086,-0.32,0.002,0.001,0.001,28200.0,19481.0,1.0
1|practice_id[A82014],0.062,0.086,-0.1,0.224,0.001,0.001,28156.0,19052.0,1.0
1|practice_id[A82015],-0.023,0.086,-0.18,0.138,0.0,0.0,29517.0,20357.0,1.0
1|practice_id[A82016],0.353,0.086,0.188,0.512,0.0,0.001,32629.0,19458.0,1.0
1|practice_id[A82017],-0.484,0.172,-0.808,-0.16,0.001,0.001,26901.0,18812.0,1.0
1|practice_id[A82018],0.17,0.085,0.011,0.332,0.001,0.001,28827.0,19195.0,1.0
1|practice_id[A82019],0.215,0.086,0.053,0.373,0.0,0.001,31342.0,20080.0,1.0
1|practice_id[A82020],0.221,0.086,0.053,0.377,0.0,0.001,33197.0,19635.0,1.0
1|practice_id[A82021],0.569,0.087,0.406,0.733,0.0,0.001,32959.0,18725.0,1.0
1|practice_id[A82022],-0.19,0.086,-0.354,-0.03,0.0,0.001,30211.0,19517.0,1.0
1|practice_id[A82023],0.063,0.086,-0.097,0.226,0.0,0.001,30562.0,19854.0,1.0
1|practice_id[A82024],-0.026,0.086,-0.184,0.139,0.0,0.001,30448.0,18642.0,1.0
1|practice_id[A82025],0.05,0.086,-0.112,0.207,0.0,0.001,30664.0,19922.0,1.0
