practice_id,kind,mean_flagged,mean_nonflagged,std_effect_size,n_flagged,n_nonflagged,p_value
A82003,flood,148.9000000000001,-10.63571428571426,0.4144083389466021,4,56,0.6576640314989696
A82014,flood,114.84999999999991,-8.203571428571447,0.3987830327073448,4,56,0.4471049042829165
A82028,flood,-69.40000000000009,4.957142857142799,-0.39563680866409434,4,56,0.500780296738339
A82029,flood,244.0999999999999,-17.435714285714287,0.7995970211651537,4,56,0.1950926410122325
A82045,flood,-40.29999999999973,2.8785714285713766,-0.11596874379085513,4,56,0.9409403816229813
A82068,flood,-0.40000000000009095,0.028571428571378225,-0.0029360727868989315,4,56,1.0
A82613,flood,83.09999999999997,-5.935714285714288,0.6685155503006182,4,56,0.21874297662923448
A83032,flood,56.450000000000045,-4.032142857142803,0.30923418220636784,4,56,0.6040236340293039
A83046,flood,182.69999999999982,-13.050000000000052,0.34185451366543756,4,56,0.39659991592071936
A83060,flood,255.5,-18.24999999999995,0.9287647754713433,4,56,0.1014488295548925
A83061,flood,317.5,-22.678571428571427,0.9085211507015901,4,56,0.08885744460508373
B81002,flood,-2162.5,180.20833333333334,-2.5300324474982,3,57,
B81003,flood,-111.33333333333364,12.370370370370438,-0.1480025045532758,6,54,0.6843184374192464
B81004,flood,324.73333333333335,-57.30588235294111,0.5704790331433479,9,51,0.07501036866189029
B81005,flood,841.9555555555554,-148.58039215686279,0.8387864127641806,9,51,0.012245737851535366
B81006,flood,3700.3777777777777,-653.0078431372551,1.1494523406016384,9,51,0.00034155656355976333
B81007,flood,386.0444444444444,-68.12549019607846,0.6665417702690289,9,51,0.04041018941748035
B81008,flood,-145.9199999999997,13.26545454545485,-0.03826645030159294,5,55,0.36011419548286255
B81009,flood,400.40000000000003,-70.65882352941172,1.1497807893941832,9,51,0.0035112305930165757
B81011,flood,409.37777777777785,-72.24313725490178,0.821222274386537,9,51,0.020413387611213484
B81012,flood,-47.84999999999991,3.4178571428571445,-0.39593521622208594,4,56,0.57688640068904
B81013,flood,102.73333333333338,-18.12941176470589,0.3263047503869336,9,51,0.5210209527499621
B81015,flood,56.500000000000306,-6.277777777777475,0.03551694029831515,6,54,0.990419596091871
B81016,flood,79.59999999999991,-5.6857142857143605,0.28126529800496425,4,56,0.8976468055000155
B81017,flood,215.48888888888885,-38.027450980392075,0.5490471736985443,9,51,0.2066457788181043
B81018,flood,168.37777777777794,-29.713725490195785,0.4421317250789944,9,51,0.23388886539792497
B81020,flood,517.0222222222222,-91.23921568627443,0.6948078401764343,9,51,0.03471748316417501
B81022,flood,-181.93333333333308,32.10588235294135,-0.2995710052277579,9,51,0.5761869141908538
B81024,flood,351.79999999999995,-62.08235294117656,0.7247061787711297,9,51,0.04921527325630663
B81025,flood,83.66666666666788,-9.296296296295758,0.03969143105783932,6,54,0.763891278059662
B81026,flood,315.48888888888865,-55.67450980392181,0.5610077264940746,9,51,0.056830141148932874
B81027,flood,-30.377777777777837,5.360784313725429,-0.12311639832183062,9,51,0.8847769131064653
B81029,flood,-851.6666666666666,44.8245614035089,-1.1379963775703226,3,57,0.09240210403272939
B81030,flood,6245.900000000001,-446.1357142857142,1.0582863535618345,4,56,0.1014488295548925
B81031,flood,2849.3500000000004,-203.52499999999995,1.3588627093881758,4,56,0.0029407241071703226
B81032,flood,85.66666666666661,-15.117647058823538,0.5605548609114598,9,51,0.17182781458238217
B81034,flood,434.80000000000007,-76.72941176470579,0.6028031944859646,9,51,0.0468753969409945
B81035,flood,-136.40000000000003,24.070588235294125,-0.5585317508284411,9,51,0.059576796088268394
B81036,flood,626.75,-44.7678571428573,0.6105155402276796,4,56,0.2525864632358219
B81037,flood,296.5111111111112,-52.3254901960783,0.5453858915841094,9,51,0.2066457788181043
B81038,flood,186.0666666666666,-32.835294117647116,0.8075691432109664,9,51,0.028203242389605365
B81039,flood,1578.36,-143.48727272727305,0.7381461625234714,5,55,0.11676363615057514
B81040,flood,598.1599999999999,-54.378181818182,0.6320760188780798,5,55,0.16942963779993525
B81041,flood,194.1111111111112,-34.25490196078428,0.5933606402017078,9,51,0.10194750439885499
B81042,flood,830.6222222222223,-146.58039215686253,0.7895023792133771,9,51,0.021564102952924352
B81043,flood,566.422222222222,-99.9568627450982,0.5385821571199093,9,51,0.10635785952712991
B81045,flood,608.9111111111108,-107.45490196078444,0.7731245705298336,9,51,0.051652381905912294
B81046,flood,166.82222222222228,-29.439215686274395,0.7224255939233324,9,51,0.08958487114234337
B81047,flood,218.9999999999999,-38.64705882352945,0.87209815074165,9,51,0.02895292885420533
B81048,flood,319.44444444444366,-56.37254901960827,0.2758008802997845,9,51,0.4314640703623638
B81051,flood,79.35555555555554,-14.00392156862743,0.19654418278401894,9,51,0.4944949389493418
B81052,flood,502.73333333333335,-88.71764705882356,0.9599575978498396,9,51,0.012245737851535366
B81054,flood,148.68888888888898,-26.239215686274488,0.6376674623487307,9,51,0.10194750439885499
B81058,flood,-2873.1574074074074,698.8761261261261,-1.8153926719025009,9,51,
B81061,flood,7027.844444444444,-1240.2078431372554,0.9334260822501044,9,51,0.021564102952924352
B81063,flood,194.43999999999997,-17.67636363636365,0.31333116787865317,5,55,0.37422567230466575
B81063,flood_geo,733.4000000000002,-38.60000000000003,1.1403724703531184,3,57,0.05552308591466978
B81064,flood,516.4666666666666,-91.14117647058836,0.5512845561246097,9,51,0.11563141715867852
B81065,flood,600.3333333333335,-105.94117647058806,0.25780561507475797,9,51,0.6487845223731296
B81068,flood,581.7555555555557,-102.6627450980391,0.6680723189717419,9,51,0.038430469826263594
B81069,flood,8915.68888888889,-1573.356862745098,1.0155518969958979,9,51,0.03471748316417501
B81074,flood,4352.320000000001,-395.6654545454545,1.3653965762955478,5,55,0.0017035575496309446
B81075,flood,-53.08888888888896,9.368627450980334,-0.33330222202357485,9,51,0.32542308489593774
B81082,flood,51.333333333333336,-9.058823529411773,0.22064866695577942,9,51,0.2725435572587275
B81085,flood,-1147.4888888888888,202.49803921568642,-0.30792948696605693,9,51,0.6940651343555146
B81087,flood,34.950000000000045,-2.4964285714284933,0.06280004516976379,4,56,0.9173890401414623
B81088,flood,354.0500000000002,-25.289285714285597,0.631168479965511,4,56,0.20582607893198807
B81090,flood,283.08888888888885,-49.95686274509808,1.0082434231012822,9,51,0.004565097401744755
B81091,flood,68.25,-4.875000000000024,0.5680224341734889,4,56,0.20785137286189626
B81092,flood,461.40000000000026,-81.42352941176436,0.6102742082794974,9,51,0.08958487114234337
B81097,flood,50.48000000000002,-4.58909090909094,0.4856141834639105,5,55,0.2501046010839658
B81099,flood,335.04000000000013,-30.458181818181533,0.43419890173065884,5,55,0.28220756449862233
B81100,flood,-28.60000000000001,5.0470588235294045,-0.19136346091817885,9,51,0.6339648544290513
B81101,flood,812.8888888888889,-143.4509803921568,0.8467662298412005,9,51,0.01298135550597637
B81104,flood,179.1555555555556,-31.615686274509788,0.7972489466253194,9,51,0.029724266379203983
B81108,flood,171.55000000000007,-12.253571428571393,0.6676505261475807,4,56,0.22842905041680767
B81109,flood,-436.67999999999995,39.69818181818204,-0.15836280823118393,5,55,0.87640565469782
B81109,flood_geo,541.5999999999998,-28.505263157894564,0.1895205824004772,3,57,0.1243717124488603
B81112,flood,1909.2888888888888,-336.93333333333356,1.1608153135700776,9,51,0.0030716480655688053
