practice_id,kind,mean_flagged,mean_nonflagged,std_effect_size,n_flagged,n_nonflagged,p_value
A82003,flood,54.75,-3.910714285714288,0.7182333191740257,4,56,0.23005187777626135
A82014,flood,26.05000000000001,-1.8607142857142829,1.0886024665721556,4,56,0.048747333394302504
A82028,flood,5.949999999999989,-0.4249999999999931,0.198018930028385,4,56,1.0
A82029,flood,22.35000000000001,-1.5964285714285746,0.875997659415443,4,56,0.13447625251934772
A82045,flood,26.850000000000023,-1.9178571428571414,0.6021394013515287,4,56,0.23004540339418633
A82068,flood,16.599999999999994,-1.1857142857142782,0.5661408193590409,4,56,0.17750529289033545
A82613,flood,5.800000000000001,-0.4142857142857134,0.5009132282113441,4,56,0.3900756149219172
A83032,flood,16.15,-1.153571428571428,1.1063429407652445,4,56,0.020793918963608833
A83046,flood,71.8,-5.1285714285714326,1.01149389070119,4,56,0.04545674512098737
A83060,flood,-3.350000000000005,0.23928571428571388,-0.16462881398895232,4,56,0.7556619048844391
A83061,flood,17.6,-1.2571428571428567,0.5124097479097302,4,56,0.23004540339418633
B81002,flood,-120.47222222222223,10.039351851851851,-2.2017202955533683,3,57,
B81003,flood,-15.46666666666666,1.7185185185185157,-0.17200483217594373,6,54,0.990419596091871
B81004,flood,17.42222222222223,-3.0745098039215724,0.23619045139118647,9,51,0.43753056688996006
B81005,flood,79.51111111111109,-14.031372549019629,0.8182383927204339,9,51,0.010883329304560976
B81006,flood,93.62222222222222,-16.521568627450975,0.9023625667239681,9,51,0.02098008961651869
B81007,flood,57.800000000000004,-10.199999999999996,1.1528714015987258,9,51,0.0020379309612299492
B81008,flood,-62.120000000000026,5.647272727272734,-0.24751866920893106,5,55,0.6969703627859831
B81009,flood,27.6888888888889,-4.886274509803915,0.45750520945079187,9,51,0.2141657448057751
B81011,flood,24.911111111111122,-4.396078431372538,0.6683722495763018,9,51,0.019841247029846517
B81012,flood,-10.899999999999999,0.7785714285714305,-0.30760717277426713,4,56,0.39833256576867226
B81013,flood,44.7111111111111,-7.890196078431379,0.9899702072065543,9,51,0.0051916882302024125
B81015,flood,-125.86666666666672,13.985185185185163,-0.8145498945972764,6,54,0.11198188968801873
B81016,flood,9.549999999999997,-0.6821428571428599,0.27944994571985243,4,56,0.5240170748383761
B81017,flood,-27.377777777777776,4.831372549019604,-0.422677945456229,9,51,0.22984733993359385
B81018,flood,22.26666666666667,-3.9294117647058764,0.3754268370349953,9,51,0.22190101794918293
B81020,flood,75.13333333333334,-13.258823529411766,1.2859166655811016,9,51,0.0007963563915714577
B81022,flood,1.4000000000000088,-0.24705882352939884,0.023604228889308743,9,51,0.8118137781971559
B81024,flood,35.4888888888889,-6.262745098039205,0.71051611052246,9,51,0.04802715572573004
