parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
intercept,7.598,0.006,7.588,7.611,0.002,0.001,9.0,12.0,4.05,199320.349704277,197336.08407092045,201929.7385290042,199408.66789504857,197292.2029365915,201891.25883230413
slope,0.107,0.003,0.101,0.113,0.001,0.001,10.0,19.0,2.42,11.29342544793257,10.627664176342355,11.963193294858598,11.247928736199478,10.715877841108295,12.045684332670119
practice_intercept_offset[0],-0.184,0.049,-0.275,-0.099,0.017,0.01,9.0,22.0,3.82,-16.806419617332825,-24.04278767750316,-9.42572919764515,,,
practice_intercept_offset[1],0.937,0.084,0.803,1.074,0.029,0.013,9.0,17.0,4.11,155.23129824793847,123.22275762345734,192.70643721414083,,,
practice_intercept_offset[2],0.082,0.058,-0.018,0.192,0.019,0.009,9.0,27.0,2.74,8.545580982954903,-1.7838967641699233,21.16705169649005,,,
practice_intercept_offset[3],0.395,0.061,0.316,0.506,0.021,0.01,9.0,22.0,3.21,48.43841909209141,37.16302556260427,65.8643334750305,,,
practice_intercept_offset[4],0.529,0.067,0.436,0.646,0.024,0.01,9.0,22.0,3.93,69.7234225493002,54.65087947493774,90.78939696124532,,,
practice_intercept_offset[5],0.768,0.076,0.653,0.896,0.027,0.011,9.0,14.0,3.84,115.5451037931604,92.1296080061071,144.97843493276594,,,
practice_intercept_offset[6],0.421,0.065,0.334,0.533,0.023,0.01,9.0,23.0,3.37,52.34842784087539,39.65431435745053,70.40367583907279,,,
practice_intercept_offset[7],0.254,0.061,0.156,0.368,0.021,0.009,9.0,24.0,2.64,28.91718042678042,16.88262030898691,44.4842038973879,,,
practice_intercept_offset[8],0.484,0.067,0.391,0.598,0.023,0.01,9.0,22.0,3.63,62.25516456522613,47.84585134131471,81.84782045990514,,,
practice_intercept_offset[9],0.604,0.071,0.501,0.724,0.025,0.01,9.0,22.0,3.98,82.94218719978595,65.03708166063191,106.26674008880342,,,
practice_intercept_offset[10],0.315,0.062,0.229,0.424,0.022,0.009,9.0,22.0,3.35,37.02593109569967,25.73420390098391,52.80615937840572,,,
practice_intercept_offset[11],0.294,0.059,0.214,0.402,0.021,0.009,9.0,23.0,3.46,34.178390366697144,23.862265479345226,49.48113326760426,,,
practice_intercept_offset[12],0.163,0.054,0.081,0.265,0.019,0.01,9.0,23.0,3.93,17.7036689688467,8.437089656676022,30.34309757783689,,,
practice_intercept_offset[13],-0.118,0.052,-0.21,-0.022,0.018,0.01,9.0,24.0,3.51,-11.130394738538262,-18.941575402981293,-2.175976494878995,,,
practice_intercept_offset[14],0.529,0.069,0.432,0.647,0.024,0.01,9.0,23.0,3.98,69.7234225493002,54.03351151611271,90.98028178471122,,,
practice_intercept_offset[15],0.888,0.082,0.759,1.022,0.029,0.012,9.0,20.0,3.88,143.0264259001381,113.61390130581415,177.87467035811972,,,
practice_intercept_offset[16],0.625,0.071,0.522,0.748,0.025,0.01,9.0,22.0,3.88,86.82459574322223,68.53950712974088,111.27702477582268,,,
practice_intercept_offset[17],0.534,0.069,0.437,0.653,0.024,0.01,9.0,19.0,4.01,70.5741647451575,54.80560770563401,92.1296080061071,,,
practice_intercept_offset[18],0.519,0.069,0.425,0.638,0.024,0.01,9.0,19.0,3.99,68.03464627827445,52.95904196633787,89.26917079807227,,,
practice_intercept_offset[19],0.942,0.086,0.799,1.078,0.03,0.013,9.0,16.0,4.0,156.51065045437824,122.33164999636088,193.8796077398218,,,
practice_intercept_offset[20],0.652,0.072,0.546,0.775,0.025,0.011,9.0,23.0,4.07,91.9375744308914,72.63338533505097,117.05921271834426,,,
practice_intercept_offset[21],-0.083,0.055,-0.181,0.01,0.019,0.01,9.0,22.0,3.91,-7.964885277987532,-16.556464130421045,1.005016708416795,,,
practice_intercept_offset[22],-0.072,0.049,-0.159,0.021,0.017,0.01,9.0,23.0,3.9,-6.946910418879426,-14.70036410308685,2.122205163752855,,,
practice_intercept_offset[23],0.751,0.079,0.622,0.888,0.027,0.011,9.0,23.0,3.34,111.91180754822172,86.2649618265929,143.0264259001381,,,
practice_intercept_offset[24],0.591,0.068,0.497,0.71,0.024,0.01,9.0,22.0,3.91,80.57933061082024,64.37825187200612,103.39912586467506,,,
practice_intercept_offset[25],0.24,0.06,0.155,0.35,0.021,0.009,9.0,22.0,3.54,27.12491503214047,16.765796110512497,41.90675485932572,,,
practice_intercept_offset[26],0.548,0.069,0.449,0.668,0.024,0.01,9.0,20.0,3.99,72.97899760278472,56.67446571994515,95.03327518649616,,,
practice_intercept_offset[27],0.55,0.069,0.453,0.67,0.024,0.01,9.0,23.0,3.91,73.32530178673953,57.30241865141752,95.42373206359396,,,
practice_intercept_offset[28],0.616,0.071,0.516,0.74,0.025,0.01,9.0,21.0,3.98,85.15071812945382,67.53129773975874,109.59355144943645,,,
practice_intercept_offset[29],0.006,0.056,-0.09,0.106,0.02,0.01,9.0,23.0,3.42,0.6018036054064924,-8.60688147287718,11.182187650653086,,,
practice_intercept_offset[30],0.878,0.081,0.751,1.011,0.028,0.012,9.0,17.0,3.89,140.6082725590862,111.91180754822172,174.8347989290155,,,
practice_intercept_offset[31],0.426,0.066,0.339,0.54,0.023,0.01,9.0,23.0,3.26,53.11207751332474,40.35433452127262,71.60068621848585,,,
practice_intercept_offset[32],0.894,0.081,0.766,1.028,0.029,0.012,9.0,16.0,3.95,144.48896769329562,115.11444438853182,179.54693014284624,,,
