,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81034],0.046,0.089,-0.12,0.212,0.0,0.001,32017.0,20262.0,1.0
1|practice_id[A81035],0.039,0.089,-0.13,0.204,0.0,0.001,33882.0,19875.0,1.0
1|practice_id[A81036],-0.369,0.089,-0.535,-0.199,0.0,0.001,33969.0,18915.0,1.0
1|practice_id[A81037],0.372,0.088,0.205,0.537,0.0,0.001,34451.0,19847.0,1.0
1|practice_id[A81038],0.412,0.089,0.243,0.578,0.0,0.001,31973.0,19028.0,1.0
1|practice_id[A81039],-0.195,0.088,-0.362,-0.032,0.0,0.001,32946.0,18977.0,1.0
1|practice_id[A81040],0.116,0.089,-0.056,0.28,0.0,0.001,33432.0,19587.0,1.0
1|practice_id[A81041],-0.212,0.087,-0.375,-0.048,0.0,0.001,34011.0,20202.0,1.0
1|practice_id[A81042],0.131,0.089,-0.034,0.297,0.0,0.001,35314.0,19900.0,1.0
1|practice_id[A81043],0.287,0.09,0.115,0.452,0.0,0.001,35216.0,19935.0,1.0
1|practice_id[A81044],0.253,0.088,0.09,0.42,0.0,0.001,34408.0,19225.0,1.0
1|practice_id[A81045],0.619,0.087,0.455,0.783,0.001,0.001,29223.0,19426.0,1.0
1|practice_id[A81046],0.145,0.089,-0.017,0.317,0.0,0.001,34832.0,19748.0,1.0
1|practice_id[A81047],-0.589,0.132,-0.835,-0.339,0.001,0.001,27431.0,19270.0,1.0
1|practice_id[A81048],0.398,0.087,0.234,0.559,0.0,0.001,31826.0,20382.0,1.0
1|practice_id[A81049],0.577,0.089,0.408,0.741,0.0,0.001,32766.0,18407.0,1.0
1|practice_id[A81051],0.152,0.089,-0.019,0.316,0.0,0.001,35657.0,19500.0,1.0
1|practice_id[A81052],-0.118,0.088,-0.279,0.054,0.001,0.001,30149.0,19610.0,1.0
1|practice_id[A81053],0.316,0.088,0.154,0.484,0.001,0.001,29726.0,18969.0,1.0
1|practice_id[A81054],-0.131,0.088,-0.289,0.04,0.0,0.001,31579.0,20083.0,1.0
1|practice_id[A81056],-0.04,0.088,-0.208,0.124,0.0,0.001,33866.0,19526.0,1.0
1|practice_id[A81057],-0.082,0.089,-0.246,0.09,0.0,0.001,36714.0,18795.0,1.0
1|practice_id[A81058],-0.102,0.088,-0.268,0.064,0.0,0.001,33190.0,18707.0,1.0
