name,type,pred_coef,pred_ci_low,pred_ci_high,pred_p,imd_coef,imd_ci_low,imd_ci_high,imd_p,region_main,n_practices,n_obs,error
hydro_rain_high_vs_med,binary_pair,-0.9157885741075567,-1.020733831605125,-0.8107320457600764,6.276426143963273e-65,6.120915234048696,5.6138820149661095,6.630382628263831,1.4548954880533655e-130,"{'East Midlands': {'coef': -1.7620730751907732, 'ci_low': -9.150618949451417, 'ci_high': 6.227364181100081, 'p': 0.6558611985728741}, 'East of England': {'coef': -4.445542236640943, 'ci_low': -11.2495155347343, 'ci_high': 2.8800513424018126, 'p': 0.22759308850508186}, 'London': {'coef': -18.637726062602134, 'ci_low': -23.674368820880453, 'ci_high': -13.2687209002058, 'p': 2.513554883263775e-10}, 'North East': {'coef': 1.8597715425806127, 'ci_low': -7.019852823953244, 'ci_high': 11.587401975844536, 'p': 0.692133672886929}, 'North West': {'coef': -8.719369299557078, 'ci_low': -14.489659421242251, 'ci_high': -2.559696468563777, 'p': 0.006176912220930899}, 'South West': {'coef': 0.5623761236606128, 'ci_low': -6.865001222306455, 'ci_high': 8.582075743352725, 'p': 0.8860908513716144}, 'West Midlands': {'coef': -3.855183550107688, 'ci_low': -10.364203455670296, 'ci_high': 3.126497298564379, 'p': 0.27167805253919286}, 'Yorkshire and The Humber': {'coef': -6.680182670097379, 'ci_low': -13.326210188908282, 'ci_high': 0.4754531383367233, 'p': 0.06663448128878685}}",9349,1132590,
hydro_rain_low_vs_med,binary_pair,-1.2659107903114752,-1.4078947323587832,-1.1237223750992564,1.930836575455263e-67,4.890677018593692,4.364783243029957,5.419220771042199,2.25585648884095e-77,"{'East Midlands': {'coef': -1.6535702201076918, 'ci_low': -8.933511834603236, 'ci_high': 6.2083368459841415, 'p': 0.6708829038475925}, 'East of England': {'coef': -3.9485413592163954, 'ci_low': -10.677345411802397, 'ci_high': 3.287153181419211, 'p': 0.2769657424629799}, 'London': {'coef': -19.03901354642593, 'ci_low': -23.973547212294122, 'ci_high': -13.784201587848488, 'p': 4.6248066901998863e-11}, 'North East': {'coef': 1.1455074935917686, 'ci_low': -7.530957474589373, 'ci_high': 10.636094056288048, 'p': 0.8034294065573009}, 'North West': {'coef': -9.740617522858807, 'ci_low': -15.353176001169434, 'ci_high': -3.755914985452802, 'p': 0.0017558294035590145}, 'South West': {'coef': 1.4370865141462463, 'ci_low': -5.937880520398686, 'ci_high': 9.390289921223882, 'p': 0.7110166467586116}, 'West Midlands': {'coef': -4.962182780190593, 'ci_low': -11.285030998087587, 'ci_high': 1.8113042649115396, 'p': 0.14735896459225123}, 'Yorkshire and The Humber': {'coef': -6.579587977947742, 'ci_low': -13.117656160148726, 'ci_high': 0.4504827638746045, 'p': 0.06598196264930577}}",9290,991807,
met_rain_high_vs_med,binary_pair,-0.7235374498414715,-0.834239619894972,-0.6127116991245685,2.8665131911038633e-37,1.9901536312687096,1.4988365614188703,2.4838489792476937,1.261660981867154e-15,"{'East Midlands': {'coef': -5.3921020963629935, 'ci_low': -12.791455188103374, 'ci_high': 2.6350613354575003, 'p': 0.18220330436660548}, 'East of England': {'coef': -7.913358954639227, 'ci_low': -14.96390408215067, 'ci_high': -0.27823634789944096, 'p': 0.042506989279632514}, 'London': {'coef': -21.113473452711496, 'ci_low': -26.234818506031043, 'ci_high': -15.636565319033958, 'p': 4.36275565065188e-12}, 'North East': {'coef': -3.9328374802519384, 'ci_low': -12.463494860414881, 'ci_high': 5.4291543839835255, 'p': 0.3977448952628363}, 'North West': {'coef': -7.583633054478689, 'ci_low': -17.403279123570403, 'ci_high': 3.403437676258947, 'p': 0.1688134784733254}, 'South West': {'coef': -1.8613764163561197, 'ci_low': -9.316707159524862, 'ci_high': 6.206878215536138, 'p': 0.6411389424328479}, 'West Midlands': {'coef': -8.888545992624486, 'ci_low': -15.488811941406933, 'ci_high': -1.7728037903967042, 'p': 0.015259404609106113}, 'Yorkshire and The Humber': {'coef': -14.669929245567282, 'ci_low': -20.928042166371064, 'ci_high': -7.916520920393544, 'p': 4.4612582963190923e-05}}",7830,986542,
met_rain_low_vs_med,binary_pair,-0.9246026949379926,-1.0723401451521397,-0.776644615283828,3.0973606948415763e-34,0.7267427775400126,0.21526367138708924,1.2408323730180637,0.0053061237207970334,"{'East Midlands': {'coef': -6.4332842069484535, 'ci_low': -13.571794893025046, 'ci_high': 1.2948295462305692, 'p': 0.10054161667874642}, 'East of England': {'coef': -9.142877168886809, 'ci_low': -15.924316712662879, 'ci_high': -1.8144551863392255, 'p': 0.015408676096066304}, 'London': {'coef': -22.368978673806172, 'ci_low': -27.29028544719505, 'ci_high': -17.11457665301104, 'p': 3.521740733436872e-14}, 'North East': {'coef': -5.0258479420097535, 'ci_low': -13.27209458077564, 'ci_high': 4.004466792240002, 'p': 0.2658333123835267}, 'North West': {'coef': -7.416171560601326, 'ci_low': -17.025669625107696, 'ci_high': 3.3062303698902396, 'p': 0.16814485024575487}, 'South West': {'coef': -1.0535765648413742, 'ci_low': -8.400048804839965, 'ci_high': 6.882095272633881, 'p': 0.7878646789141173}, 'West Midlands': {'coef': -10.623075914437763, 'ci_low': -16.936706990289586, 'ci_high': -3.829546487369573, 'p': 0.0026589414355503377}, 'Yorkshire and The Humber': {'coef': -15.002798893319769, 'ci_low': -21.09349036098539, 'ci_high': -8.441974825390808, 'p': 1.8289032546654103e-05}}",7789,863689,
met_tmax_high_vs_med,binary_pair,1.459882825587866,1.2669146907343887,1.6532186688995365,2.390816985586511e-50,1.518435696495457,1.0543894668148646,1.9846128470040858,1.1409205763279535e-10,"{'East Midlands': {'coef': -5.3944059506759405, 'ci_low': -12.92009972251773, 'ci_high': 2.7816797780590763, 'p': 0.18978625008080396}, 'East of England': {'coef': -8.23654019562461, 'ci_low': -15.387717513784382, 'ci_high': -0.4809667362297265, 'p': 0.037854110245865706}, 'London': {'coef': -21.16216190313044, 'ci_low': -26.372148941908947, 'ci_high': -15.583510499520415, 'p': 9.335574124613967e-12}, 'North East': {'coef': -2.806338125401675, 'ci_low': -11.606929193831771, 'ci_high': 6.87045740619916, 'p': 0.5566628085273947}, 'North West': {'coef': -7.009066637390338, 'ci_low': -17.086693252423224, 'ci_high': 4.293436444108978, 'p': 0.2143599663064234}, 'South West': {'coef': -0.9317646184045625, 'ci_low': -8.60561469287211, 'ci_high': 7.386413603437836, 'p': 0.8199798191822179}, 'West Midlands': {'coef': -8.996631373012464, 'ci_low': -15.703871426885307, 'ci_high': -1.755712372054219, 'p': 0.015803518778692086}, 'Yorkshire and The Humber': {'coef': -14.120146658283506, 'ci_low': -20.531486642261186, 'ci_high': -7.1915542600683775, 'p': 0.00012042451454129274}}",7883,1069241,
met_tmax_low_vs_med,binary_pair,-0.44148946409326983,-0.6837687588505781,-0.19861913546431742,0.0003718746560988384,1.8720523398303435,1.3582873814381946,2.3884214704050555,6.481821778365654e-13,"{'East Midlands': {'coef': -5.0082727549490835, 'ci_low': -12.418727293501874, 'ci_high': 3.029197523052818, 'p': 0.21503162182322555}, 'East of England': {'coef': -8.940596314852733, 'ci_low': -15.87358148890149, 'ci_high': -1.4362533643257236, 'p': 0.020448790026827292}, 'London': {'coef': -21.571389814711228, 'ci_low': -26.64088578225361, 'ci_high': -16.151565334631947, 'p': 1.026452081090594e-12}, 'North East': {'coef': -4.630315318596601, 'ci_low': -13.072325108864113, 'ci_high': 4.631543034147967, 'p': 0.3160774043685449}, 'North West': {'coef': -5.827619129542983, 'ci_low': -15.808597523514544, 'ci_high': 5.33661464170716, 'p': 0.2935262820657949}, 'South West': {'coef': 0.1345444137482943, 'ci_low': -7.452915380732428, 'ci_high': 8.344061038756912, 'p': 0.9733209625004495}, 'West Midlands': {'coef': -9.952932126171488, 'ci_low': -16.446234218123767, 'ci_high': -2.9550091872376116, 'p': 0.0060421588050418645}, 'Yorkshire and The Humber': {'coef': -14.474689407061225, 'ci_low': -20.726201419471778, 'ci_high': -7.73018471433129, 'p': 5.405270244916451e-05}}",7827,934018,
met_tmin_high_vs_med,binary_pair,1.8603345329618826,1.6373350719925739,2.083823270431373,4.801582495209675e-61,1.6149834604586522,1.150647821213835,2.0814506489373885,7.086692169429793e-12,"{'East Midlands': {'coef': -5.7876925463371975, 'ci_low': -13.288248175776985, 'ci_high': 2.361660201910265, 'p': 0.1589807108897172}, 'East of England': {'coef': -8.405663587587897, 'ci_low': -15.54968357534836, 'ci_high': -0.657299841908443, 'p': 0.03407935441334071}, 'London': {'coef': -21.17181257245577, 'ci_low': -26.386934591746236, 'ci_high': -15.587224921959042, 'p': 9.619247351776692e-12}, 'North East': {'coef': -2.982955493932149, 'ci_low': -11.777071924030801, 'ci_high': 6.6877639403145395, 'p': 0.5321975700549}, 'North West': {'coef': -6.940783209608325, 'ci_low': -17.035276699531956, 'ci_high': 4.381928669582624, 'p': 0.21948378413288172}, 'South West': {'coef': -0.9519914261090001, 'ci_low': -8.632879494392132, 'ci_high': 7.374599835960072, 'p': 0.8163333869133833}, 'West Midlands': {'coef': -8.991488126972481, 'ci_low': -15.706441286985463, 'ci_high': -1.7416115798157272, 'p': 0.015985905332379976}, 'Yorkshire and The Humber': {'coef': -14.199532423657079, 'ci_low': -20.611971889672965, 'ci_high': -7.269138539524478, 'p': 0.00011144729042798223}}",7885,1079705,
met_tmin_low_vs_med,binary_pair,2.0421975972524153,1.7641154353760236,2.32103965065269,9.067927138614184e-48,2.213948300645918,1.68326166180508,2.7474046019074994,1.6507370414302548e-16,"{'East Midlands': {'coef': -4.897610671069397, 'ci_low': -12.231162882979019, 'ci_high': 3.048698754121948, 'p': 0.22001963044530548}, 'East of England': {'coef': -8.902144510239607, 'ci_low': -15.753486440881526, 'ci_high': -1.4936176675166446, 'p': 0.019428646294345566}, 'London': {'coef': -20.476902060414247, 'ci_low': -25.562676888812764, 'ci_high': -15.043652275581076, 'p': 1.084229362907162e-11}, 'North East': {'coef': -2.0896862521076254, 'ci_low': -10.686437102693747, 'ci_high': 7.334532709587527, 'p': 0.6524221165746255}, 'North West': {'coef': -4.593028306241886, 'ci_low': -14.59139069594918, 'ci_high': 6.575792791205681, 'p': 0.40516282882524324}, 'South West': {'coef': 0.5272857203154402, 'ci_low': -7.010471150020637, 'ci_high': 8.676055242710024, 'p': 0.8947907102892803}, 'West Midlands': {'coef': -9.370524056595697, 'ci_low': -15.835867388641889, 'ci_high': -2.408524214177621, 'p': 0.009171332038840374}, 'Yorkshire and The Humber': {'coef': -13.954059110281925, 'ci_low': -20.17436876038945, 'ci_high': -7.249039830668568, 'p': 8.653000192409985e-05}}",7777,857748,
flood,binary_simple,-3.1752413054131012,-3.667086186887969,-2.6808852221292367,2.0767307287231716e-35,3.9600689905556985,3.513119259016073,4.40894856503653,7.529101732469846e-70,"{'East Midlands': {'coef': -4.174407107787992, 'ci_low': -11.616027681607088, 'ci_high': 3.893771826241421, 'p': 0.30121748743340904}, 'East of England': {'coef': -5.400122681720831, 'ci_low': -12.29012451636361, 'ci_high': 2.0311195208920996, 'p': 0.150203525674091}, 'London': {'coef': -19.11992301901234, 'ci_low': -24.26092823024476, 'ci_high': -13.629957436807006, 'p': 2.4043520164928174e-10}, 'North East': {'coef': 0.547806691148156, 'ci_low': -8.46686630999801, 'ci_high': 10.450292946812766, 'p': 0.90924427072563}, 'North West': {'coef': -11.364305953749309, 'ci_low': -17.1305570447026, 'ci_high': -5.196825525923854, 'p': 0.00043991609105078735}, 'South West': {'coef': 0.32562577848049834, 'ci_low': -7.271432937366729, 'ci_high': 8.545095720558017, 'p': 0.9355079014494231}, 'West Midlands': {'coef': -5.661244006573285, 'ci_low': -12.25947397064, 'ci_high': 1.4331835600031262, 'p': 0.11518467287885745}, 'Yorkshire and The Humber': {'coef': -12.139984193391129, 'ci_low': -18.542486314081806, 'ci_high': -5.234250000536978, 'p': 0.0008005446001823005}}",9632,1356865,
aqrean_carbon_monoxide_high_vs_not,binary_simple,1.540772741421148,1.3803376702463455,1.7014617021829936,4.233558902545117e-80,2.5219083140562093,1.6920549573130828,3.358533651107809,1.897645458589796e-09,"{'East Midlands': {'coef': -4.575120903725638, 'ci_low': -11.087075137211922, 'ci_high': 2.413766779025317, 'p': 0.1940842238048629}, 'East of England': {'coef': -3.8756862130955416, 'ci_low': -10.025768921411204, 'ci_high': 2.694778163012179, 'p': 0.241307535257833}, 'London': {'coef': -21.484661483882682, 'ci_low': -25.872424803816717, 'ci_high': -16.83717744732186, 'p': 1.668907466366852e-16}, 'North East': {'coef': -5.449897801614501, 'ci_low': -12.858117407204183, 'ci_high': 2.588119050622928, 'p': 0.17824790191447892}, 'North West': {'coef': -13.57844970796247, 'ci_low': -18.528612488073527, 'ci_high': -8.327517390251371, 'p': 1.2403777436839292e-06}, 'South West': {'coef': -2.7766479714730563, 'ci_low': -9.149465172421555, 'ci_high': 4.043197958076572, 'p': 0.41559597611343413}, 'West Midlands': {'coef': -9.09459901668429, 'ci_low': -14.684526660308418, 'ci_high': -3.1384155247624057, 'p': 0.003232206421080019}, 'Yorkshire and The Humber': {'coef': -10.011859920091648, 'ci_low': -15.777507612889597, 'ci_high': -3.8515113300004455, 'p': 0.0017930314450129434}}",9028,830443,
