name,error,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int
hydro_rain_values,,0.02259299943703219,"(np.float64(-0.0636669030186221), np.float64(0.10892735700367417))",0.6078212699124532,1.1510727550522404,"(np.float64(0.2951752522451834), np.float64(2.014274303477337))",0.008295937149224554,-3.826467688261559e-05,"(np.float64(-0.08290242955349969), np.float64(0.08289462186987784))",0.9992781627276881
met_rain_values,,0.08387098844704344,"(np.float64(-0.0064788066727827776), np.float64(0.17430241971070348))",0.06885654349298163,0.5174485179546551,"(np.float64(-0.3294255170557814), np.float64(1.3715182136191606))",0.23185827148662774,-0.07062177367900269,"(np.float64(-0.1594750923921251), np.float64(0.018310620261874355))",0.11957445433159808
met_tmax_values,,1.0688205011494922,"(np.float64(0.7782340219417039), np.float64(1.3602448646754528))",4.586974481567554e-13,0.5240638298700029,"(np.float64(-0.32281768425180823), np.float64(1.3781406547168862))",0.2259337087737079,-0.012069215976751035,"(np.float64(-0.09349177137051301), np.float64(0.06941969778189172))",0.7715190864078317
met_tmin_values,,1.1600588770629194,"(np.float64(0.8870167770696824), np.float64(1.4338399421951031))",6.062842336456669e-17,0.5132457342113206,"(np.float64(-0.3335328478904276), np.float64(1.3672186514550377))",0.23562851271201524,-0.014232618764931093,"(np.float64(-0.09681001032638692), np.float64(0.06841302913147551))",0.7356300736651312
aqrean_carbon_monoxide_values,,0.9221227637767893,"(np.float64(0.7913765667047157), np.float64(1.053038564327169))",8.645644962481203e-44,0.8818595365194026,"(np.float64(-0.8580404309213918), np.float64(2.652294021432522))",0.32259655083468963,0.020254772660832643,"(np.float64(-0.09049194786293624), np.float64(0.1311242526330636))",0.7201180692438238
aqrean_daqi_overall_values,,-0.4835700369716145,"(np.float64(-0.5968462223379878), np.float64(-0.3701647662222918))",7.306399980958948e-17,0.8226536062359013,"(np.float64(-0.9215125543167613), np.float64(2.5975238648631827))",0.3574804410768794,-0.02719552930739999,"(np.float64(-0.12014740341977914), np.float64(0.06584284924684436))",0.5665805532597272
aqrean_nitrogen_monoxide_values,,0.1123129667088163,"(np.float64(-0.03734808319918459), np.float64(0.26219808460052896))",0.14140524035664853,0.7757014826915709,"(np.float64(-0.962411997930035), np.float64(2.5443189217845275))",0.3840269636448097,0.012919923695675628,"(np.float64(-0.09999752014577812), np.float64(0.12596499865631383))",0.8226441897657122
aqrean_nitrogen_dioxide_values,,0.04142648616898281,"(np.float64(-0.13815505495485825), np.float64(0.2213309687519205))",0.6513994915226766,0.7832553519046659,"(np.float64(-0.9549156053172747), np.float64(2.5519299761686653))",0.37941122232504776,-0.07167906501044374,"(np.float64(-0.20361736442831013), np.float64(0.060433666730452806))",0.28745596345701674
aqrean_daqi_nitrogen_dioxide_values,,-0.3513830664595541,"(np.float64(-0.4805507578273027), np.float64(-0.2220477265304388))",1.0434742306213037e-07,0.8309502781702616,"(np.float64(-0.9135526831833829), np.float64(2.606166729255177))",0.35272600595691206,-0.014206912177816555,"(np.float64(-0.12742367447844405), np.float64(0.09913819401599078))",0.8058465529114507
aqrean_nox_expressed_as_nitrogen_dioxide_values,,0.093574040417721,"(np.float64(-0.06652016242216785), np.float64(0.2539247154011104))",0.25212406470488735,0.7771320846454488,"(np.float64(-0.9610141225655511), np.float64(2.54578296848329))",0.38315620946133655,-0.003353136862926931,"(np.float64(-0.12106998732474006), np.float64(0.11450245414088567))",0.955504870385227
