name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81026],-0.303,0.089,-0.479,-0.131,0.001,0.001,29415.0,18683.0,1.0
1|practice_id[A81027],0.309,0.088,0.141,0.486,0.0,0.001,32853.0,18707.0,1.0
1|practice_id[A81029],-0.066,0.089,-0.241,0.107,0.001,0.001,29770.0,19298.0,1.0
1|practice_id[A81030],-0.297,0.089,-0.471,-0.125,0.0,0.001,31695.0,18837.0,1.0
1|practice_id[A81031],-0.361,0.087,-0.529,-0.189,0.0,0.001,31056.0,19694.0,1.0
1|practice_id[A81032],-0.35,0.088,-0.518,-0.175,0.0,0.001,32906.0,18571.0,1.0
1|practice_id[A81033],-0.425,0.121,-0.666,-0.192,0.001,0.001,28305.0,19648.0,1.0
1|practice_id[A81034],0.046,0.088,-0.129,0.213,0.001,0.001,29237.0,18883.0,1.0
1|practice_id[A81035],0.04,0.089,-0.134,0.215,0.001,0.001,31589.0,19329.0,1.0
1|practice_id[A81036],-0.369,0.089,-0.542,-0.197,0.001,0.001,30284.0,19921.0,1.0
1|practice_id[A81037],0.373,0.088,0.203,0.546,0.0,0.001,31089.0,19367.0,1.0
1|practice_id[A81038],0.412,0.089,0.24,0.586,0.0,0.001,33504.0,19260.0,1.0
1|practice_id[A81039],-0.195,0.087,-0.365,-0.025,0.001,0.001,29469.0,19823.0,1.0
1|practice_id[A81040],0.115,0.089,-0.055,0.295,0.0,0.001,32715.0,19161.0,1.0
1|practice_id[A81041],-0.214,0.088,-0.38,-0.034,0.001,0.001,29424.0,18473.0,1.0
1|practice_id[A81042],0.132,0.088,-0.04,0.305,0.001,0.001,30710.0,19154.0,1.0
1|practice_id[A81043],0.288,0.089,0.117,0.465,0.0,0.001,33639.0,19395.0,1.0
1|practice_id[A81044],0.25,0.088,0.077,0.422,0.001,0.001,28729.0,19598.0,1.0
1|practice_id[A81045],0.622,0.087,0.454,0.797,0.001,0.001,27485.0,19977.0,1.0
1|practice_id[A81046],0.145,0.088,-0.028,0.318,0.001,0.001,29786.0,19419.0,1.0
1|practice_id[A81047],-0.587,0.133,-0.843,-0.32,0.001,0.001,25588.0,17706.0,1.0
1|practice_id[A81048],0.4,0.088,0.235,0.577,0.001,0.001,30227.0,19780.0,1.0
1|practice_id[A81049],0.578,0.088,0.405,0.749,0.0,0.001,33250.0,19994.0,1.0
1|practice_id[A81051],0.151,0.089,-0.023,0.323,0.0,0.001,32390.0,20325.0,1.0
1|practice_id[A81052],-0.112,0.088,-0.281,0.062,0.001,0.001,30245.0,19825.0,1.0
1|practice_id[A81053],0.319,0.088,0.144,0.49,0.001,0.001,29387.0,19567.0,1.0
1|practice_id[A81054],-0.127,0.088,-0.3,0.046,0.001,0.001,30889.0,19002.0,1.0
